feature,delta3d_blend_weight,importance
pair__delta_ionic_radius,0.25,0.038173803090848175
delta3d__feat3d__polyhedron__donor_atomic_number_09,0.25,0.028460724858511286
pair__delta_Z,0.25,0.025725301244706112
base__ecfp_1454,0.25,0.024993442072303834
base__ecfp_649,0.25,0.01912174482365311
pair__ionic_radius_B,0.25,0.018877080370753873
delta3d__feat3d__complex_physical__coordination_number,0.25,0.018172840552511567
pair__ionic_radius_mean,0.25,0.018028932417562663
pair__Z_B,0.25,0.016862715414465938
pair__Z_mean,0.25,0.016280891165880818
base__ecfp_358,0.25,0.01613934992594366
pair__Z_A,0.25,0.01442893722564599
delta3d__feat3d__polyhedron__coordination_number,0.25,0.014346725873274202
pair__ionic_radius_A,0.25,0.014173385324521821
base__ecfp_872,0.25,0.013446033082732529
base__cond__acid_concentration_M,0.25,0.011144336441441565
base__ecfp_2004,0.25,0.00962653124460454
delta3d__feat3d__polyhedron__donor_angle_02_07_deg,0.25,0.009222989690244073
delta3d__feat3d__polyhedron__donor_angle_06_08_deg,0.25,0.008464925882852492
base__ecfp_1272,0.25,0.008321745435758796
delta3d__feat3d__polyhedron__donor_angle_05_07_deg,0.25,0.008038701414341674
base__ecfp_1405,0.25,0.00802469073195081
delta3d__feat3d__polyhedron__donor_angle_03_05_deg,0.25,0.007905617073524968
delta3d__feat3d__complex_physical__donor_partial_charge_min,0.25,0.007885309619739572
delta3d__feat3d__polyhedron__donor_angle_01_03_deg,0.25,0.007765836628608315
delta3d__feat3d__complex_physical__ln_donor_distance_mean,0.25,0.007665733146291129
delta3d__feat3d__polyhedron__ln_donor_distance_02,0.25,0.0076513821627314715
base__MolWt,0.25,0.007445819654541178
base__cond__extractant_concentration_M,0.25,0.007442994780404686
delta3d__feat3d__polyhedron__donor_angle_07_08_deg,0.25,0.006949822622656809
base__MolLogP,0.25,0.00691591356838012
delta3d__feat3d__polyhedron__donor_angle_05_06_deg,0.25,0.0069107479732360855
delta3d__feat3d__polyhedron__donor_angle_02_04_deg,0.25,0.006844609449435872
delta3d__feat3d__polyhedron__donor_angle_04_09_deg,0.25,0.006660731043116304
base__ecfp_695,0.25,0.006654214668606678
delta3d__feat3d__polyhedron__donor_angle_01_06_deg,0.25,0.006453600192789306
base__ecfp_251,0.25,0.006385072512946737
base__NumRotatableBonds,0.25,0.0062951662362171635
delta3d__feat3d__polyhedron__donor_angle_03_08_deg,0.25,0.00626812578169858
base__ecfp_1152,0.25,0.006048211506879264
delta3d__feat3d__polyhedron__donor_angle_01_08_deg,0.25,0.005876161045808102
base__ecfp_656,0.25,0.0058035561132274574
base__ecfp_1669,0.25,0.005777442343516488
delta3d__feat3d__polyhedron__donor_angle_03_09_deg,0.25,0.005744471505630954
delta3d__feat3d__polyhedron__donor_angle_04_05_deg,0.25,0.005726427994756859
delta3d__feat3d__polyhedron__donor_angle_04_07_deg,0.25,0.0057190898695709215
delta3d__feat3d__polyhedron__donor_angle_01_04_deg,0.25,0.005589348263241466
delta3d__feat3d__polyhedron__donor_angle_01_02_deg,0.25,0.0055347297899425085
base__cond__diluent__toluene,0.25,0.005534573139273231
delta3d__feat3d__polyhedron_scalars__coreCN_donor_gap,0.25,0.005519908828050888
base__ecfp_1407,0.25,0.005513837234466855
base__ecfp_523,0.25,0.0055089690295484885
base__ecfp_1209,0.25,0.005438538349148392
delta3d__feat3d__polyhedron__donor_angle_03_07_deg,0.25,0.005431124955541244
base__ecfp_13,0.25,0.005317370392789393
base__ecfp_950,0.25,0.0052065589806102154
delta3d__feat3d__polyhedron__ln_donor_distance_01,0.25,0.005159526483141426
delta3d__feat3d__polyhedron__donor_angle_02_03_deg,0.25,0.004941718537532384
delta3d__feat3d__complex_physical__donor_partial_charge_04,0.25,0.004866057346883129
delta3d__feat3d__polyhedron__donor_angle_02_06_deg,0.25,0.004865228612043722
delta3d__feat3d__polyhedron__donor_angle_03_06_deg,0.25,0.004865056441092842
delta3d__feat3d__polyhedron__donor_angle_02_05_deg,0.25,0.0048588525955414845
base__TPSA,0.25,0.004804401634478078
