design,n_metals_band,arm,n_cells,cell_spearman,cell_top1
BQ,4-5,_RANDOM,53,0.0,0.15793040293040292
BQ,6-8,FLAT,137,0.0,0.0581609616423213
BQ,6-8,G13_FULL,137,0.6569993629202189,0.5072598794967216
BQ,6-8,G14,137,0.488494275370935,0.5404915381889066
BQ,6-8,G14_TIED,137,0.5156778089068322,0.49977184121920964
BQ,6-8,HEAVIER_ALWAYS,137,0.586322289504735,0.5895866560340245
BQ,6-8,MEAN_CURVE,137,0.47509792318666,0.2289074960127592
BQ,6-8,O_BOTH,137,0.7608362959475872,0.5917796384901648
BQ,6-8,_RANDOM,137,0.0,0.0581609616423213
BQ,9-13,FLAT,53,0.0,0.027716550878315583
BQ,9-13,G13_FULL,53,0.48595700363345856,0.12698961937716263
BQ,9-13,G14,53,0.5072507008729864,0.22531718569780854
BQ,9-13,G14_TIED,53,0.5049871353568577,0.1757641291810842
BQ,9-13,HEAVIER_ALWAYS,53,0.09497854394546723,0.22282295271049596
BQ,9-13,MEAN_CURVE,53,0.12462712991326441,0.03529411764705882
BQ,9-13,O_BOTH,53,0.7252999690325899,0.27876297577854675
BQ,9-13,_RANDOM,53,0.0,0.027716550878315583
BQ,14,FLAT,78,0.0,0.01307041173112602
BQ,14,G13_FULL,78,0.4791061242472618,0.30261363636363636
BQ,14,G14,78,0.5528130807542219,0.3032873376623376
BQ,14,G14_TIED,78,0.5543886363945332,0.2898133116883117
BQ,14,HEAVIER_ALWAYS,78,0.31014579222992444,0.38526785714285716
BQ,14,MEAN_CURVE,78,0.2732569593811267,0.04318181818181818
BQ,14,O_BOTH,78,0.818284574009599,0.2869724025974026
BQ,14,_RANDOM,78,0.0,0.01307041173112602
A,4-5,FLAT,53,0.0,0.15793040293040292
A,4-5,G13_FULL,53,0.2394953152349622,0.5494505494505495
A,4-5,G14,53,0.42154302299434115,0.5302197802197802
A,4-5,G14_TIED,53,0.43821498726120717,0.717032967032967
A,4-5,HEAVIER_ALWAYS,53,-0.0252338306192847,0.717032967032967
A,4-5,MEAN_CURVE,53,-0.1427440477906238,0.5310256410256411
A,4-5,O_BOTH,53,0.7234196534273057,0.6362637362637363
A,4-5,_RANDOM,53,0.0,0.15793040293040292
A,6-8,FLAT,137,0.0,0.0581609616423213
A,6-8,G13_FULL,137,0.6362547404574646,0.4627682527024632
A,6-8,G14,137,0.49930801900823807,0.5669014708488392
A,6-8,G14_TIED,137,0.51435313144534,0.5895866560340245
A,6-8,HEAVIER_ALWAYS,137,0.586322289504735,0.5895866560340245
A,6-8,MEAN_CURVE,137,0.5511801424281388,0.25981282119440013
A,6-8,O_BOTH,137,0.7608362959475872,0.5917796384901648
A,6-8,_RANDOM,137,0.0,0.0581609616423213
A,9-13,FLAT,53,0.0,0.027716550878315583
A,9-13,G13_FULL,53,0.5716201956659894,0.20299884659746253
A,9-13,G14,53,0.5032920051195016,0.19071510957324106
A,9-13,G14_TIED,53,0.5082659835882251,0.22282295271049596
A,9-13,HEAVIER_ALWAYS,53,0.09497854394546723,0.22282295271049596
A,9-13,MEAN_CURVE,53,0.17437937211549667,0.009342560553633219
A,9-13,O_BOTH,53,0.7252999690325899,0.27876297577854675
A,9-13,_RANDOM,53,0.0,0.027716550878315583
A,14,FLAT,78,0.0,0.01307041173112602
A,14,G13_FULL,78,0.5530602878410635,0.22415584415584416
A,14,G14,78,0.5491644568258899,0.3385146103896104
A,14,G14_TIED,78,0.5532228297145446,0.38526785714285716
A,14,HEAVIER_ALWAYS,78,0.31014579222992444,0.38526785714285716
A,14,MEAN_CURVE,78,0.31507218826238426,0.04909090909090909
A,14,O_BOTH,78,0.818284574009599,0.2869724025974026
A,14,_RANDOM,78,0.0,0.01307041173112602
BP,4-5,FLAT,53,0.0,0.15793040293040292
BP,4-5,G13_FULL,53,-0.1450884765877484,0.5261538461538462
BP,4-5,G14,53,0.3253319152623836,0.4804029304029305
BP,4-5,G14_TIED,53,0.32058818685471235,0.47087912087912087
BP,4-5,HEAVIER_ALWAYS,53,-0.0252338306192847,0.717032967032967
BP,4-5,MEAN_CURVE,53,-0.29729726260213657,0.4394871794871795
BP,4-5,O_BOTH,53,0.7234196534273057,0.6362637362637363
BP,4-5,_RANDOM,53,0.0,0.15793040293040292
BP,6-8,FLAT,137,0.0,0.0581609616423213
BP,6-8,G13_FULL,137,0.5079283226273548,0.2701756601098706
BP,6-8,G14,137,0.5090561023420408,0.4634228247386142
BP,6-8,G14_TIED,137,0.5478561805317895,0.49977184121920964
BP,6-8,HEAVIER_ALWAYS,137,0.586322289504735,0.5895866560340245
BP,6-8,MEAN_CURVE,137,0.35739541404621883,0.2601840776182881
BP,6-8,O_BOTH,137,0.7608362959475872,0.5917796384901648
BP,6-8,_RANDOM,137,0.0,0.0581609616423213
BP,9-13,FLAT,53,0.0,0.027716550878315583
BP,9-13,G13_FULL,53,0.34581712125460473,0.10738177623990772
BP,9-13,G14,53,0.5081518719764737,0.15591118800461362
BP,9-13,G14_TIED,53,0.5046980917542069,0.211058246828143
BP,9-13,HEAVIER_ALWAYS,53,0.09497854394546723,0.22282295271049596
BP,9-13,MEAN_CURVE,53,0.044423944528692826,0.047058823529411764
BP,9-13,O_BOTH,53,0.7252999690325899,0.27876297577854675
BP,9-13,_RANDOM,53,0.0,0.027716550878315583
BP,14,FLAT,78,0.0,0.01307041173112602
BP,14,G13_FULL,78,0.46659823141203366,0.1040909090909091
BP,14,G14,78,0.5366084678866424,0.1811038961038961
BP,14,G14_TIED,78,0.5460988342839659,0.30344967532467526
BP,14,HEAVIER_ALWAYS,78,0.31014579222992444,0.38526785714285716
BP,14,MEAN_CURVE,78,0.1819337981301304,0.044886363636363634
BP,14,O_BOTH,78,0.818284574009599,0.2869724025974026
BP,14,_RANDOM,78,0.0,0.01307041173112602
