design,n_metals_band,arm,n_cells,cell_spearman,cell_top1
B,4-5,FLAT,53,0.0,0.15793040293040292
B,4-5,G13_FULL,53,0.20521559471552747,0.47483516483516475
B,4-5,G14,53,0.39632818576061246,0.5785714285714285
B,4-5,G14_TIED,53,0.3924225574687773,0.40934065934065933
B,4-5,HEAVIER_ALWAYS,53,-0.0252338306192847,0.717032967032967
B,4-5,MEAN_CURVE,53,-0.18161394150434407,0.441062271062271
B,4-5,O_BOTH,53,0.7234196534273057,0.6362637362637363
B,4-5,_RANDOM,53,0.0,0.15793040293040292
B,6-8,FLAT,137,0.0,0.0581609616423213
B,6-8,G13_FULL,137,0.6555788128422206,0.4722216684387737
B,6-8,G14,137,0.47676229577490253,0.5497718412192095
B,6-8,G14_TIED,137,0.4894872104923301,0.49977184121920964
B,6-8,HEAVIER_ALWAYS,137,0.586322289504735,0.5895866560340245
B,6-8,MEAN_CURVE,137,0.4961495977136144,0.23534024455077085
B,6-8,O_BOTH,137,0.7608362959475872,0.5917796384901648
B,6-8,_RANDOM,137,0.0,0.0581609616423213
B,9-13,FLAT,53,0.0,0.027716550878315583
B,9-13,G13_FULL,53,0.48980709047799,0.09965397923875433
B,9-13,G14,53,0.5093723042885464,0.23458765859284889
B,9-13,G14_TIED,53,0.5062699098119269,0.23458765859284889
B,9-13,HEAVIER_ALWAYS,53,0.09497854394546723,0.22282295271049596
B,9-13,MEAN_CURVE,53,0.13194844754327661,0.03598615916955017
B,9-13,O_BOTH,53,0.7252999690325899,0.27876297577854675
B,9-13,_RANDOM,53,0.0,0.027716550878315583
B,14,FLAT,78,0.0,0.01307041173112602
B,14,G13_FULL,78,0.48541921930519577,0.30869318181818184
B,14,G14,78,0.557315447186287,0.3443587662337662
B,14,G14_TIED,78,0.5605486988411371,0.2898133116883117
B,14,HEAVIER_ALWAYS,78,0.31014579222992444,0.38526785714285716
B,14,MEAN_CURVE,78,0.2815263325875895,0.05227272727272727
B,14,O_BOTH,78,0.818284574009599,0.2869724025974026
B,14,_RANDOM,78,0.0,0.01307041173112602
BR,4-5,FLAT,53,0.0,0.15793040293040292
BR,4-5,G13_FULL,53,0.14321862864256904,0.49443223443223444
BR,4-5,G14,53,0.4138517595466869,0.5517582417582417
BR,4-5,G14_TIED,53,0.4200109690571889,0.40934065934065933
BR,4-5,HEAVIER_ALWAYS,53,-0.0252338306192847,0.717032967032967
BR,4-5,MEAN_CURVE,53,-0.1899257409537531,0.46538461538461534
BR,4-5,O_BOTH,53,0.7234196534273057,0.6362637362637363
BR,4-5,_RANDOM,53,0.0,0.15793040293040292
BR,6-8,FLAT,137,0.0,0.0581609616423213
BR,6-8,G13_FULL,137,0.6392996798531273,0.4378598484848485
BR,6-8,G14,137,0.4829400584963439,0.514635056707425
BR,6-8,G14_TIED,137,0.49248851072723293,0.5030125819599504
BR,6-8,HEAVIER_ALWAYS,137,0.586322289504735,0.5895866560340245
BR,6-8,MEAN_CURVE,137,0.4856077629388758,0.22295210880737198
BR,6-8,O_BOTH,137,0.7608362959475872,0.5917796384901648
BR,6-8,_RANDOM,137,0.0,0.0581609616423213
BR,9-13,FLAT,53,0.0,0.027716550878315583
BR,9-13,G13_FULL,53,0.4928600123035937,0.14302191464821223
BR,9-13,G14,53,0.48424558835834103,0.2273933102652826
BR,9-13,G14_TIED,53,0.48573393051782465,0.23458765859284889
BR,9-13,HEAVIER_ALWAYS,53,0.09497854394546723,0.22282295271049596
BR,9-13,MEAN_CURVE,53,0.12626799769141103,0.047058823529411764
BR,9-13,O_BOTH,53,0.7252999690325899,0.27876297577854675
BR,9-13,_RANDOM,53,0.0,0.027716550878315583
BR,14,FLAT,78,0.0,0.01307041173112602
BR,14,G13_FULL,78,0.47137483791777746,0.2861850649350649
BR,14,G14,78,0.549312413388778,0.31758928571428574
BR,14,G14_TIED,78,0.5532754061232216,0.28526785714285713
BR,14,HEAVIER_ALWAYS,78,0.31014579222992444,0.38526785714285716
BR,14,MEAN_CURVE,78,0.27694772233260984,0.05
BR,14,O_BOTH,78,0.818284574009599,0.2869724025974026
BR,14,_RANDOM,78,0.0,0.01307041173112602
BQ,4-5,FLAT,53,0.0,0.15793040293040292
BQ,4-5,G13_FULL,53,0.2161875732732239,0.5361172161172161
BQ,4-5,G14,53,0.41907045575739127,0.5882417582417582
BQ,4-5,G14_TIED,53,0.38919138315715684,0.40934065934065933
BQ,4-5,HEAVIER_ALWAYS,53,-0.0252338306192847,0.717032967032967
BQ,4-5,MEAN_CURVE,53,-0.2034708740179652,0.4172527472527472
BQ,4-5,O_BOTH,53,0.7234196534273057,0.6362637362637363
