design,metric,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
BR,Q1 sign accuracy,G14_vs_G13,sign_acc_strong,G13_FULL,G14,0.04749963989463177,-0.03997655752751188,0.1433650500945406,-0.030393843041605147,0.1545007821742443,0.2786,0.04624769210853272,0.1294935379038916,0.03574745501829723,86,50,5,5,0.016821508932459785,0.06624963132069443,True,0.02,False,False
BR,Q1 sign accuracy,G14_vs_FLAT,sign_acc_strong,FLAT,G14,0.30929989750514314,0.19235996433632532,0.37836784330152295,0.20281530645895957,0.38342904773924563,0.0,0.04853420341969398,0.13589576957514313,0.260507446586884,86,73,5,5,0.2739775093454124,0.3279718386384571,True,0.02,True,True
BR,Q2 within-cell Spearman,G14_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,G14,0.24105456706876968,0.0927167370211138,0.45524039739955663,0.07653002446943398,0.42960340634698274,0.0006,0.09290373177603357,0.260130448972894,0.26931040570319215,84,56,5,5,0.20367022881785898,0.3155397453394179,True,0.02,True,True
BR,Q2 within-cell Spearman,G14_vs_G13,pair_spearman,G13_FULL,G14,0.03200841217307759,-0.07236303084200006,0.1314821992401433,-0.07839044494046878,0.12577247012537632,0.4844,0.05039995672637641,0.14111987883385393,0.035214719718153514,84,53,3,5,0.009386923550278545,0.05349265549238867,True,0.02,False,False
BR,Q2 best-pair top-1,G14_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,G14,-0.0720897323575895,-0.11561359761295822,-0.030217164855072465,-0.12190222271750922,-0.035308917047014894,0.0004,0.02141712377581359,0.059967946572278046,-0.09388211268257853,84,7,0,5,-0.07763509638509637,-0.06331972913298213,True,0.02,False,False
BR,Q2 best-pair top-1,OBOTH_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,O_BOTH,-0.05460557960557961,-0.11838097674683042,0.03239521832171478,-0.1287661698890589,0.020395042276701966,0.2204,0.038421089917722716,0.1075790517696236,-0.043464667377710854,84,5,0,5,-0.06813254496181326,-0.027868852459016397,True,0.02,False,False
BR,Q3 cross-extractant regret,G14_vs_RANDOM,mae_all,_RANDOM,G14,0.31839707862603805,0.27662877049738155,0.36258789037958233,0.2776918415120282,0.3641442400299991,0.0,0.021779464982066853,0.06098250194978719,0.31839707862603805,91,90,5,5,0.3125694732608939,0.32199693405403373,True,0.02,True,True
BR,Q3 cross-extractant regret,G13_vs_RANDOM,mae_all,_RANDOM,G13_FULL,0.39399983705526503,0.32002257676390583,0.46733620245545915,0.32013490207653306,0.4676541623195081,0.0,0.03703156105260867,0.10368837094730428,0.39399983705526503,91,86,5,5,0.384678536473045,0.4058772620846321,True,0.02,True,True
BR,Q3 cross-extractant regret,G14TIED_vs_G14,mae_all,G14,G14_TIED,0.08652248091932144,0.0583444464669973,0.11400803506305693,0.05818165230519294,0.11385244012034862,0.0,0.014050780424005713,0.039342185187215994,0.08652248091932144,91,61,3,5,0.08375737637508866,0.08935639808236308,True,0.02,True,False
BR,Q3 cross-extractant regret,OBOTH_vs_RANDOM,mae_all,_RANDOM,O_BOTH,1.5804152242601481,1.3464384209794649,1.8130749049619637,1.3465482808607099,1.8134311260192353,0.0,0.1176080403034802,0.32930251284974454,1.5804152242601481,91,89,5,5,1.5554185235880384,1.607341256673348,True,0.02,True,True
BR,Q3 cross-extractant Spearman,G14_vs_RANDOM,pair_spearman,_RANDOM,G14,0.40021766981401286,0.3734020031521978,0.4264963571974773,0.37341584884924905,0.42652482573583367,0.0,0.013494504945544075,0.03778461384752341,0.40021766981401286,91,91,5,5,0.397588617612746,0.40355023067253576,True,0.02,True,True
BR,Q3 cross-extractant Spearman,G13_vs_RANDOM,pair_spearman,_RANDOM,G13_FULL,0.46953174873121384,0.4359363416343711,0.5013162203623944,0.4349002229282672,0.5006364854634403,0.0,0.016564365072845907,0.046380222203968535,0.46953174873121384,91,91,5,5,0.4671839647015424,0.4737912392195075,True,0.02,True,True
BQ,Q1 sign accuracy,G14_vs_HEAVIER,sign_acc_strong,HEAVIER_ALWAYS,G14,0.18038196020559844,0.03613142799476267,0.3696878430185387,0.027681504143274995,0.3609431564742381,0.0164,0.08578161847163834,0.24018853172058735,0.17261760106081003,86,29,5,5,0.1439738983602588,0.23454862844897892,True,0.02,True,True
BQ,Q1 sign accuracy,G13_vs_HEAVIER,sign_acc_strong,HEAVIER_ALWAYS,G13_FULL,0.1440081955716195,0.03206501696620922,0.3042401688720684,0.02125689476090634,0.2890076401843185,0.0122,0.0689744872486952,0.19312856429634656,0.15935743437085362,86,35,5,5,0.11392931795888975,0.18919446556845976,True,0.02,True,True
BQ,Q1 sign accuracy,G14_vs_G13,sign_acc_strong,G13_FULL,G14,0.03637376463397893,-0.05502179545094325,0.1284432332535204,-0.04232621656796185,0.1414441202294982,0.4192,0.04549742842359363,0.12739279958606217,0.013260166689956427,86,40,5,5,0.005451464755613732,0.05485885426812128,True,0.02,False,False
BQ,Q1 sign accuracy,G14_vs_FLAT,sign_acc_strong,FLAT,G14,0.3101769497198481,0.187489256180295,0.3813288745738174,0.2024237110599145,0.3882420403113558,0.0,0.05095304161473027,0.14266851652124474,0.254140054103157,86,72,5,5,0.2693317359894572,0.32886977304875026,True,0.02,True,True
BQ,Q2 within-cell Spearman,G14_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,G14,0.24639366595462503,0.10131611753013449,0.45233815620093226,0.0864773607065724,0.43245751471221217,0.0004,0.08995333853715574,0.2518693479040361,0.2654689266450494,84,55,5,5,0.20937493430619009,0.31417765995398894,True,0.02,True,True
BQ,Q2 within-cell Spearman,G14_vs_G13,pair_spearman,G13_FULL,G14,0.02259163499083186,-0.08674639662179134,0.11939200046909247,-0.08545427605530706,0.12049158976688876,0.6434,0.05142253071656045,0.14398308600636925,0.008351819238391091,84,50,4,5,-0.00459202208751625,0.043933035276800786,False,0.02,False,False
BQ,Q2 best-pair top-1,G14_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,G14,-0.07244421253349824,-0.11010751082251082,-0.03831564088085827,-0.11430195163094575,-0.04074888466706748,0.0,0.018023894354347463,0.050466904192172896,-0.08641811302913786,84,5,0,5,-0.07801684426684427,-0.06608811870860064,True,0.02,False,False
BQ,Q2 best-pair top-1,OBOTH_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,O_BOTH,-0.05460557960557961,-0.11838097674683042,0.03239521832171478,-0.1287661698890589,0.020395042276701966,0.2204,0.038421089917722716,0.1075790517696236,-0.043464667377710854,84,5,0,5,-0.06813254496181326,-0.027868852459016397,True,0.02,False,False
BQ,Q3 cross-extractant regret,G14_vs_RANDOM,mae_all,_RANDOM,G14,0.22812502854660224,0.19483718167572775,0.2632800176888619,0.1959211328767926,0.2652131314764062,0.0,0.017421980353671897,0.04878154499028131,0.22812502854660224,91,89,5,5,0.22299229288279507,0.23086926571895125,True,0.02,True,True
BQ,Q3 cross-extractant regret,G13_vs_RANDOM,mae_all,_RANDOM,G13_FULL,0.4299850814276127,0.36301081294615756,0.49635767257853636,0.36255212365916717,0.49593707060971126,0.0,0.03338827923195242,0.09348718184946678,0.4299850814276127,91,88,5,5,0.42313255040881315,0.44004498982825485,True,0.02,True,True
BQ,Q3 cross-extractant regret,G14TIED_vs_G14,mae_all,G14,G14_TIED,0.1825108593979031,0.14561618578909555,0.21935365882549693,0.14611531799541475,0.22009487896019705,0.0,0.01864303423866478,0.052200495868261386,0.1825108593979031,91,73,5,5,0.1774185932737457,0.18532442226266152,True,0.02,True,True
BQ,Q3 cross-extractant regret,OBOTH_vs_RANDOM,mae_all,_RANDOM,O_BOTH,1.5804152242601481,1.3464384209794649,1.8130749049619637,1.3465482808607099,1.8134311260192353,0.0,0.1176080403034802,0.32930251284974454,1.5804152242601481,91,89,5,5,1.5554185235880384,1.607341256673348,True,0.02,True,True
BQ,Q3 cross-extractant Spearman,G14_vs_RANDOM,pair_spearman,_RANDOM,G14,0.360131074360628,0.3347163451746831,0.38480407983980536,0.33453472595802963,0.3846521788114757,0.0,0.012636346678135341,0.03538177069877895,0.360131074360628,91,91,5,5,0.35784195935795554,0.3633649011915353,True,0.02,True,True
BQ,Q3 cross-extractant Spearman,G13_vs_RANDOM,pair_spearman,_RANDOM,G13_FULL,0.5003999974363028,0.468795278430694,0.5300247279171403,0.46770958176946603,0.5290851088344206,0.0,0.015516458930773828,0.043446085006166715,0.5003999974363028,91,91,5,5,0.4982662523439918,0.5046574379765426,True,0.02,True,True
A,Q1 sign accuracy,G14_vs_HEAVIER,sign_acc_strong,HEAVIER_ALWAYS,G14,0.17867732483934928,0.036716586906152184,0.36272501561054743,0.028718436443632773,0.35252772019521517,0.0162,0.08368604970830094,0.23432093918324262,0.17435760814480608,86,29,5,5,0.14714141534154102,0.2296436058283413,True,0.02,True,True
A,Q1 sign accuracy,G13_vs_HEAVIER,sign_acc_strong,HEAVIER_ALWAYS,G13_FULL,0.19643448631164084,0.08106856694086,0.3597737820570667,0.06696826283332616,0.3441335990152923,0.0002,0.0726865306332732,0.20352228577316495,0.20062402914584415,86,39,5,5,0.16825053487023717,0.25375845911398826,True,0.02,True,True
A,Q1 sign accuracy,G14_vs_G13,sign_acc_strong,G13_FULL,G14,-0.017757161472291543,-0.09470785473622773,0.040286220254575004,-0.10045753716770223,0.03668495786454031,0.5682,0.0336605643975413,0.09424958031311564,-0.02626642100103806,86,31,1,5,-0.027481470367026826,-0.004710563276053591,True,0.02,False,False
A,Q1 sign accuracy,G14_vs_FLAT,sign_acc_strong,FLAT,G14,0.3084723143535989,0.17960746885619808,0.3827865029484636,0.1998547603620736,0.39088989092579973,0.0,0.05252991378836191,0.14708375860741332,0.255880061187153,86,74,5,5,0.2644267133688196,0.32750520495509156,True,0.02,True,True
A,Q2 within-cell Spearman,G14_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,G14,0.2496781278766185,0.1113034862209703,0.4474551119999572,0.09639149060491416,0.4282058824992143,0.0002,0.08596395173086663,0.24069906484642653,0.28001168533068654,84,56,5,5,0.22085134565703288,0.31398474045033103,True,0.02,True,True
A,Q2 within-cell Spearman,G14_vs_G13,pair_spearman,G13_FULL,G14,-0.02734951493361276,-0.12559366178159584,0.05280451103847264,-0.1289996502725133,0.0510989311547335,0.501,0.04501135957156826,0.1260318068003911,-0.011203508926197822,84,44,1,5,-0.043057521475401796,-0.007036456880604075,True,0.02,False,False
A,Q2 best-pair top-1,G14_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,G14,-0.0629265873015873,-0.12287834119496854,-0.027595550627347577,-0.12102366911616093,-0.02646251629020427,0.0,0.024370891261972713,0.0682384955335236,-0.09220194962042788,84,3,0,5,-0.0805327868852459,-0.05404618473895582,True,0.02,False,False
A,Q2 best-pair top-1,OBOTH_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,O_BOTH,-0.05460557960557961,-0.11838097674683042,0.03239521832171478,-0.1287661698890589,0.020395042276701966,0.2204,0.038421089917722716,0.1075790517696236,-0.043464667377710854,84,5,0,5,-0.06813254496181326,-0.027868852459016397,True,0.02,False,False
A,Q3 cross-extractant regret,G14_vs_RANDOM,mae_all,_RANDOM,G14,0.2938425812788836,0.25404539782928315,0.3345382291036741,0.25517364891648264,0.33545372150505176,0.0,0.020395192416780616,0.05710653876698572,0.2938425812788836,91,91,5,5,0.2896690925954624,0.29696431906631127,True,0.02,True,True
A,Q3 cross-extractant regret,G13_vs_RANDOM,mae_all,_RANDOM,G13_FULL,0.45174256720217687,0.36718390527220635,0.5379480127513941,0.36912295542108314,0.540034465935034,0.0,0.042478735137572034,0.11894045838520169,0.45174256720217687,91,83,5,5,0.4407287001288025,0.4622390894541958,True,0.02,True,True
A,Q3 cross-extractant regret,G14TIED_vs_G14,mae_all,G14,G14_TIED,0.13762998449683558,0.11046092914184245,0.1652466655796608,0.11127742076694198,0.16608709199278607,0.0,0.01400841983125338,0.03922357552750946,0.13762998449683558,91,80,5,5,0.13387829138798601,0.1396973949904178,True,0.02,True,True
A,Q3 cross-extractant regret,OBOTH_vs_RANDOM,mae_all,_RANDOM,O_BOTH,1.5804152242601481,1.3464384209794649,1.8130749049619637,1.3465482808607099,1.8134311260192353,0.0,0.1176080403034802,0.32930251284974454,1.5804152242601481,91,89,5,5,1.5554185235880384,1.607341256673348,True,0.02,True,True
A,Q3 cross-extractant Spearman,G14_vs_RANDOM,pair_spearman,_RANDOM,G14,0.3804566614767976,0.3627485470530742,0.39753660370752375,0.3625757143708179,0.3974034687505219,0.0,0.00882299599117766,0.024704388775297445,0.3804566614767976,91,91,5,5,0.37835711928876675,0.3830682817283727,True,0.02,True,True
A,Q3 cross-extractant Spearman,G13_vs_RANDOM,pair_spearman,_RANDOM,G13_FULL,0.5834838328172518,0.5500432894672899,0.6145660010105873,0.5487762574098387,0.6137980431826633,0.0,0.016379754335531755,0.04586331213948891,0.5834838328172518,91,91,5,5,0.5815173104729235,0.5879874598948115,True,0.02,True,True
BP,Q1 sign accuracy,G14_vs_HEAVIER,sign_acc_strong,HEAVIER_ALWAYS,G14,0.18245083278708804,0.040318783208618224,0.3710954554758138,0.03223033960822425,0.359992919162443,0.0116,0.0854067142330408,0.23913879985251424,0.18699732011215303,86,31,5,5,0.1485974749718768,0.24102285327000794,True,0.02,True,True
BP,Q1 sign accuracy,G13_vs_HEAVIER,sign_acc_strong,HEAVIER_ALWAYS,G13_FULL,0.059436676424678654,-0.05607588867766556,0.2195930166753663,-0.06987796151254154,0.19995857611014678,0.346,0.07116605048361999,0.19926494135413594,0.05997470672979401,86,33,5,5,0.028842526839835746,0.1157017123163285,True,0.02,False,False
BP,Q1 sign accuracy,G14_vs_G13,sign_acc_strong,G13_FULL,G14,0.12301415636240938,0.0520569000741863,0.1960792565363229,0.05418695209858246,0.19857541749825577,0.0018,0.03553144629334107,0.09948804962135499,0.12702261338235898,86,59,5,5,0.1102222676674455,0.1357939147445842,True,0.02,True,True
BP,Q1 sign accuracy,G14_vs_FLAT,sign_acc_strong,FLAT,G14,0.3122458223013376,0.19414957671275748,0.38087153643670973,0.20937648423237679,0.38620258559860277,0.0,0.048052793406102814,0.13454782153708786,0.2685197731545,86,72,5,5,0.27580596081048625,0.33098790450122767,True,0.02,True,True
BP,Q2 within-cell Spearman,G14_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,G14,0.24231719881986746,0.097047171008133,0.4510618172624545,0.07706912158009782,0.422519745119785,0.0004,0.09098104495633344,0.2547469258777336,0.2757953875278389,84,53,5,5,0.20809667689202396,0.31553526910327445,True,0.02,True,True
BP,Q2 within-cell Spearman,G14_vs_G13,pair_spearman,G13_FULL,G14,0.1234162429176397,0.022718722732060975,0.2199820093589476,0.022171130140736656,0.21972898218324843,0.022,0.049234597333065754,0.1378568725325841,0.1384095209777808,84,58,5,5,0.10644389389109064,0.14470811962519592,True,0.02,True,True
BP,Q2 best-pair top-1,G14_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,G14,-0.16176875042946473,-0.23952130894204723,-0.05538156347962386,-0.26436671290949476,-0.07683008974167634,0.0004,0.049395031238909926,0.1383060874689478,-0.14458142688344552,84,7,0,5,-0.17421250046250047,-0.10552285146547441,True,0.02,False,False
BP,Q2 best-pair top-1,OBOTH_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,O_BOTH,-0.05460557960557961,-0.11838097674683042,0.03239521832171478,-0.1287661698890589,0.020395042276701966,0.2204,0.038421089917722716,0.1075790517696236,-0.043464667377710854,84,5,0,5,-0.06813254496181326,-0.027868852459016397,True,0.02,False,False
BP,Q3 cross-extractant regret,G14_vs_RANDOM,mae_all,_RANDOM,G14,0.3077755996482619,0.2653763541939952,0.35231634465445555,0.26694857355545004,0.35377020094963335,0.0,0.02193038592558051,0.06140508059162543,0.3077755996482619,91,90,5,5,0.3017907517676297,0.3111993698087038,True,0.02,True,True
BP,Q3 cross-extractant regret,G13_vs_RANDOM,mae_all,_RANDOM,G13_FULL,0.5516908376558184,0.4434303057915459,0.6644151886211959,0.444917761824945,0.6674381958975129,0.0,0.05517103822408473,0.15447890702743722,0.5516908376558184,91,72,5,5,0.5337305889291543,0.5612118077675221,True,0.02,True,True
BP,Q3 cross-extractant regret,G14TIED_vs_G14,mae_all,G14,G14_TIED,0.1201791310595024,0.09029041007200547,0.14999710961454318,0.0904464476991775,0.15020679818339577,0.0,0.015154261298123318,0.04243193163474529,0.1201791310595024,91,70,5,5,0.1160317836306231,0.12285011626484164,True,0.02,True,True
BP,Q3 cross-extractant regret,OBOTH_vs_RANDOM,mae_all,_RANDOM,O_BOTH,1.5804152242601481,1.3464384209794649,1.8130749049619637,1.3465482808607099,1.8134311260192353,0.0,0.1176080403034802,0.32930251284974454,1.5804152242601481,91,89,5,5,1.5554185235880384,1.607341256673348,True,0.02,True,True
BP,Q3 cross-extractant Spearman,G14_vs_RANDOM,pair_spearman,_RANDOM,G14,0.3513219730374561,0.3324202684017489,0.36962388446860234,0.3324414952789388,0.36963889826615487,0.0,0.009441823566590637,0.026437105986453782,0.3513219730374561,91,91,5,5,0.34936215361462675,0.3540313802858347,True,0.02,True,True
BP,Q3 cross-extractant Spearman,G13_vs_RANDOM,pair_spearman,_RANDOM,G13_FULL,0.3044438590791883,0.2493454372317937,0.35759534328429293,0.24854543481565322,0.3565479234834649,0.0,0.02777189190643447,0.07776129733801651,0.3044438590791883,91,73,5,5,0.30045736923215893,0.30981398065239696,True,0.02,True,True
