design,metric,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
B,Q1 sign accuracy,G14_vs_HEAVIER,sign_acc_strong,HEAVIER_ALWAYS,G14,0.17835468036890695,0.03350740637984985,0.36830940545216106,0.025745568726834162,0.35971615080254093,0.0176,0.0861187471737306,0.24113249208644566,0.1683644801319247,86,29,5,5,0.14182621810543572,0.23173833053376985,True,0.02,True,True
B,Q1 sign accuracy,G13_vs_HEAVIER,sign_acc_strong,HEAVIER_ALWAYS,G13_FULL,0.14081675563328525,0.027979137303234314,0.3000869814937649,0.015851004706935526,0.284428378037197,0.0144,0.06924021228582852,0.19387259440031984,0.15462074822948624,86,36,5,5,0.11062252476977233,0.18603479214718505,True,0.02,True,True
B,Q1 sign accuracy,G14_vs_G13,sign_acc_strong,G13_FULL,G14,0.037537924735621675,-0.05285367614640715,0.12710966919147362,-0.04261587678392235,0.14002322772726872,0.4026,0.04523044506257513,0.12664524617521034,0.013743731902438428,86,39,5,5,0.008313646795010116,0.05605073246742219,True,0.02,False,False
B,Q1 sign accuracy,G14_vs_FLAT,sign_acc_strong,FLAT,G14,0.3081496698831566,0.18431601058915054,0.38053580363750134,0.20023803971292894,0.3879976753508749,0.0,0.05150872251779638,0.14422442304982985,0.2498869331742717,86,72,5,5,0.2665214380742482,0.32679422464451846,True,0.02,True,True
B,Q2 within-cell Spearman,G14_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,G14,0.2447849809769876,0.0986640040780047,0.45075167725574805,0.0844061900109561,0.43287512983434495,0.0008,0.09017581701568479,0.2524922876439174,0.26212155395345577,84,55,5,5,0.20815316930554406,0.31098614229768173,True,0.02,True,True
B,Q2 within-cell Spearman,G14_vs_G13,pair_spearman,G13_FULL,G14,0.020332748517332504,-0.091007198744669,0.11569797323722002,-0.0948836223219718,0.1134472135854623,0.6606,0.05110876240111493,0.1431045347231218,0.011824493104241808,84,50,4,5,-0.0026137104967226556,0.041668839108659046,False,0.02,False,False
B,Q2 best-pair top-1,G14_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,G14,-0.0530952380952381,-0.10338983050847458,-0.022631210034431876,-0.0982731262478902,-0.01977327259055813,0.0,0.020919787625867874,0.05857540535243004,-0.08175293305728087,84,3,0,5,-0.07049180327868852,-0.046329113924050626,True,0.02,False,False
B,Q2 best-pair top-1,OBOTH_vs_HEAVIER,pair_spearman,HEAVIER_ALWAYS,O_BOTH,-0.05460557960557961,-0.11838097674683042,0.03239521832171478,-0.1287661698890589,0.020395042276701966,0.2204,0.038421089917722716,0.1075790517696236,-0.043464667377710854,84,5,0,5,-0.06813254496181326,-0.027868852459016397,True,0.02,False,False
B,Q3 cross-extractant regret,G14_vs_RANDOM,mae_all,_RANDOM,G14,0.23276648635638927,0.1959254375662766,0.2722755715578363,0.1972430591185476,0.27412365444066616,0.0,0.01950100930897908,0.05460282606514143,0.23276648635638927,91,88,5,5,0.2259640478954198,0.23556779855151444,True,0.02,True,True
B,Q3 cross-extractant regret,G13_vs_RANDOM,mae_all,_RANDOM,G13_FULL,0.4457677737588864,0.37243906921784187,0.5182881994859054,0.37053308454691186,0.5170947688917085,0.0,0.03720263830064264,0.10416738724179939,0.4457677737588864,91,88,5,5,0.4374482232373134,0.45902595885135555,True,0.02,True,True
B,Q3 cross-extractant regret,G14TIED_vs_G14,mae_all,G14,G14_TIED,0.17992841103541127,0.1482306019884435,0.21205898681019067,0.14846554487177357,0.21231285192008292,0.0,0.016378946908367845,0.045861051343429965,0.17992841103541127,91,79,5,5,0.17664104873140907,0.18279571396709338,True,0.02,True,True
B,Q3 cross-extractant regret,OBOTH_vs_RANDOM,mae_all,_RANDOM,O_BOTH,1.5804152242601481,1.3464384209794649,1.8130749049619637,1.3465482808607099,1.8134311260192353,0.0,0.1176080403034802,0.32930251284974454,1.5804152242601481,91,89,5,5,1.5554185235880384,1.607341256673348,True,0.02,True,True
B,Q3 cross-extractant Spearman,G14_vs_RANDOM,pair_spearman,_RANDOM,G14,0.3475534443369683,0.3244687657735768,0.37031963998455486,0.32462494122782104,0.3705910948173989,0.0,0.011579555422859296,0.03242275518400603,0.3475534443369683,91,91,5,5,0.34520803480254003,0.35044330877722896,True,0.02,True,True
B,Q3 cross-extractant Spearman,G13_vs_RANDOM,pair_spearman,_RANDOM,G13_FULL,0.5029693522260446,0.4707985824444716,0.5330343249099938,0.4698268111969765,0.5323167027005615,0.0,0.015766503745506154,0.04414621048741723,0.5029693522260446,91,91,5,5,0.5008585100583113,0.5072160866023523,True,0.02,True,True
BR,Q1 sign accuracy,G14_vs_HEAVIER,sign_acc_strong,HEAVIER_ALWAYS,G14,0.1795049079908935,0.03447020745459869,0.3730956276762394,0.02408810947463889,0.3609129632052928,0.0154,0.08729616612075765,0.2444292651381214,0.17898499354453704,86,32,5,5,0.1429677760902105,0.23919440180493412,True,0.02,True,True
BR,Q1 sign accuracy,G13_vs_HEAVIER,sign_acc_strong,HEAVIER_ALWAYS,G13_FULL,0.1320052680962617,0.022924756036611066,0.2874571477826709,0.01390854090116995,0.2725040860210701,0.018,0.06682494012130076,0.18710983233964212,0.1432375385262398,86,35,5,5,0.10149254973141059,0.17482780365017325,True,0.02,True,True
