design,dropped_chemotype,arm,n_extractants_dropped,n_extractants_left,sign_acc,cell_spearman,cell_top1,cross_spearman,cross_regret
B,sc009,FLAT,23,67,0.5,0.0,0.03648806794298597,0.0,1.7143052752203238
B,sc009,MEAN_CURVE,23,67,0.5182795953444644,0.15490755920591176,0.13387404944781994,-0.2372600456418666,1.9667901209998284
B,sc009,G14,23,67,0.7665214380742482,0.412191574004238,0.23583486185945204,0.371029428152087,1.5042725174340117
B,sc009,G13_FULL,23,67,0.7208178996876633,0.39408354494529424,0.1943264931789522,0.41339901649196287,1.451003638303196
B,sc009,O_BOTH,23,67,0.966749520531447,0.7440772186022958,0.2784578126791242,0.8744560492860209,0.16894410037217747
B,sc009,HEAVIER_ALWAYS,23,67,0.5347831075404783,0.10120543170655624,0.30632666513814055,0.0,1.7143052752203238
B,sc009,G14_TIED,23,67,0.7685311070451013,0.41802507368485314,0.14239223890863234,0.4624210413710343,1.3886985913285421
B,sc068,FLAT,6,84,0.5,0.0,0.04090221308952473,0.0,1.7685843736492592
B,sc068,MEAN_CURVE,6,84,0.6037137809151669,0.29666242373701657,0.12893368937672736,-0.27165484866639444,2.1210827727706176
B,sc068,G14,6,84,0.7984713989903496,0.5101130834871742,0.36608384231801955,0.2813822337774842,1.5715036086808136
B,sc068,G13_FULL,6,84,0.7901577521953393,0.5127267939838969,0.29985330422039286,0.47701291219878517,1.322816599890373
B,sc068,O_BOTH,6,84,0.9703516462580399,0.7581186349385189,0.35435132729436525,0.8722032518252177,0.1998760526593543
B,sc068,HEAVIER_ALWAYS,6,84,0.6566451808849137,0.3019599141816301,0.4124129562420702,0.0,1.7685843736492592
B,sc068,G14_TIED,6,84,0.8001173044441365,0.516262456845275,0.3091218170015638,0.47165298960182306,1.3740431452305344
B,sc027,FLAT,6,84,0.5,0.0,0.041086128942508675,0.0,1.7832561353232588
B,sc027,MEAN_CURVE,6,84,0.5477282194009154,0.2092714148692525,0.1305866853943777,-0.25234798617246307,2.0946141266938283
B,sc027,G14,6,84,0.7950108951243934,0.4833114238678987,0.37334132747594284,0.39870933315956875,1.5511256740444352
B,sc027,G13_FULL,6,84,0.7614775665097905,0.4640233126720309,0.32164629530014144,0.49526382209562014,1.3268827425218597
B,sc027,O_BOTH,6,84,0.9700965442172237,0.7570049497224647,0.37171480584942124,0.877808266169103,0.202840911063111
B,sc027,HEAVIER_ALWAYS,6,84,0.6032796137278184,0.2309487651345156,0.4305208146554301,0.0,1.7832561353232588
B,sc027,G14_TIED,6,84,0.7965935094389399,0.48729004152753796,0.3002644043990198,0.5259443917947675,1.345598523866928
B,sc036,FLAT,4,86,0.5,0.0,0.038923444583414825,0.0,1.7824064448618242
B,sc036,MEAN_CURVE,4,86,0.5931028308519412,0.2930087733515328,0.13482201825951826,-0.24740316310579225,2.080616084974898
B,sc036,G14,4,86,0.8089821020131845,0.5210938558225819,0.3765077942890443,0.3371796313004343,1.5508897325499773
B,sc036,G13_FULL,4,86,0.7700873848172392,0.4981636062220828,0.31610513791763795,0.5013050664269338,1.3366386711029377
B,sc036,O_BOTH,4,86,0.9789441734279608,0.783944400194848,0.3749219357031857,0.8883547954870965,0.20199122060167624
B,sc036,HEAVIER_ALWAYS,4,86,0.644791882422682,0.29302520394360354,0.4322577942890443,0.0,1.7824064448618242
B,sc036,G14_TIED,4,86,0.8105075134006995,0.5280681866824439,0.3052577942890443,0.5058795792193547,1.3698787665649177
B,sc031,FLAT,3,87,0.5,0.0,0.039532357859158096,0.0,1.7824208307107359
B,sc031,MEAN_CURVE,3,87,0.5987525726763818,0.27053551219152305,0.12665562757026172,-0.23910102914007636,2.0726653817256135
B,sc031,G14,3,87,0.8016456132007923,0.505151959660166,0.35512955540394564,0.3373305441468724,1.5552417383762158
B,sc031,G13_FULL,3,87,0.7627508960048468,0.48608177366918676,0.298639158944037,0.4988025063948623,1.336653056951849
B,sc031,O_BOTH,3,87,0.9716076846155686,0.7738741702235775,0.3535823762957909,0.8844101183901278,0.20200560645058804
B,sc031,HEAVIER_ALWAYS,3,87,0.6521283712350745,0.2798170594633633,0.4095197993063847,0.0,1.7824208307107359
B,sc031,G14_TIED,3,87,0.803171024588307,0.5096078852082451,0.2856173602819944,0.503843948622902,1.3727055572375444
B,sc029,FLAT,3,87,0.5,0.0,0.03944194348882767,0.0,1.7782169625249893
B,sc029,MEAN_CURVE,3,87,0.5908606322438442,0.2768420603272379,0.13562668470075878,-0.2506314190294056,2.082917858204938
B,sc029,G14,3,87,0.8152326320837776,0.5219473538852174,0.3706249820138709,0.3433572000404146,1.5366569309953166
B,sc029,G13_FULL,3,87,0.7746282189612688,0.4967997678208234,0.3122026053507535,0.4984235058945769,1.3366592796351373
B,sc029,O_BOTH,3,87,0.9756998295929937,0.7792788636167893,0.37029326983030686,0.8930797758455974,0.1978017382648414
B,sc029,HEAVIER_ALWAYS,3,87,0.6426631812827185,0.2809703637335549,0.4269212783101672,0.0,1.7782169625249893
B,sc029,G14_TIED,3,87,0.8171711243663011,0.5266368211332265,0.3014891795447351,0.5209577025155084,1.3447561724156474
B,sc030,FLAT,3,87,0.5,0.0,0.03973709891755769,0.0,1.7825468238067752
B,sc030,MEAN_CURVE,3,87,0.592616540034325,0.2629256181447254,0.13397270074099343,-0.2512277276841339,2.085916974023143
B,sc030,G14,3,87,0.8012153206018249,0.5011298921916512,0.36732467735516516,0.3216026428847151,1.5596006985012771
B,sc030,G13_FULL,3,87,0.773318440909741,0.4832607695226259,0.3059562321147687,0.4889569135704896,1.3367790500478887
B,sc030,O_BOTH,3,87,0.9711773920166011,0.7680364661356083,0.36577749824701045,0.8829155382340057,0.20213159954662746
B,sc030,HEAVIER_ALWAYS,3,87,0.6525586638340418,0.2804086661254115,0.42171492125760424,0.0,1.7825468238067752
B,sc030,G14_TIED,3,87,0.8027407319893397,0.5051921238465664,0.29781248223321394,0.4908520242240277,1.3771730720477942
B,sc028,FLAT,2,88,0.5,0.0,0.03991950458776824,0.0,1.777802543858638
B,sc028,MEAN_CURVE,2,88,0.586335269289114,0.2610466331817237,0.13397270074099343,-0.23402510052541148,2.066210400166065
B,sc028,G14,2,88,0.8243427688404266,0.5222432200197459,0.36732467735516516,0.37958454610175263,1.5283579940116214
B,sc028,G13_FULL,2,88,0.7822681906645084,0.4943980787268371,0.3083952565050126,0.5083508610624207,1.3320347700997515
B,sc028,O_BOTH,2,88,0.972583443472186,0.7666550753197436,0.36577749824701045,0.8845640543105381,0.1904000012630493
B,sc028,HEAVIER_ALWAYS,2,88,0.6417415484627362,0.2764794490720329,0.42171492125760424,0.0,1.777802543858638
