design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,metric
A,G14_vs_RANDOM,mae_all,_RANDOM,G14,-0.08262889515011011,-0.2244357437281943,0.03817970254802167,-0.22616534890013482,0.03678167503579785,0.3714,0.07500145892684368,0.2100040849951623,-0.06596073472560078,246,76,2,5,-0.16066291401502036,0.014069624471438138,False,0.02,False,False,within-pub regret
A,G14TIED_vs_RANDOM,mae_all,_RANDOM,G14_TIED,0.03144336324458724,0.0,0.054632180420711995,0.0,0.05608419850498341,0.1246,0.01386331007801236,0.038817268218434606,0.02125018504991335,246,165,1,5,0.013599695321516938,0.036833654086516475,True,0.02,False,False,within-pub regret
A,G13_vs_RANDOM,mae_all,_RANDOM,G13_FULL,0.10294301555468846,-0.02116863469405359,0.1718328480053618,-0.0163052282271524,0.17774636530630872,0.1246,0.047750212154315734,0.13370059403208404,0.06328799600582624,246,190,5,5,0.04767606911557361,0.12560884315930174,True,0.02,False,False,within-pub regret
A,OBOTH_vs_RANDOM,mae_all,_RANDOM,O_BOTH,0.5154424956139502,0.17045546492343155,0.6367566162963303,0.17045546492343155,0.6367566162963303,0.0,0.113808265686544,0.31866314392232314,0.40031348712921333,246,233,5,5,0.4240912887425783,0.5673648984285877,True,0.02,True,True,within-pub regret
A,G14_vs_RANDOM,pair_spearman,_RANDOM,G14,-0.117524779679449,-0.2846884401043806,0.05070337640234593,-0.2846884401043806,0.05070337640234593,0.2848,0.09714331131443522,0.2720012716804186,-0.11352583841692843,246,94,2,5,-0.23167795235165295,-0.004316885921499786,True,0.02,False,False,within-pub spearman
A,G14TIED_vs_RANDOM,pair_spearman,_RANDOM,G14_TIED,0.035501124519185204,0.0,0.057773967410884246,0.0,0.05930948813941273,0.1246,0.014264314457513598,0.03994008048103807,0.023992518219009783,246,153,1,5,0.017951987021925703,0.04158703157961696,True,0.02,False,False,within-pub spearman
A,G13_vs_RANDOM,pair_spearman,_RANDOM,G13_FULL,0.026944077112394643,-0.1331385521420338,0.0832368698172486,-0.13761141949541084,0.0832368698172486,0.6218,0.052133496427371945,0.14597378999664143,-0.024347359059159173,246,154,2,5,-0.011085515803082417,0.05583517060377114,False,0.02,False,False,within-pub spearman
B,G14_vs_RANDOM,mae_all,_RANDOM,G14,-0.04654490202410816,-0.08542798883278316,0.017843633000521886,-0.10084603937728936,-0.00596511054412185,0.1246,0.02621181139082284,0.07339307189430395,-0.026646595243301006,246,72,2,5,-0.05992269570762193,-0.014664879449014671,True,0.02,False,False,within-pub regret
B,G14TIED_vs_RANDOM,mae_all,_RANDOM,G14_TIED,0.03144336324458724,0.0,0.054632180420711995,0.0,0.05608419850498341,0.1246,0.01386331007801236,0.038817268218434606,0.021250185049913356,246,165,1,5,0.013599695321516947,0.03683365408651648,True,0.02,False,False,within-pub regret
B,G13_vs_RANDOM,mae_all,_RANDOM,G13_FULL,0.05351668547667106,-0.030417563317133786,0.15634387519086668,-0.030417563317133786,0.15634387519086668,0.5348,0.05378440518376468,0.15059633451454107,0.0345380604410805,246,142,4,5,-0.018037228211218843,0.1029785554480701,False,0.02,False,False,within-pub regret
