design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,metric
B,OBOTH_vs_RANDOM,mae_all,_RANDOM,O_BOTH,0.5154424956139502,0.17045546492343155,0.6367566162963302,0.17045546492343155,0.6367566162963302,0.0,0.113808265686544,0.31866314392232314,0.40031348712921333,246,233,5,5,0.4240912887425783,0.5673648984285877,True,0.02,True,True,within-pub regret
B,G14_vs_RANDOM,pair_spearman,_RANDOM,G14,-0.09210392430332735,-0.1691141049526816,0.045010300446428037,-0.17954843004620652,0.02375360939594664,0.1464,0.053429025059975,0.14960127016792998,-0.050185365947236875,246,72,1,5,-0.12168256027485153,-0.0299865198762932,True,0.02,False,False,within-pub spearman
B,G14TIED_vs_RANDOM,pair_spearman,_RANDOM,G14_TIED,0.035501124519185204,0.0,0.057773967410884246,0.0,0.05930948813941273,0.1246,0.014264314457513598,0.03994008048103807,0.023992518219009783,246,153,1,5,0.017951987021925703,0.04158703157961696,True,0.02,False,False,within-pub spearman
B,G13_vs_RANDOM,pair_spearman,_RANDOM,G13_FULL,-0.015406117120601623,-0.11429149553956593,0.07751359326691948,-0.12326712708280937,0.0775004223127941,0.7876,0.05607155095163743,0.1570003426645848,-0.015895100094094693,246,103,3,5,-0.0786035168520354,0.051364218256068656,False,0.02,False,False,within-pub spearman
BP,G14_vs_RANDOM,mae_all,_RANDOM,G14,-0.07149993254618894,-0.13779835096566342,0.02172746143322001,-0.1605125534188034,-0.009120965498994955,0.1246,0.04093359103296642,0.11461405489230597,-0.04218669071029941,246,61,1,5,-0.08966295257764673,-0.019240909969363673,True,0.02,False,False,within-pub regret
BP,G14TIED_vs_RANDOM,mae_all,_RANDOM,G14_TIED,0.048581190682271194,0.0,0.06566468630680612,0.0,0.06566468630680612,0.1246,0.015899991068725167,0.04451997499243046,0.03283234315340306,246,165,3,5,0.036303965053763446,0.056909394799231974,True,0.02,False,False,within-pub regret
BP,G13_vs_RANDOM,mae_all,_RANDOM,G13_FULL,-0.1247980107427045,-0.19169236331200737,0.0075527542114378525,-0.1952952228955747,-0.010894565946699433,0.082,0.047986724207813275,0.13436282778187716,-0.08408920197603001,246,79,0,5,-0.15275737620859672,-0.07357512242605573,True,0.02,False,False,within-pub regret
BP,OBOTH_vs_RANDOM,mae_all,_RANDOM,O_BOTH,0.5154424956139502,0.17045546492343155,0.6367566162963302,0.17045546492343155,0.6367566162963302,0.0,0.113808265686544,0.31866314392232314,0.40031348712921333,246,233,5,5,0.4240912887425783,0.5673648984285877,True,0.02,True,True,within-pub regret
BP,G14_vs_RANDOM,pair_spearman,_RANDOM,G14,-0.12758137807854328,-0.22887754530624405,0.048158338025465874,-0.2673272704091122,-0.016928749083153748,0.1246,0.06847690735839371,0.19173534060350236,-0.0716494678199846,246,52,1,5,-0.16020096347323748,-0.045537015484467355,True,0.02,False,False,within-pub spearman
BP,G14TIED_vs_RANDOM,pair_spearman,_RANDOM,G14_TIED,0.05812354718909159,0.0,0.0831994082909846,0.0,0.0851476388431523,0.1246,0.020034791177704955,0.056097415297573866,0.03928129837504542,246,153,3,5,0.038391733182716624,0.06808758385007871,True,0.02,False,False,within-pub spearman
BP,G13_vs_RANDOM,pair_spearman,_RANDOM,G13_FULL,-0.18189505295402666,-0.28866832444956736,0.025110142358031405,-0.3030527075581398,-0.03887139127476882,0.082,0.08107725251115387,0.22701630703123082,-0.12240582239706282,246,48,0,5,-0.23566209604546526,-0.09925912287530053,True,0.02,False,False,within-pub spearman
BQ,G14_vs_RANDOM,mae_all,_RANDOM,G14,-0.0365357479545173,-0.06876307111086188,0.018978710916462294,-0.07430932915886959,0.006198490831153768,0.1464,0.022405312848463133,0.06273487597569677,-0.01984391043115878,246,82,2,5,-0.049183571375958364,-0.010155682595914923,True,0.02,False,False,within-pub regret
BQ,G14TIED_vs_RANDOM,mae_all,_RANDOM,G14_TIED,0.03144336324458724,0.0,0.054632180420711995,0.0,0.05608419850498341,0.1246,0.01386331007801236,0.038817268218434606,0.021250185049913356,246,165,1,5,0.013599695321516947,0.03683365408651648,True,0.02,False,False,within-pub regret
BQ,G13_vs_RANDOM,mae_all,_RANDOM,G13_FULL,0.030638858768990657,-0.06168971202737173,0.1424962272721683,-0.06168971202737173,0.1424962272721683,0.649,0.05884830223899185,0.16477524626917717,0.014923476401140988,246,116,4,5,-0.04699520909351591,0.08868964089263007,False,0.02,False,False,within-pub regret
BQ,OBOTH_vs_RANDOM,mae_all,_RANDOM,O_BOTH,0.5154424956139502,0.17045546492343155,0.6367566162963302,0.17045546492343155,0.6367566162963302,0.0,0.113808265686544,0.31866314392232314,0.40031348712921333,246,233,5,5,0.4240912887425783,0.5673648984285877,True,0.02,True,True,within-pub regret
BQ,G14_vs_RANDOM,pair_spearman,_RANDOM,G14,-0.07513769324935202,-0.14497620251810125,0.0430523098120379,-0.15948901460810663,0.011160942347697912,0.2374,0.049374768624259026,0.13824935214792528,-0.040619942962385136,246,79,2,5,-0.10451065590683029,-0.01753428299807533,True,0.02,False,False,within-pub spearman
BQ,G14TIED_vs_RANDOM,pair_spearman,_RANDOM,G14_TIED,0.035501124519185204,0.0,0.057773967410884246,0.0,0.05930948813941273,0.1246,0.014264314457513598,0.03994008048103807,0.023992518219009783,246,153,1,5,0.017951987021925703,0.04158703157961696,True,0.02,False,False,within-pub spearman
BQ,G13_vs_RANDOM,pair_spearman,_RANDOM,G13_FULL,-0.062495890358677406,-0.11659621931466589,-0.022229219523401816,-0.11855833135881255,-0.022984504267213164,0.0,0.028802720405173142,0.08064761713448479,-0.051152020762931474,246,93,1,5,-0.0867010653652256,-0.023992671955546878,True,0.02,False,False,within-pub spearman
BR,G14_vs_RANDOM,mae_all,_RANDOM,G14,0.00529702713739231,-0.032611049508781,0.040809038246892464,-0.03773156151126301,0.04080903824689245,0.7512,0.02174802866468288,0.06089448026111206,0.007491356434745824,246,98,3,5,-0.01767878857916237,0.032527929628807566,False,0.02,False,False,within-pub regret
BR,G14TIED_vs_RANDOM,mae_all,_RANDOM,G14_TIED,0.04001227696342922,0.0,0.05608419850498341,0.0,0.05608419850498341,0.1246,0.013477043387639135,0.037735721485389576,0.02704126410165821,246,165,2,5,0.027199390643033883,0.04687152444287423,True,0.02,False,False,within-pub regret
BR,G13_vs_RANDOM,mae_all,_RANDOM,G13_FULL,0.050766056595741946,-0.01937735042570257,0.1263917522932039,-0.01937735042570257,0.13055829938257488,0.5444,0.04122761158048353,0.11543731242535386,0.028114539429292484,246,156,4,5,-0.0050134951233170915,0.07758316928659165,False,0.02,False,False,within-pub regret
BR,OBOTH_vs_RANDOM,mae_all,_RANDOM,O_BOTH,0.5154424956139502,0.17045546492343155,0.6367566162963302,0.17045546492343155,0.6367566162963302,0.0,0.113808265686544,0.31866314392232314,0.40031348712921333,246,233,5,5,0.4240912887425783,0.5673648984285877,True,0.02,True,True,within-pub regret
BR,G14_vs_RANDOM,pair_spearman,_RANDOM,G14,-0.0074186512413364,-0.06934698733708468,0.050608687305073424,-0.07396512837747199,0.05060868730507342,0.8272,0.03356316106514294,0.09397685098240023,-0.00208323470906523,246,102,3,5,-0.03689075019681739,0.03342334108957576,False,0.02,False,False,within-pub spearman
BR,G14TIED_vs_RANDOM,pair_spearman,_RANDOM,G14_TIED,0.046812335854138395,0.0,0.06327381659405519,0.0,0.06221446860909886,0.1246,0.01520582324404744,0.04257630508333283,0.0316369082970276,246,153,2,5,0.03590397404385141,0.054837307714847836,True,0.02,False,False,within-pub spearman
BR,G13_vs_RANDOM,pair_spearman,_RANDOM,G13_FULL,-0.02537181500927344,-0.07797868797868798,0.035879911297949776,-0.07454143436389433,0.03759114096423449,0.3204,0.032426594883996476,0.09079446567519013,-0.0323429094741689,246,90,3,5,-0.06755116573744147,0.008109709910904912,False,0.02,False,False,within-pub spearman
