design,arm,metric,observed,null_mean,null_sd,null_min,null_max,n_rep,z_vs_null,p_emp
B,G14,macro_mae,0.4932079570494346,0.7059586403361544,0.023379097923458214,0.6671707294430521,0.743381105478666,20,-9.10003816157719,0.047619047619047616
B,G14,sign_acc,0.8081496698831565,0.41645599788799653,0.04420907969379166,0.34166516675581,0.4845108724690208,20,8.860027729782532,0.047619047619047616
B,G14,cell_spearman,0.5062372365904857,-0.04068663897794034,0.0649402148066752,-0.1613860913174317,0.0619343208996708,20,8.421959754777525,0.047619047619047616
B,G14,cell_top1,0.35857885170385173,0.30574809086416227,0.0192321779198888,0.2789377553663268,0.3441513281691853,20,2.746998340996781,0.047619047619047616
B,G14,cross_spearman,0.3475534443369682,-0.010139797911472199,0.08660972893077874,-0.1697435212008046,0.1492302163615884,20,4.129942982898841,0.047619047619047616
B,G14,cross_top1,0.007874736374736374,0.009242052767340709,0.0029323458928500906,0.0041428188788437,0.0146103164235032,20,-0.46628755357212415,0.7142857142857143
B,G14,cross_regret,1.5504896489668696,1.807614479921702,0.06799001184784566,1.6649929594083583,1.9202466610813853,20,-3.781803002627065,0.047619047619047616
B,G14,calib_slope,1.1662291661913327,-0.12620577021317406,0.19017131376547478,-0.4107824217511233,0.2284006911850494,20,6.7961613705754695,0.047619047619047616
B,G13_FULL,macro_mae,0.4822949212489055,0.5825709133136686,0.015467090331013867,0.5599476141006169,0.6186953161438364,20,-6.483183967943506,0.047619047619047616
B,G13_FULL,sign_acc,0.7706117451475348,0.6005192982857555,0.026694170400401857,0.5536278025455437,0.655149149643254,20,6.371894848592814,0.047619047619047616
B,G13_FULL,cell_spearman,0.4859044880731533,0.24012741596461526,0.044330054827321455,0.1636699473454437,0.3199811713019429,20,5.54425373634009,0.047619047619047616
B,G13_FULL,cell_top1,0.30105251230251234,0.25179290435094004,0.020142446044457987,0.2225872408015265,0.3077645172288029,20,2.4455623633220873,0.09523809523809523
B,G13_FULL,cross_spearman,0.5029693522260447,0.16076036076628225,0.06293402620928898,0.0317646845468361,0.2602989076077913,20,5.437583006714623,0.047619047619047616
B,G13_FULL,cross_top1,0.001098901098901099,0.010934065934065856,0.010011306759716053,0.0,0.0329670329670329,20,-0.9824057009959914,0.8571428571428571
B,G13_FULL,cross_regret,1.3374883615643725,1.5545064233095527,0.11187891430034104,1.399925189274658,1.822268745703339,20,-1.9397583816606514,0.047619047619047616
B,G13_FULL,calib_slope,1.0808583928109525,0.5874812313807017,0.13653668826560597,0.297268878689773,0.829447523851053,20,3.6135134643846056,0.047619047619047616
BR,G14,macro_mae,0.4905920517292001,0.723662247293472,0.02443151523423734,0.6841384986315218,0.7657325938638941,20,-9.53973559681868,0.047619047619047616
BR,G14,sign_acc,0.8092998975051431,0.39797366984062804,0.04274723059288147,0.3126189743785391,0.4778988324632903,20,9.622289490094163,0.047619047619047616
BR,G14,cell_spearman,0.5025068226822679,-0.0710044536801498,0.06410394133700865,-0.1773084469414028,0.0416226535065962,20,8.94658369517939,0.047619047619047616
BR,G14,cell_top1,0.3395843574415003,0.3093507544043258,0.01215595654968345,0.2873142499035356,0.3294361921147636,20,2.4871430655090476,0.047619047619047616
BR,G14,cross_spearman,0.40021766981401286,-0.09905841347140883,0.07221024669098346,-0.1999117319944331,0.0401864546779788,20,6.914199939269337,0.047619047619047616
