arm,macro_mae,sign_acc,cell_spearman,cell_top1,cross_spearman,cross_top1,cross_regret,calib_slope,design
FLAT,0.5885062528901843,0.5,0.0,0.03925248690483951,0.0,0.01707631775900001,1.7832561353232588,,B
MEAN_CURVE,0.5968578598032309,0.5785303068521226,0.25619384114375654,0.13078287453287454,-0.24939356412552463,0.005055286254066351,2.077117555171296,0.5116916056338635,B
HEAVIER_ALWAYS,1.008308603012117,0.6297949895142496,0.26145225561349816,0.41167408979908976,0.0,0.01707631775900001,1.7832561353232588,0.28353963303186475,B
G14,0.4932079570494346,0.8081496698831565,0.5062372365904857,0.35857885170385173,0.3475534443369682,0.007874736374736374,1.5504896489668696,1.1662291661913327,B
G14_TIED,0.48636106501958115,0.8096218692455256,0.5105037200183571,0.29072170884670884,0.510152316122198,0.030379181466263096,1.3705612379314582,1.2598313066591984,B
G13_FULL,0.4822949212489055,0.7706117451475348,0.4859044880731533,0.30105251230251234,0.5029693522260447,0.001098901098901099,1.3374883615643725,1.0808583928109525,B
O_BOTH,0.18111057110671816,0.9721828318299754,0.766666955960425,0.3570685101935102,0.884080831647973,0.5274725274725275,0.202840911063111,1.0905575675573076,B
FLAT,0.5885062528901843,0.5,0.0,0.03925248690483951,0.0,0.01707631775900001,1.7832561353232588,,BR
MEAN_CURVE,0.596860344871866,0.5705652539119956,0.2501826779778821,0.1332739416667988,-0.2723233408671562,0.004439704607408504,2.065471158865066,0.5553169257725884,BR
HEAVIER_ALWAYS,1.008308603012117,0.6297949895142496,0.26145225561349816,0.41167408979908976,0.0,0.01707631775900001,1.7832561353232588,0.28353963303186475,BR
G14,0.4905920517292001,0.8092998975051431,0.5025068226822679,0.3395843574415003,0.40021766981401286,0.018696083830699217,1.4648590566972206,1.152171903553546,BR
G14_TIED,0.4860974842833891,0.8088674685544343,0.5086130078998525,0.28929313741813745,0.49950955926916885,0.030114644117789975,1.3783365757778996,1.2027432058988672,BR
G13_FULL,0.48456207068775603,0.7618002576105113,0.4704984105091903,0.30399952560666843,0.4695317487312137,0.013186813186813187,1.3892562982679937,1.0793775790838984,BR
O_BOTH,0.18111057110671816,0.9721828318299754,0.766666955960425,0.3570685101935102,0.884080831647973,0.5274725274725275,0.202840911063111,1.0905575675573076,BR
FLAT,0.5885062528901843,0.5,0.0,0.03925248690483951,0.0,0.01707631775900001,1.7832561353232588,,BQ
MEAN_CURVE,0.5968492850136082,0.567659989233427,0.24620276132532415,0.12244507476650335,-0.2667533598630102,0.006366661715527459,2.064815727973306,0.5376119314696594,BQ
HEAVIER_ALWAYS,1.008308603012117,0.6297949895142496,0.26145225561349816,0.41167408979908976,0.0,0.01707631775900001,1.7832561353232588,0.28353963303186475,BQ
G14,0.49054320488997477,0.8101769497198481,0.5078459215681232,0.3392298772655915,0.360131074360628,0.0062017751055018135,1.5551311067766567,1.1909041481205611,BQ
G14_TIED,0.4837686608590327,0.814877634659459,0.5113806184804018,0.2788169469419469,0.5050824658891044,0.030546905294297454,1.3726202473787532,1.2734266779385486,BQ
G13_FULL,0.4803309845035805,0.7738031850858691,0.4852542865772914,0.32543526579240867,0.5003999974363029,0.005494505494505494,1.353271053895646,1.082438934181243,BQ
O_BOTH,0.18111057110671816,0.9721828318299754,0.766666955960425,0.3570685101935102,0.884080831647973,0.5274725274725275,0.202840911063111,1.0905575675573076,BQ
FLAT,0.5885062528901843,0.5,0.0,0.03925248690483951,0.0,0.01707631775900001,1.7832561353232588,,A
MEAN_CURVE,0.5831886108961208,0.6085874695569309,0.28926376268141074,0.13790772058629203,-0.05597069060505625,0.012051996968771373,1.869276558066413,1.0736584649083827,A
HEAVIER_ALWAYS,1.008308603012117,0.6297949895142496,0.26145225561349816,0.41167408979908976,0.0,0.01707631775900001,1.7832561353232588,0.2835396330318757,A
G14,0.49213393784744824,0.8084723143535989,0.5111303834901167,0.3487475024975025,0.3804566614767976,0.018138485446177754,1.4894135540443751,1.1758080160631534,A
G14_TIED,0.48587395631097496,0.8071085638833638,0.520144292654331,0.41167408979908976,0.5156473990456694,0.03548906965429266,1.3517835695475395,1.2446498757682556,A
G13_FULL,0.437349005100162,0.8262294758258903,0.5384798984237295,0.288585508406937,0.5834838328172518,0.03186813186813187,1.3315135681210821,1.1294014360603404,A
O_BOTH,0.18111057110671816,0.9721828318299754,0.766666955960425,0.3570685101935102,0.884080831647973,0.5274725274725275,0.202840911063111,1.0905575675573125,A
FLAT,0.5885062528901843,0.5,0.0,0.03925248690483951,0.0,0.01707631775900001,1.7832561353232588,,BP
MEAN_CURVE,0.6217330292820759,0.5117685801091951,0.17095014672657893,0.1355441714370286,-0.37419976477664285,0.006287594249794061,2.1746969152968143,-0.24873363210508703,BP
HEAVIER_ALWAYS,1.008308603012117,0.6297949895142496,0.26145225561349816,0.41167408979908976,0.0,0.01707631775900001,1.7832561353232588,0.28353963303186475,BP
G14,0.5000794414203691,0.8122458223013377,0.5037694544333655,0.2499053393696251,0.35132197303745605,0.02263478584907156,1.4754805356749967,1.123566250369922,BP
G14_TIED,0.48521459345134393,0.8252965306501331,0.5138635857795054,0.297864565989566,0.5152137981029841,0.035168024961416924,1.3553014046154943,1.3703731221969668,BP
G13_FULL,0.5522751764799076,0.6892316659389282,0.3803532115157259,0.18064350332207474,0.30444385907918836,0.09670329670329672,1.2315652976674403,0.8128606585157756,BP
O_BOTH,0.18111057110671816,0.9721828318299754,0.766666955960425,0.3570685101935102,0.884080831647973,0.5274725274725275,0.202840911063111,1.0905575675573076,BP
