design,arm,n_tasks,spearman_abs,spearman_abs_sd,top1_abs,top1_abs_sd,regret_abs,regret_abs_sd
B,FLAT,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
B,G13_FULL,455,0.2540367383874812,0.036820665992808296,0.0,0.0,1.2501872437710921,0.32940048848987086
B,G14,455,0.009031708667712041,0.09955256174242276,0.00838666095808953,0.008884367052778246,1.6609481921516944,0.1733253939874687
B,G14_TIED,455,0.11312430211773128,0.006517006267297506,0.01904496969605946,0.0025514569618559388,1.4740686387849085,0.0033433455963930393
B,HEAVIER_ALWAYS,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
B,MEAN_CURVE,455,-0.09858195212711043,0.10728457773552982,0.00842926507859588,0.004800871555965034,1.7235837461435897,0.09157654290495494
B,O_BOTH,455,0.7583391035718925,0.0,0.46153846153846156,0.0,0.2398335959604067,0.0
B,_RANDOM,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
BR,FLAT,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
BR,G13_FULL,455,0.24765830735710076,0.06057000500231914,0.008791208791208791,0.01965774046153661,1.3537543852365264,0.2850852425314728
BR,G14,455,0.06428197953018927,0.11334353127417954,0.017430898771558113,0.02122339132106974,1.6758146326201686,0.20388352813229735
BR,G14_TIED,455,0.11386638843422008,0.006828642419087264,0.01913674034836534,0.002370661108936882,1.4739287437888828,0.003825373689282938
BR,HEAVIER_ALWAYS,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
BR,MEAN_CURVE,455,-0.11872048737737728,0.06845308236128986,0.009323658638353374,0.0036373551616890134,1.7232903898549314,0.07759641016073869
BR,O_BOTH,455,0.7583391035718925,0.0,0.46153846153846156,0.0,0.2398335959604067,0.0
BR,_RANDOM,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
BQ,FLAT,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
BQ,G13_FULL,455,0.24640219315758854,0.05032500556384478,0.0,0.0,1.3093080349625326,0.26494716282002184
BQ,G14,455,0.02068460433103724,0.11318745303302874,0.006778920872088573,0.007849024069584487,1.6825333454030686,0.1859821427962722
BQ,G14_TIED,455,0.11016838803944654,0.004660418507025473,0.01914004280717823,0.002806489049589121,1.4769168972925217,0.003292786378833454
BQ,HEAVIER_ALWAYS,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
BQ,MEAN_CURVE,455,-0.11313189692444428,0.06908917104988896,0.01040084427956039,0.003331696881990788,1.7417168430444026,0.08829604613552454
BQ,O_BOTH,455,0.7583391035718925,0.0,0.46153846153846156,0.0,0.2398335959604067,0.0
BQ,_RANDOM,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
A,FLAT,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
A,G13_FULL,455,0.33911917326144236,0.03596215639192337,0.04835164835164835,0.10811757253845138,1.307774974451172,0.48330829245488605
A,G14,455,0.028159997978076567,0.01414945108520102,0.019353845178021002,0.012608868568796743,1.5858500322928426,0.11744647678151399
A,G14_TIED,455,0.1091175299541024,0.006180100679262876,0.018134838358342644,0.0010034923854209986,1.4799340188921966,0.0051709793471976665
A,HEAVIER_ALWAYS,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
A,MEAN_CURVE,455,-0.018138555605586092,0.037156949636861274,0.014173822119846686,0.0026395281327031297,1.5739371132922737,0.0748315011197484
A,O_BOTH,455,0.7583391035718925,0.0,0.46153846153846156,0.0,0.2398335959604067,0.0
A,_RANDOM,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
BP,FLAT,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
BP,G13_FULL,455,0.10263422443116237,0.030214648927439844,0.13626373626373628,0.12969826482479624,1.0476504154227844,0.5429195316371451
BP,G14,455,-0.02960928259903512,0.08512366469672858,0.01903976975405547,0.023152813478108374,1.6504871368734295,0.1375122859098789
BP,G14_TIED,455,0.10762769698656478,0.0037041634603547633,0.01741549957335958,0.001226260277201794,1.4774996058862364,0.0049241858422961774
BP,HEAVIER_ALWAYS,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
BP,MEAN_CURVE,455,-0.13730601698486206,0.03452204331114438,0.01251968381742383,0.003696265195760752,1.71630236761913,0.08009819197382363
BP,O_BOTH,455,0.7583391035718925,0.0,0.46153846153846156,0.0,0.2398335959604067,0.0
BP,_RANDOM,455,0.0,0.0,0.017186207868890118,0.0,1.519031803124024,0.0
