design,arm,n_cells,spearman,spearman_sd,kendall,kendall_sd,top1,top1_sd,top3,top3_sd
B,FLAT,321,0.0,0.0,0.0,0.0,0.03925248690483951,0.0,0.11187152802630136,1.5515838457795457e-17
B,G13_FULL,321,0.4859044880731533,0.01846699381374687,0.3978264319032442,0.017838915037672768,0.30105251230251234,0.03834601908325789,0.47675438318295454,0.012226862004066905
B,G14,321,0.5062372365904857,0.02793506286015665,0.4147804605957358,0.022383323755715404,0.35857885170385173,0.03722594491825143,0.528613641649356,0.012692520954618187
B,G14_TIED,321,0.5105037200183571,0.02714786113371792,0.4176233775388005,0.022263949512601876,0.29072170884670884,0.010296070624018884,0.5296057051414195,0.008222046023729532
B,HEAVIER_ALWAYS,321,0.26145225561349816,0.0,0.21553648354039417,3.1031676915590914e-17,0.41167408979908976,6.206335383118183e-17,0.5359044064401207,0.0
B,MEAN_CURVE,321,0.25619384114375654,0.02456820759819516,0.1924673769987154,0.023811665933336074,0.13078287453287454,0.025497140971179545,0.2801386179957609,0.025208119900522543
B,O_BOTH,321,0.766666955960425,0.0,0.6294995203634302,0.0,0.3570685101935102,0.0,0.6839249209784924,0.0
B,_RANDOM,321,0.0,0.0,0.0,0.0,0.03925248690483951,0.0,0.11187152802630136,1.5515838457795457e-17
BR,FLAT,321,0.0,0.0,0.0,0.0,0.03925248690483951,0.0,0.11187152802630136,1.5515838457795457e-17
BR,G13_FULL,321,0.4704984105091903,0.03951051466311486,0.3836750930615017,0.02943415976359267,0.30399952560666843,0.013605552182272045,0.45476587565873283,0.030535440848354682
BR,G14,321,0.5025068226822679,0.03185193068148511,0.41035636852645324,0.024392364922742587,0.3395843574415003,0.038359222649928276,0.5099956591028019,0.04317011692909096
BR,G14_TIED,321,0.5086130078998525,0.03224475798619894,0.41597709698612473,0.026654110521503196,0.28929313741813745,0.009903159210993068,0.5315104670461814,0.004341567268764411
BR,HEAVIER_ALWAYS,321,0.26145225561349816,0.0,0.21553648354039417,3.1031676915590914e-17,0.41167408979908976,6.206335383118183e-17,0.5359044064401207,0.0
BR,MEAN_CURVE,321,0.2501826779778821,0.01937095260413688,0.18659776757626417,0.01927794809117584,0.1332739416667988,0.018287856563422383,0.271972187865045,0.021109751496061435
BR,O_BOTH,321,0.766666955960425,0.0,0.6294995203634302,0.0,0.3570685101935102,0.0,0.6839249209784924,0.0
BR,_RANDOM,321,0.0,0.0,0.0,0.0,0.03925248690483951,0.0,0.11187152802630136,1.5515838457795457e-17
BQ,FLAT,321,0.0,0.0,0.0,0.0,0.03925248690483951,0.0,0.11187152802630136,1.5515838457795457e-17
BQ,G13_FULL,321,0.4852542865772914,0.022465840529282757,0.39836764192787943,0.02089989711703773,0.32543526579240867,0.020868625629969342,0.47359410430838994,0.019988345145133903
BQ,G14,321,0.5078459215681232,0.029791055213016053,0.415952378968443,0.022826304687227635,0.3392298772655915,0.04504321944870076,0.5196057051414196,0.017967910423548478
BQ,G14_TIED,321,0.5113806184804018,0.029307250125663098,0.41726768985607166,0.023952723715930737,0.2788169469419469,0.010296070624018865,0.5307961813318957,0.0021295885499998013
BQ,HEAVIER_ALWAYS,321,0.26145225561349816,0.0,0.21553648354039417,3.1031676915590914e-17,0.41167408979908976,6.206335383118183e-17,0.5359044064401207,0.0
BQ,MEAN_CURVE,321,0.24620276132532415,0.01624891105798975,0.1835772401787467,0.01487453343658726,0.12244507476650335,0.021220285245351345,0.27305270787413644,0.020353882966586787
BQ,O_BOTH,321,0.766666955960425,0.0,0.6294995203634302,0.0,0.3570685101935102,0.0,0.6839249209784924,0.0
BQ,_RANDOM,321,0.0,0.0,0.0,0.0,0.03925248690483951,0.0,0.11187152802630136,1.5515838457795457e-17
A,FLAT,321,0.0,0.0,0.0,0.0,0.03925248690483951,0.0,0.11187152802630136,1.5515838457795457e-17
A,G13_FULL,321,0.5384798984237295,0.018872193526509002,0.4376860463154614,0.01702574433856317,0.288585508406937,0.035960849809424725,0.49343884951027805,0.030813049132105686
A,G14,321,0.5111303834901167,0.030019023831893907,0.41957016431118427,0.02373346141314208,0.3487475024975025,0.026919209157199073,0.5308289065431921,0.014662117660417459
A,G14_TIED,321,0.520144292654331,0.03319942985017926,0.4299558595690405,0.02587923020991452,0.41167408979908976,6.206335383118183e-17,0.5327009432366576,0.0026082026547864885
A,HEAVIER_ALWAYS,321,0.26145225561349816,0.0,0.21553648354039417,3.1031676915590914e-17,0.41167408979908976,6.206335383118183e-17,0.5359044064401207,0.0
A,MEAN_CURVE,321,0.28926376268141074,0.003151951848867784,0.22601212336682827,0.00189111423433407,0.13790772058629203,0.020667318323891935,0.32330284133855564,0.024615822095453387
A,O_BOTH,321,0.766666955960425,0.0,0.6294995203634302,0.0,0.3570685101935102,0.0,0.6839249209784924,0.0
A,_RANDOM,321,0.0,0.0,0.0,0.0,0.03925248690483951,0.0,0.11187152802630136,1.5515838457795457e-17
BP,FLAT,321,0.0,0.0,0.0,0.0,0.03925248690483951,0.0,0.11187152802630136,1.5515838457795457e-17
BP,G13_FULL,321,0.3803532115157259,0.046033222359379046,0.2944395534440908,0.04031630116603653,0.18064350332207474,0.028712447742772103,0.310200493950494,0.03300313506346856
BP,G14,321,0.5037694544333655,0.025406877668793276,0.4086720474165471,0.025046886317667525,0.2499053393696251,0.048643438983180326,0.47876258001258004,0.031698851427311825
BP,G14_TIED,321,0.5138635857795054,0.018713954214277344,0.4184308964449765,0.017466564249811495,0.297864565989566,0.008731962295662962,0.43746284799856233,0.011712737024998903
BP,HEAVIER_ALWAYS,321,0.26145225561349816,0.0,0.21553648354039417,3.1031676915590914e-17,0.41167408979908976,6.206335383118183e-17,0.5359044064401207,0.0
BP,MEAN_CURVE,321,0.17095014672657893,0.036259614545564846,0.12376488395994756,0.028328714199089125,0.1355441714370286,0.03572278995918561,0.27502405663119944,0.04876804381657534
BP,O_BOTH,321,0.766666955960425,0.0,0.6294995203634302,0.0,0.3570685101935102,0.0,0.6839249209784924,0.0
BP,_RANDOM,321,0.0,0.0,0.0,0.0,0.03925248690483951,0.0,0.11187152802630136,1.5515838457795457e-17
