design,arm,n_pair_tasks,n_distinct_pairs,median_n_units,spearman,spearman_sd,top1,top1_sd,regret,regret_sd,top1_up,top1_up_sd,top1_down,top1_down_sd
B,FLAT,455,91,153.0,0.0,0.0,0.006926351966605701,0.0,2.049017133210616,2.220446049250313e-16,0.006762762642177215,0.0,0.007089941291034187,9.69739903612216e-19
B,G13_FULL,455,91,153.0,0.3414836242264066,0.014270676342309468,0.0,0.0,1.5918853794575039,0.19709801898090953,0.0,0.0,0.0,0.0
B,G14,455,91,153.0,0.2091934553012102,0.10407160466851037,0.003057366720826439,0.001820339802664727,1.836862041122321,0.12466653748959401,0.003959611816754674,0.002637137662908615,0.0021551216248982034,0.0015091441972386115
B,G14_TIED,455,91,153.0,0.42256180862677645,0.0354976743983076,0.017352354864307938,0.008550444702619757,1.5989030833978344,0.0436959302601312,0.02674285167113194,0.01709519002944601,0.00796185805748394,0.00025095535757354583
B,HEAVIER_ALWAYS,455,91,153.0,0.0,0.0,0.006926351966605701,0.0,2.049017133210616,2.220446049250313e-16,0.006762762642177215,0.0,0.007089941291034187,9.69739903612216e-19
B,MEAN_CURVE,455,91,153.0,-0.19820215330836563,0.13094575778353948,0.0015388004830985975,0.0009471176414944478,2.342476680957858,0.12886794751012104,0.002225952614548843,0.0017280656900085958,0.0008516483516483517,0.0008251926978804989
B,O_BOTH,455,91,153.0,0.8684425185450968,1.2412670766236366e-16,0.532967032967033,0.0,0.2213715389163396,3.1031676915590914e-17,0.7032967032967034,0.0,0.3626373626373626,0.0
B,_RANDOM,455,91,153.0,0.0,0.0,0.006926351966605701,0.0,2.049017133210616,2.220446049250313e-16,0.006762762642177215,0.0,0.007089941291034187,9.69739903612216e-19
BR,FLAT,455,91,153.0,0.0,0.0,0.006926351966605701,0.0,2.049017133210616,2.220446049250313e-16,0.006762762642177215,0.0,0.007089941291034187,9.69739903612216e-19
BR,G13_FULL,455,91,153.0,0.3087875370079499,0.05307217674598781,0.013186813186813187,0.01805678761006042,1.6507444471425496,0.23427957630715032,0.02197802197802198,0.0380670507157995,0.004395604395604396,0.009828870230768305
BR,G14,455,91,153.0,0.2890575298194507,0.1246167548628752,0.007065004402227404,0.005071094037896577,1.7195893894318224,0.12608188823009242,0.009365079365079364,0.00828861100330303,0.0047649294393754425,0.007862576272104902
BR,G14_TIED,455,91,153.0,0.41567467944377334,0.03949229286185491,0.017322984495937613,0.008706065242773378,1.6021275201797434,0.04964835632470229,0.0266901285711852,0.017346916351075953,0.00795584042069002,0.0002217096429939223
BR,HEAVIER_ALWAYS,455,91,153.0,0.0,0.0,0.006926351966605701,0.0,2.049017133210616,2.220446049250313e-16,0.006762762642177215,0.0,0.007089941291034187,9.69739903612216e-19
BR,MEAN_CURVE,455,91,153.0,-0.2269342219251226,0.06644881251181926,0.001711407060652494,0.0011294975082387568,2.32374786901373,0.06302003877587416,0.00220230386233319,0.0018215284511242274,0.0012205102589717977,0.001191784799011439
BR,O_BOTH,455,91,153.0,0.8684425185450968,1.2412670766236366e-16,0.532967032967033,0.0,0.2213715389163396,3.1031676915590914e-17,0.7032967032967034,0.0,0.3626373626373626,0.0
BR,_RANDOM,455,91,153.0,0.0,0.0,0.006926351966605701,0.0,2.049017133210616,2.220446049250313e-16,0.006762762642177215,0.0,0.007089941291034187,9.69739903612216e-19
BQ,FLAT,455,91,153.0,0.0,0.0,0.006926351966605701,0.0,2.049017133210616,2.220446049250313e-16,0.006762762642177215,0.0,0.007089941291034187,9.69739903612216e-19
BQ,G13_FULL,455,91,153.0,0.3219854084926413,0.036655769143081815,0.002197802197802198,0.004914435115384153,1.6333468650131526,0.17648025512652946,0.004395604395604396,0.009828870230768305,0.0,0.0
BQ,G14,455,91,153.0,0.2243441855225516,0.09895898625207378,0.004195461302924194,0.0030766856793834826,1.8346725869529066,0.14832442787741923,0.00727891156462585,0.006447211103417856,0.0011120110412225377,0.0010470772021219635
BQ,G14_TIED,455,91,153.0,0.4200570301211126,0.04797306031546685,0.017648156092821412,0.008564309552169962,1.5973816912869347,0.05195312306417211,0.027334713974176368,0.017078709446837825,0.007961598211466461,0.0003064733628051824
