design,arm,bin,n,pred_mean,obs_mean,obs_sd,obs_median
B,FLAT,constant,70750,0.0,-0.4937909551280511,0.827085833332054,
B,MEAN_CURVE,"(-0.724, -0.303]",8860,-0.39840573821346165,-0.7699243856917599,1.2709535577082611,-0.6530602906587784
B,MEAN_CURVE,"(-0.303, -0.199]",8841,-0.25134385527809455,-0.8158066116183873,1.0587738793003012,-0.6818576952248737
B,MEAN_CURVE,"(-0.199, -0.119]",8877,-0.15838821808268005,-0.6926216126632135,0.904792944209733,-0.5268090389999999
B,MEAN_CURVE,"(-0.119, -0.0573]",8815,-0.0874202907143144,-0.4768765915650043,0.7535188218731904,-0.26324143477458145
B,MEAN_CURVE,"(-0.0573, -0.0107]",8834,-0.027948589985045614,-0.34160475809079677,0.566933228823751,-0.2395128552097439
B,MEAN_CURVE,"(-0.0107, 0.0189]",8850,0.005822045942631915,-0.29554892646791847,0.45863478682560677,-0.17609125905568135
B,MEAN_CURVE,"(0.0189, 0.0503]",8902,0.03283425330180545,-0.23610418821722745,0.44429678394964334,-0.09664429530201324
B,MEAN_CURVE,"(0.0503, 0.139]",8771,0.07886124650647713,-0.3208779658853803,0.48906881038733835,-0.23913043478260465
B,G14,"(-1.206, -0.704]",8860,-0.8594700601196946,-1.3842297973913305,1.1558185278477215,-1.4463276836158214
B,G14,"(-0.704, -0.48]",8842,-0.585366259631417,-1.0465678063362942,0.9111834622948567,-1.1016949152542383
B,G14,"(-0.48, -0.297]",8868,-0.37853216539601703,-0.6498713513546085,0.652742359490688,-0.6024490374548073
B,G14,"(-0.297, -0.181]",8840,-0.2342821485508612,-0.5296700640437926,0.4944517198154443,-0.5432432432432435
B,G14,"(-0.181, -0.114]",8811,-0.14593746098798596,-0.3195083469939822,0.38144639608039715,-0.30102999566391864
B,G14,"(-0.114, -0.0502]",8863,-0.0765490414697283,-0.19537181074367863,0.2723340471729997,-0.18532241148521988
B,G14,"(-0.0502, 0.0796]",8822,-0.013293504897304331,-0.04473973648437007,0.22167550287951687,-0.03342375548694976
B,G14,"(0.0796, 0.945]",8844,0.35312186308832355,0.2226507623714594,0.6363696465810946,0.15970084300000004
B,G13_FULL,"(-3.014, -0.927]",8844,-1.3392411773298025,-1.4710768711658389,0.9659314917139042,-1.5036393872946674
B,G13_FULL,"(-0.927, -0.53]",8844,-0.7087236445302141,-1.0401651998247166,0.8693082915862271,-0.9847854597763346
B,G13_FULL,"(-0.53, -0.303]",8843,-0.4037703242065842,-0.6381693721061307,0.6798997665526003,-0.6020599920000329
B,G13_FULL,"(-0.303, -0.174]",8845,-0.2349609434670954,-0.40748560924954774,0.5939641688871726,-0.3663410226003352
B,G13_FULL,"(-0.174, -0.09]",8843,-0.12826753740099364,-0.262192427917845,0.48896473997233914,-0.2203389830508501
B,G13_FULL,"(-0.09, -0.0294]",8846,-0.058106186399391656,-0.13556046514102463,0.41562845511578084,-0.09480812641083425
B,G13_FULL,"(-0.0294, 0.0425]",8841,0.0015366337688883203,-0.04019394360573059,0.44325024853862366,-0.02287874550000002
B,G13_FULL,"(0.0425, 0.933]",8844,0.19008815764846232,0.044589206468892674,0.6334742668801071,0.04139268499999926
B,O_BOTH,"(-4.2940000000000005, -1.344]",8845,-2.0095246399816515,-2.0928916342358295,0.5712668602551442,-2.000055675210884
B,O_BOTH,"(-1.344, -0.756]",8845,-1.0071351424732353,-1.0902257784708844,0.3081348182769513,-1.0871501749999999
B,O_BOTH,"(-0.756, -0.443]",8845,-0.5862938930031346,-0.6489294705217389,0.27170096074514344,-0.6432779452499124
B,O_BOTH,"(-0.443, -0.249]",8840,-0.34173036309400967,-0.36457459257525454,0.24117077438056933,-0.36000000000000004
B,O_BOTH,"(-0.249, -0.117]",8845,-0.17738179144585767,-0.19372022309504486,0.195086673927375,-0.17609125905568124
B,O_BOTH,"(-0.117, -0.0194]",8845,-0.06692153236231266,-0.08271873176729883,0.18029843229520207,-0.067114093959731
B,O_BOTH,"(-0.0194, 0.107]",8845,0.03068260181632983,0.0394686828447413,0.193637652297563,0.022276394000000088
B,O_BOTH,"(0.107, 4.553]",8840,0.44753370063378367,0.4838898259283919,0.5986713803911115,0.3012153650838223
B,HEAVIER_ALWAYS,"(-3.1479999999999997, -2.201]",9010,-2.583458995656994,-1.180301877245032,1.3337504475551853,-1.330271315679299
B,HEAVIER_ALWAYS,"(-2.201, -1.617]",9620,-1.8328591845034385,-0.8751756902461543,1.0357868928810217,-0.9526345451906436
B,HEAVIER_ALWAYS,"(-1.617, -1.255]",8295,-1.3917315535953116,-0.6140507226776221,0.7737370754626517,-0.6472456655033265
B,HEAVIER_ALWAYS,"(-1.255, -0.894]",9370,-1.0544897572731167,-0.4497099787050724,0.6169385002361522,-0.4583167641997222
B,HEAVIER_ALWAYS,"(-0.894, -0.671]",8110,-0.8003768319724397,-0.3340929871820887,0.473654793703886,-0.31306852781809497
B,HEAVIER_ALWAYS,"(-0.671, -0.447]",10550,-0.555352348864196,-0.23324786296784045,0.36963610622458604,-0.19433227756106788
B,HEAVIER_ALWAYS,"(-0.447, -0.292]",7005,-0.3579038646997427,-0.10773522576454976,0.2839199267010459,-0.08438818565400719
B,HEAVIER_ALWAYS,"(-0.292, -0.138]",8790,-0.20654435643044272,-0.07391609092700197,0.21187977499259622,-0.0503306901600723
B,G14_TIED,"(-1.0039999999999998, -0.687]",8963,-0.8467779198296306,-1.4105617894095628,1.1395997524801262,-1.4677534389542535
B,G14_TIED,"(-0.687, -0.484]",8975,-0.5783560503744657,-1.0497541953699587,0.9137879648741684,-1.1105527638190922
B,G14_TIED,"(-0.484, -0.287]",8878,-0.3704926089739746,-0.6061171167783698,0.616469043472596,-0.5544777313520399
B,G14_TIED,"(-0.287, -0.186]",8736,-0.23158589089492096,-0.5499686848183568,0.49666808017925407,-0.6008119079837627
B,G14_TIED,"(-0.186, -0.104]",9699,-0.1405630064088082,-0.3028687475244949,0.3547063744457424,-0.30102999566398125
B,G14_TIED,"(-0.104, -0.0478]",8448,-0.0719908292098171,-0.1699982057098825,0.26361450459740493,-0.16886326194398493
B,G14_TIED,"(-0.0478, 0.0774]",8316,-0.0116970473925295,-0.03661370761943355,0.22163150996976091,-0.028129395218003506
B,G14_TIED,"(0.0774, 0.761]",8735,0.33251923521951493,0.22810323486955625,0.6370839541199651,0.16781873299999994
BR,FLAT,constant,70750,0.0,-0.4937909551280511,0.827085833332054,
BR,MEAN_CURVE,"(-0.656, -0.299]",8857,-0.3877228910073363,-0.8191617081094543,1.2739273898478798,-0.7157114790526422
BR,MEAN_CURVE,"(-0.299, -0.199]",8886,-0.24785925507290218,-0.7908092239615285,1.0492546606596806,-0.67
BR,MEAN_CURVE,"(-0.199, -0.115]",8800,-0.1540491339826526,-0.6932527793082452,0.9169821827621204,-0.5234521575984976
BR,MEAN_CURVE,"(-0.115, -0.0504]",8837,-0.08495224969756611,-0.44902487940866537,0.7444824301058627,-0.24107965098935064
BR,MEAN_CURVE,"(-0.0504, -0.00615]",8850,-0.023925099609983826,-0.3404916634447917,0.5718640024226456,-0.22184874961635614
BR,MEAN_CURVE,"(-0.00615, 0.0219]",8846,0.009368289465408365,-0.28463123594559503,0.454755525114238,-0.167791706846671
BR,MEAN_CURVE,"(0.0219, 0.0549]",8837,0.03719013806495363,-0.22828567425508686,0.4257209393702781,-0.10298415999999999
BR,MEAN_CURVE,"(0.0549, 0.143]",8837,0.08780008051941018,-0.34356083593547204,0.4893496292447984,-0.2599999999999998
BR,G14,"(-1.2559999999999998, -0.725]",8888,-0.8907471342169655,-1.4060075738462154,1.129755002809554,-1.4793257999706957
BR,G14,"(-0.725, -0.495]",8811,-0.6043443496928403,-1.0203876903274836,0.9293582379940718,-1.0662162162162159
BR,G14,"(-0.495, -0.311]",8847,-0.39406414990688104,-0.6624465061789203,0.6569152847515015,-0.6302098739419373
BR,G14,"(-0.311, -0.189]",8831,-0.2448194915768165,-0.5060614298587074,0.4984419436625596,-0.49932341001353236
BR,G14,"(-0.189, -0.118]",8857,-0.1517327489864581,-0.3064197371111896,0.38513829515990095,-0.2847927967932953
