design,confidence,coverage,n_pairs,n_cells,mean_abs_y,frac_strong,mean_dZ,pooled_mae
B,|prediction|,1.0,70750,521,0.6499911278057762,0.5718021201413428,4.940212014134276,0.4975640701507178
B,|prediction|,0.5,35375,400,0.9835377400425599,0.7460353356890459,7.154148409893993,0.7284844758113309
B,|prediction|,0.25,17688,283,1.2748335050508015,0.8168815015829941,9.002939846223429,0.9145636386440911
B,|prediction|,0.1,7075,227,1.510072905791107,0.8518727915194346,10.560848056537102,1.0428692669360593
B,|prediction|,0.05,3538,162,1.6236002296548944,0.8657433578292821,11.531938948558508,1.0938771225836312
B,gen14 |p-0.5|,1.0,70750,521,0.6499911278057761,0.5718021201413428,4.940212014134276,0.4975640701507178
B,gen14 |p-0.5|,0.5,35375,474,0.6756437067776228,0.5932438162544169,4.970657243816254,0.5147489185955539
B,gen14 |p-0.5|,0.25,17688,108,0.6577166590805658,0.5984283129805518,5.143656716417911,0.5291342079839066
B,gen14 |p-0.5|,0.1,7075,49,0.6633695982725575,0.5892579505300354,5.125936395759718,0.4962935399563724
B,gen14 |p-0.5|,0.05,3538,24,0.3322690136158927,0.4188807235726399,4.8990955342001135,0.30244640309360565
BR,|prediction|,1.0,70750,521,0.6499911278057761,0.5718021201413428,4.940212014134276,0.4928720161505613
BR,|prediction|,0.5,35375,407,0.9814012087234099,0.7474487632508834,7.1337667844522965,0.7160116034975804
BR,|prediction|,0.25,17688,292,1.2857514962354986,0.8224219810040706,8.995081411126188,0.9036010303864099
BR,|prediction|,0.1,7075,224,1.5656144979359554,0.8695406360424028,10.517455830388693,1.0400750452421463
BR,|prediction|,0.05,3538,168,1.66553947368354,0.8824194460146976,11.203787450537027,1.0722001679785766
BR,gen14 |p-0.5|,1.0,70750,521,0.6499911278057761,0.5718021201413428,4.940212014134276,0.4928720161505613
BR,gen14 |p-0.5|,0.5,35375,491,0.6633426865143481,0.5893710247349824,4.97147703180212,0.496940182123681
BR,gen14 |p-0.5|,0.25,17688,370,0.7097551266044712,0.6313885119855269,5.13613749434645,0.5267070695842497
BR,gen14 |p-0.5|,0.1,7075,49,0.6523209528423429,0.5885512367491166,5.1058657243816254,0.48654324342227045
BR,gen14 |p-0.5|,0.05,3538,25,0.3700491987744994,0.43159977388355003,4.927077444884115,0.33275692528211476
BQ,|prediction|,1.0,70750,521,0.6499911278057762,0.5718021201413428,4.940212014134276,0.49706220737521684
BQ,|prediction|,0.5,35375,400,0.9812112063465858,0.744113074204947,7.145583038869258,0.7243637373636097
BQ,|prediction|,0.25,17688,289,1.279170193604724,0.819142921754862,8.999886928991407,0.9098315416529376
BQ,|prediction|,0.1,7075,226,1.530247797662598,0.8582332155477032,10.46643109540636,1.0356750883843455
BQ,|prediction|,0.05,3538,171,1.6080517569642463,0.8637648388920294,11.156020350480498,1.0677287791512062
BQ,gen14 |p-0.5|,1.0,70750,521,0.6499911278057762,0.5718021201413428,4.940212014134276,0.49706220737521684
BQ,gen14 |p-0.5|,0.5,35375,484,0.6566300609720201,0.5803250883392226,4.97956183745583,0.5041753976235825
BQ,gen14 |p-0.5|,0.25,17688,110,0.6588238102699631,0.591644052464948,5.1061736770692,0.5289704987286623
BQ,gen14 |p-0.5|,0.1,7075,51,0.6541941506023633,0.5885512367491166,5.104452296819788,0.4898798196571094
BQ,gen14 |p-0.5|,0.05,3538,25,0.33357208276456435,0.4214245336348219,4.905313736574336,0.3040948844057105
A,|prediction|,1.0,70750,521,0.6499911278057762,0.5718021201413428,4.940212014134276,0.4937334554735816
A,|prediction|,0.5,35375,400,0.982396645882686,0.7479575971731449,7.181342756183746,0.7207673076153421
A,|prediction|,0.25,17688,284,1.275886249444933,0.8162596110357304,9.033695160560832,0.9076735531704472
A,|prediction|,0.1,7075,224,1.5061023283403894,0.8491872791519435,10.53469964664311,1.0356781319187711
A,|prediction|,0.05,3538,152,1.6109902549431447,0.8637648388920294,11.352741661955907,1.084162598166974
A,gen14 |p-0.5|,1.0,70750,521,0.6499911278057762,0.5718021201413428,4.940212014134276,0.4937334554735816
A,gen14 |p-0.5|,0.5,35375,327,0.6317519924055002,0.561469964664311,4.965851590106007,0.49002610432649435
A,gen14 |p-0.5|,0.25,17688,221,0.6974792510742417,0.6177069199457259,5.122003618272275,0.530403565120573
A,gen14 |p-0.5|,0.1,7075,50,0.6605539835998746,0.5807773851590106,5.098233215547703,0.49921473495950563
A,gen14 |p-0.5|,0.05,3538,27,0.38777876094739994,0.4547767100056529,4.879310344827586,0.3227046621601882
BP,|prediction|,1.0,70750,521,0.6499911278057761,0.5718021201413428,4.940212014134276,0.5106278431235808
BP,|prediction|,0.5,35375,408,0.9719189254474613,0.7399575971731449,7.074883392226148,0.7354916922790747
BP,|prediction|,0.25,17688,296,1.228180144390056,0.8015603799185889,8.857982813206695,0.9009405689145025
BP,|prediction|,0.1,7075,246,1.3655149145776158,0.8142756183745583,10.239434628975266,0.9776735839720698
BP,|prediction|,0.05,3538,189,1.356961037006458,0.8027133973996609,10.716506500847936,0.9661926634120568
BP,gen14 |p-0.5|,1.0,70750,521,0.6499911278057761,0.5718021201413428,4.940212014134276,0.5106278431235807
BP,gen14 |p-0.5|,0.5,35375,513,0.638451715903478,0.5730035335689045,5.005314487632509,0.5152431160542303
BP,gen14 |p-0.5|,0.25,17688,319,0.6937549638788617,0.6198552691090005,5.17243328810493,0.5268812167999443
BP,gen14 |p-0.5|,0.1,7075,58,0.6389069942705956,0.575547703180212,5.097667844522968,0.49677601735201127
BP,gen14 |p-0.5|,0.05,3538,31,0.38414362460911566,0.4313171283210854,4.918032786885246,0.3461520079797423
