arm,macro_mae,offset_mae,shape_mae,shape_r2,macro_mae_ligand,pooled_mae,pooled_r2,offset_share_of_sse,median_ligand_mae,worst_quartile_ligand_mae,rank_spearman,sign_accuracy,frac_within_0_5_log,frac_within_1_log,prediction_dispersion_ratio,n_rows,n_ligands,n_ecfp_clusters,n_superclusters,n_eff_pooled_rows,n_macro_units,split_seed,nn_lt_0_4__macro_mae,nn_lt_0_6__macro_mae
REC_ecfp_plus_recovered,0.9958202472688115,0.8520242696125676,0.49737797193118405,0.19256448455427555,1.0124588285498097,1.2016238728305184,0.1914137879408202,0.5071235686202512,0.9348225491791315,1.9661599697744918,0.49047336718100537,0.6207856141706156,0.28239329268292684,0.4798018292682927,0.47581386110609997,5248,152,131,79,6.256051615740402,131,104729,0.8862801620464652,1.0745410982645303
GEN7_everything_EXPLORATORY,1.0296728296087545,0.9055183116824468,0.48594876890119565,0.20441473707141267,1.05501023153128,1.2060550008220812,0.18993655395926623,0.5152428434245953,0.9619782300825309,2.0763336825001097,0.527671181824352,0.6378833888639411,0.26333841463414637,0.4735137195121951,0.4976226668435895,5248,152,131,79,6.256051615740402,131,104729,1.0031003066310693,1.117826953541025
GEN7_metalphys_ecfp_EXPLORATORY,1.0077904488007527,0.8689930662360649,0.49885848442798514,0.1820657130423281,1.024315296796521,1.176926432877222,0.22738010200633285,0.4774726107938449,0.907061007922608,2.010787763858658,0.49608636124537686,0.6312296601484934,0.27458079268292684,0.4809451219512195,0.48125405794039683,5248,152,131,79,6.256051615740402,131,104729,0.8885868855410423,1.0966040539057844
TREE_MC_ecfp_massaction,1.0200125616804903,0.8847024896605877,0.5024538765344,0.1653523274622244,1.0373861117231578,1.194440504525882,0.1984492881548926,0.4860407138823073,0.9157310864198178,2.0471113927711846,0.476383109179813,0.6222003100502549,0.2783917682926829,0.4803734756097561,0.47064116430566605,5248,152,131,79,6.256051615740402,131,104729,0.8807111769993647,1.1253223360822922
TREE_MC_donors,1.020857282629537,0.8675938251554642,0.5108669833932806,0.05721351256949936,1.0315997961591024,1.2011828156271511,0.15717225454821604,0.44788307553621787,0.929814964223783,2.084145867976444,0.4002629213170498,0.5853836741059886,0.2884908536585366,0.4998094512195122,0.5332640831387807,5248,152,131,79,6.256051615740402,131,104729,0.845598008035621,1.074484317944049
SELECT_inner,0.9967733983467224,0.8547746704044438,0.49824395714507996,0.17620803464995927,1.015741370605824,1.156676789236029,0.2511120479962443,0.45705324384396595,0.8998688627193543,2.01143725639432,0.4571628569912036,0.6309690169564621,0.28258384146341464,0.4897103658536585,0.5047415020029701,5248,152,131,79,6.256051615740402,131,104729,0.8936114697063805,1.0872037524914882
ENS_mean,0.9860097373857736,0.851108599063139,0.4869629331291813,0.1918818236841876,1.0036373898133861,1.171308100559487,0.23036533807540838,0.48174107358046625,0.9501326743325651,1.9656285600069,0.5192214631258653,0.631428021131987,0.2818216463414634,0.4868521341463415,0.466396454009088,5248,152,131,79,6.256051615740402,131,104729,0.8740883456683552,1.0722655310391092
ENS_inverse_mae,0.9860539396513021,0.8512296458154689,0.48699658494912607,0.19182728124722392,1.0036848553759128,1.171433310549493,0.23019919336358052,0.4818179570892886,0.9504164568977276,1.9656120537149229,0.5193301774497636,0.6314908267204282,0.28239329268292684,0.4868521341463415,0.4664830778425441,5248,152,131,79,6.256051615740402,131,104729,0.8742439132586893,1.0723239023300024
ENS_nnls,0.9862319374871299,0.8486770819033396,0.490345276513132,0.17699414016451753,1.0036718574245065,1.1772631810808962,0.21796185269620783,0.4805646238412348,0.893525388542618,2.0069063687944593,0.46791154734803486,0.6275450656266062,0.2810594512195122,0.4929496951219512,0.48519210519013733,5248,152,131,79,6.256051615740402,131,104729,0.8855343295508952,1.0694861415165688
REC_ecfp_plus_recovered,0.9659140620201717,0.7925148187905591,0.5159591106212044,0.18823395515775854,0.981749786455629,1.1374686048589244,0.25745252133910246,0.4604108749116976,0.8662841318664359,1.9100736271963372,0.41254535705402134,0.6258435575597516,0.2919207317073171,0.5188643292682927,0.4871664916219232,5248,152,131,79,6.256051615740402,131,130363,0.7970767712615304,1.0199639488925656
GEN7_everything_EXPLORATORY,0.9825174809942266,0.8073449749028027,0.5082332920566663,0.21134359156673233,1.0031728261976585,1.097299540895661,0.3200189979832292,0.42753677585694855,0.9030788443649067,1.9179892827991645,0.45780998373932,0.6381832855487481,0.28277439024390244,0.5236280487804879,0.5060065370785605,5248,152,131,79,6.256051615740402,131,130363,0.8290162897806275,1.0395708454879131
GEN7_metalphys_ecfp_EXPLORATORY,1.0092393298161528,0.83770637703412,0.5125430057251041,0.14205273192807855,1.0203861702642139,1.12520672048026,0.26884551323576544,0.420827435658992,0.9025984188603788,2.0064413698948207,0.41452288872231013,0.6143396672769277,0.2884908536585366,0.5112423780487805,0.5378372146608088,5248,152,131,79,6.256051615740402,131,130363,0.831584737734285,1.0934020472079147
TREE_MC_ecfp_massaction,1.0087111340776418,0.848676982306247,0.514119811630311,0.1393828470812759,1.02273261626883,1.1227806044597104,0.2730313310934408,0.4156798829605433,0.8930438615225726,2.0059073255034114,0.4153520682403705,0.6119912616491282,0.2848704268292683,0.5144817073170732,0.5367617224745052,5248,152,131,79,6.256051615740402,131,130363,0.8106629173563873,1.0914216345475947
TREE_MC_donors,1.0370833283922616,0.8800959742473404,0.5029336133674582,0.05334686329353722,1.0308366482814826,1.1399823987165523,0.23228344797802292,0.3913795948350728,0.8932143184955011,1.975113947091221,0.4458902288997256,0.5687715959632755,0.3020198170731707,0.5060975609756098,0.5989953521214274,5248,152,131,79,6.256051615740402,131,130363,0.8733423939984091,1.096002341434595
SELECT_inner,1.0341235625852572,0.8462188932623187,0.5222099949981889,0.13389289783837777,1.0406844012686782,1.1212221789847678,0.2720713234568507,0.41272798522063786,0.9200327654427658,1.983035907409877,0.42848375531011873,0.61412508151642,0.2896341463414634,0.5139100609756098,0.5455966244403182,5248,152,131,79,6.256051615740402,131,130363,0.8627388409832653,1.1166084614379599
ENS_mean,0.984534118962821,0.8142138981971114,0.49904719162805167,0.17672583936238284,0.9910657348653067,1.100999913076252,0.30584672588819417,0.41460953658339894,0.8882292203640538,1.9140139621503718,0.4876887854654343,0.615619854521322,0.2942073170731707,0.5200076219512195,0.5046894455481249,5248,152,131,79,6.256051615740402,131,130363,0.8074563960288064,1.057374749219247
ENS_inverse_mae,0.9844550922623037,0.8143883099568159,0.4990167144756561,0.176625528617659,0.9911882569334877,1.1011761331018943,0.3056727734069937,0.4146848884641301,0.8882379899111774,1.9139314846492819,0.4880150097633337,0.6155392540161557,0.2936356707317073,0.5201981707317073,0.5046221900781592,5248,152,131,79,6.256051615740402,131,130363,0.8076787455216465,1.0570923701654573
ENS_nnls,0.978655141552116,0.8126664411183808,0.4964604024138389,0.18481318376015576,0.9905486002130011,1.0937060487068537,0.3196046567585672,0.4086394495069502,0.86233192493824,1.893170058097575,0.48950242672355115,0.6115254535348555,0.2917301829268293,0.5257240853658537,0.5065913062853914,5248,152,131,79,6.256051615740402,131,130363,0.8180961118616479,1.0384429538412288
REC_ecfp_plus_recovered,0.9484962582691019,0.7844620743662055,0.4938562815221469,0.22104283723632423,0.9655026479583657,1.124612709500039,0.29286506234119336,0.45628938148906334,0.8980702069031476,1.8451508892654018,0.4197916472433306,0.6498719289375702,0.28353658536585363,0.4998094512195122,0.4850689024729232,5248,152,131,79,6.256051615740402,131,155921,0.8230194658811281,1.0666634999121059
GEN7_everything_EXPLORATORY,0.9745876414583643,0.8137916673800449,0.49488874904574887,0.23137353785043968,0.9938389769640057,1.1027926690429326,0.3100534341136023,0.450134578766805,0.875154620465266,1.9511789628386413,0.5034696797889723,0.6564508143267921,0.29458841463414637,0.5203887195121951,0.5007532302699813,5248,152,131,79,6.256051615740402,131,155921,0.8761190132968956,1.1186796922772781
GEN7_metalphys_ecfp_EXPLORATORY,0.9624528334093512,0.8029849956013541,0.49625448760929164,0.20041228666216582,0.9802455964029848,1.1109874139790958,0.3065151144986291,0.43090385120505126,0.8935364910667252,1.8851315125696555,0.403376947464091,0.6380404028350443,0.28315548780487804,0.5118140243902439,0.5076905237838275,5248,152,131,79,6.256051615740402,131,155921,0.8392892097467212,1.090695966956451
TREE_MC_ecfp_massaction,0.964179554498216,0.8070301575046951,0.49702279823871065,0.20627922745346583,0.981828578555597,1.1122109752081548,0.30315960421904686,0.43779984323996035,0.9187748077846681,1.8867187211534746,0.4056965030928548,0.6456451128354734,0.2926829268292683,0.5083841463414634,0.4899763679286236,5248,152,131,79,6.256051615740402,131,155921,0.8312291287321019,1.0854451009640889
TREE_MC_donors,0.962847955372537,0.8180901719414425,0.48566664129400866,0.06280450023504336,0.965504361495171,1.1239878652977506,0.2555980290101387,0.37858860201678657,0.9145481711051615,1.8523571939912962,0.46818926570453195,0.5713476718491745,0.3020198170731707,0.5152439024390244,0.5843161941032361,5248,152,131,79,6.256051615740402,131,155921,0.8354800304730085,1.0656345575307131
SELECT_inner,0.9713785746151089,0.8087222334790954,0.49325317974611665,0.19412280785222114,0.9883558441799989,1.1024834975794293,0.32084925810000997,0.4143215832452286,0.883365588169588,1.8742361779173176,0.4659623405722038,0.6382371936788269,0.28696646341463417,0.5083841463414634,0.5184830258493203,5248,152,131,79,6.256051615740402,131,155921,0.8812521019573207,1.1073744009308588
ENS_mean,0.9391939370090502,0.7800467710108844,0.4823690592546529,0.21846711426941257,0.9515457845122267,1.0928955039077428,0.3291408773882526,0.42499388667089655,0.8773934504263541,1.8252582286307784,0.48338648240943305,0.6450092062525057,0.2932545731707317,0.5108612804878049,0.4856859153437544,5248,152,131,79,6.256051615740402,131,155921,0.8235061276577355,1.0659322719174944
ENS_inverse_mae,0.9395260368619842,0.7805358153285301,0.4823042954223191,0.21790194631296533,0.9519140704582622,1.0932248400057456,0.32861334071211157,0.4250302023587328,0.8774419857895355,1.8264974239727874,0.48298955871957655,0.6447799658546951,0.2932545731707317,0.5100990853658537,0.4859825045792701,5248,152,131,79,6.256051615740402,131,155921,0.8238981751731898,1.0665054450715596
