arm,n_eval_pairs,n_extractants,pooled_mae_arm,pooled_mae_plus_bias,pooled_mae_plus_conditional,macro_mae_arm,macro_mae_plus_bias,macro_mae_plus_conditional,macro_gain
C_DIRECT_ROW,13505,84,0.51227,0.51229,0.22738,0.43336,0.50246,0.22385,0.20952
X_ENS_DIRECT+LOWRANK_K2,13505,84,0.49303,0.49558,0.23468,0.42339,0.46873,0.22553,0.19786
M_SELECTED,13505,84,0.49156,0.49444,0.2499,0.43734,0.45634,0.23678,0.20056
B1_MEAN_CURVE,13505,84,0.60551,0.61863,0.23982,0.55282,0.64033,0.24816,0.30466
