source,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,,0.1531,0.1763,0.2017,0.1883,0.1719,0.1418,0.1223,0.1046,0.1402,0.1679,0.2004,0.2291,0.2791
Ce,0.1918,,0.1568,0.1913,0.1855,0.1730,0.1522,0.1488,0.1194,0.1305,0.1457,0.1802,0.2029,0.2445
Pr,0.2507,0.1882,,0.1218,0.1674,0.1708,0.1577,0.1512,0.1108,0.1010,0.1065,0.1494,0.1762,0.2169
Nd,0.3482,0.2514,0.1353,,0.1425,0.1685,0.1676,0.1717,0.1236,0.1127,0.1116,0.1308,0.1440,0.2023
Sm,0.7739,0.6046,0.4600,0.3390,,0.1290,0.1957,0.2703,0.2857,0.2919,0.2896,0.2898,0.2946,0.3014
Eu,0.8891,0.7146,0.6303,0.5278,0.1700,,0.1424,0.2507,0.3232,0.3880,0.4459,0.4554,0.4787,0.4964
Gd,0.6590,0.5618,0.5035,0.4547,0.2310,0.1232,,0.1504,0.2436,0.3441,0.4044,0.4150,0.4568,0.5032
Tb,0.3901,0.3507,0.3340,0.3322,0.2214,0.1591,0.0985,,0.1200,0.2392,0.3077,0.3398,0.3808,0.4251
Dy,0.2845,0.2558,0.2071,0.2011,0.1902,0.1711,0.1376,0.0991,,0.1202,0.1824,0.2398,0.2783,0.3403
Ho,0.3197,0.2391,0.1547,0.1539,0.1633,0.1699,0.1620,0.1587,0.1004,,0.1030,0.1723,0.2061,0.2661
Er,0.3494,0.2357,0.1557,0.1345,0.1453,0.1675,0.1742,0.1807,0.1348,0.0908,,0.1156,0.1356,0.1858
Tm,0.3904,0.2894,0.2019,0.1503,0.1441,0.1652,0.1795,0.2060,0.1823,0.1471,0.1064,,0.0789,0.1317
Yb,0.4110,0.2935,0.2235,0.1584,0.1344,0.1640,0.1804,0.2101,0.1928,0.1670,0.1221,0.0751,,0.0862
Lu,0.4792,0.3602,0.2708,0.2038,0.1340,0.1617,0.1851,0.2271,0.2196,0.2142,0.1665,0.1315,0.0828,
