arm,seed,n_cells,pair_mae,resid_curve_sd,resid_lag1_corr_along_Z
C_DIRECT_ROW,104729,521,0.51883,0.46722,0.91659
X_ENS_DIRECT+LOWRANK_K2,104729,521,0.50073,0.45899,0.91711
M_SELECTED,104729,521,0.50165,0.47485,0.91578
B1_MEAN_CURVE,104729,521,0.612,0.53342,0.92803
