,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,1.14962,0.924324,0.746569,0.572416,0.126793,-0.0580573,-0.161572,-0.318569,-0.393437,-0.470182,-0.519156,-0.517081,-0.539953,-0.541714
Ce,0.924324,0.782876,0.621752,0.480719,0.114886,-0.0381686,-0.125701,-0.2523,-0.320169,-0.388658,-0.437024,-0.43591,-0.459433,-0.467193
Pr,0.746569,0.621752,0.535688,0.414551,0.117993,-0.011038,-0.0935929,-0.204853,-0.265853,-0.331696,-0.373261,-0.368823,-0.389007,-0.398429
Nd,0.572416,0.480719,0.414551,0.347228,0.114628,0.00978194,-0.062314,-0.150398,-0.205723,-0.263094,-0.302037,-0.302553,-0.322481,-0.330723
Sm,0.126793,0.114886,0.117993,0.114628,0.0714478,0.0409444,0.00891846,-0.0186506,-0.0468448,-0.0775782,-0.101212,-0.105592,-0.117917,-0.127815
Eu,-0.0580573,-0.0381686,-0.011038,0.00978194,0.0409444,0.0486541,0.0357367,0.0355254,0.0210349,0.00240906,-0.0120294,-0.0175358,-0.0247895,-0.032468
Gd,-0.161572,-0.125701,-0.0935929,-0.062314,0.00891846,0.0357367,0.0544883,0.0655662,0.0608065,0.0533538,0.0478968,0.0427459,0.0400172,0.0336506
Tb,-0.318569,-0.2523,-0.204853,-0.150398,-0.0186506,0.0355254,0.0655662,0.114663,0.119863,0.126378,0.129568,0.118866,0.11941,0.114931
Dy,-0.393437,-0.320169,-0.265853,-0.205723,-0.0468448,0.0210349,0.0608065,0.119863,0.152728,0.174553,0.186289,0.170749,0.175667,0.170337
Ho,-0.470182,-0.388658,-0.331696,-0.263094,-0.0775782,0.00240906,0.0533538,0.126378,0.174553,0.22519,0.24276,0.229535,0.239387,0.237643
Er,-0.519156,-0.437024,-0.373261,-0.302037,-0.101212,-0.0120294,0.0478968,0.129568,0.186289,0.24276,0.283115,0.270816,0.288408,0.295867
Tm,-0.517081,-0.43591,-0.368823,-0.302553,-0.105592,-0.0175358,0.0427459,0.118866,0.170749,0.229535,0.270816,0.297403,0.304679,0.312702
Yb,-0.539953,-0.459433,-0.389007,-0.322481,-0.117917,-0.0247895,0.0400172,0.11941,0.175667,0.239387,0.288408,0.304679,0.334823,0.351189
Lu,-0.541714,-0.467193,-0.398429,-0.330723,-0.127815,-0.032468,0.0336506,0.114931,0.170337,0.237643,0.295867,0.312702,0.351189,0.382025
