A,B,dZ,didx,d_radius_CN8,n_cells,n_extractants,mean_logSF,sd_logSF,median_logSF,frac_heavy_preferred,mean_abs_logSF,mean_abs_logSF_extractant_macro,p95_abs_logSF,mean_abs_logSF_pred_dr,mean_abs_logSF_resid_dr,mean_abs_logSF_extractant_macro_pred_dr,mean_abs_logSF_extractant_macro_resid_dr
La,Ce,1,1,0.017,187,68,-0.2061,0.28886,-0.21097,0.77005,0.26637,0.30119,0.69661,0.18712,0.079256,0.18727,0.11392
La,Pr,2,2,0.034,170,72,-0.32425,0.42493,-0.36173,0.77059,0.43353,0.42108,1.0228,0.35037,0.083166,0.32406,0.097024
La,Nd,3,3,0.051,242,77,-0.37202,0.47495,-0.35164,0.81405,0.46305,0.4865,1.2632,0.51362,-0.050572,0.46085,0.025653
La,Sm,5,4,0.081,193,74,-0.7343,0.82302,-0.69648,0.80829,0.889,0.83895,1.9671,0.80171,0.087287,0.70223,0.13672
La,Eu,6,5,0.094,220,83,-0.75767,0.97053,-0.59548,0.77273,0.97956,0.93623,2.2266,0.92655,0.053011,0.80684,0.1294
La,Gd,7,6,0.107,157,68,-0.82636,1.0738,-0.85938,0.76433,1.1029,0.99202,2.4023,1.0514,0.051494,0.91144,0.08058
La,Tb,8,7,0.12,131,58,-1.073,1.2586,-1.2608,0.72519,1.3325,1.1874,2.8309,1.1762,0.1563,1.016,0.17136
La,Dy,9,8,0.133,151,68,-1.0889,1.2492,-0.88512,0.76159,1.3275,1.1506,2.8286,1.3011,0.026467,1.1206,0.029948
La,Ho,10,9,0.145,131,52,-1.4316,1.4207,-1.6378,0.79389,1.6759,1.4515,3.055,1.4163,0.2596,1.2172,0.23426
La,Er,11,10,0.156,149,69,-1.1926,1.4067,-1.1434,0.75839,1.5034,1.2685,3.2557,1.5219,-0.018511,1.3057,-0.037176
La,Tm,12,11,0.166,98,48,-1.2303,1.5134,-1.3796,0.7449,1.5725,1.4073,3.2214,1.618,-0.045482,1.3862,0.021089
La,Yb,13,12,0.175,120,52,-1.3264,1.5025,-1.4297,0.75833,1.6537,1.4427,3.2734,1.7044,-0.050693,1.4586,-0.01584
La,Lu,14,13,0.183,138,56,-1.3741,1.4286,-1.3002,0.85507,1.6379,1.4654,3.2906,1.7812,-0.14333,1.523,-0.057579
Ce,Pr,1,1,0.017,169,68,-0.11287,0.30527,-0.14627,0.72781,0.23807,0.21857,0.57251,0.18712,0.050952,0.18727,0.031295
Ce,Nd,2,2,0.034,193,65,-0.23179,0.38516,-0.2027,0.78756,0.33577,0.31381,0.92082,0.35037,-0.014597,0.32406,-0.010246
Ce,Sm,4,3,0.064,181,65,-0.57579,0.71185,-0.60975,0.8453,0.74084,0.69437,1.6022,0.63846,0.10238,0.56545,0.12892
Ce,Eu,5,4,0.077,176,68,-0.65762,0.85575,-0.71654,0.79545,0.87265,0.7889,1.895,0.7633,0.10936,0.67005,0.11885
Ce,Gd,6,5,0.09,144,57,-0.74157,0.94284,-0.78911,0.78472,0.9758,0.86745,2.0632,0.88814,0.08766,0.77465,0.092795
Ce,Tb,7,6,0.103,128,53,-0.96302,1.079,-1.1094,0.76562,1.1697,1.034,2.4911,1.013,0.15672,0.87925,0.15474
Ce,Dy,8,7,0.116,133,55,-1.0836,1.1443,-1.2509,0.77444,1.2873,1.0809,2.6742,1.1378,0.14948,0.98385,0.097062
Ce,Ho,9,8,0.128,121,52,-1.1847,1.266,-1.32,0.78512,1.4068,1.1971,2.9031,1.2531,0.15371,1.0804,0.11671
Ce,Er,10,9,0.139,127,55,-1.1735,1.2998,-1.413,0.75591,1.439,1.1779,3.0272,1.3587,0.080357,1.1689,0.0090257
Ce,Tm,11,10,0.149,101,48,-1.1354,1.3467,-1.3463,0.78218,1.4062,1.1643,3.0792,1.4547,-0.048467,1.2494,-0.085038
Ce,Yb,12,11,0.158,117,50,-1.1954,1.3355,-1.3784,0.78632,1.462,1.226,3.0662,1.5411,-0.079191,1.3218,-0.095778
Ce,Lu,13,12,0.166,118,48,-1.2677,1.3497,-1.4154,0.84746,1.5274,1.3101,3.1177,1.618,-0.090565,1.3862,-0.076066
Pr,Nd,1,1,0.017,172,71,-0.10722,0.23363,-0.069414,0.73256,0.17623,0.16814,0.51384,0.18712,-0.01089,0.18727,-0.019133
Pr,Sm,3,2,0.047,164,70,-0.3985,0.56698,-0.36817,0.7439,0.53842,0.50551,1.1697,0.47521,0.063213,0.42866,0.076852
