,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,0.640919,0.598225,0.495835,0.313482,0.0713434,-0.0690104,-0.114802,-0.256667,-0.289454,-0.415545,-0.413931,-0.477046,-0.470795,-0.423725
Ce,0.598225,0.52273,0.404235,0.322132,0.0857322,-0.0263982,-0.0914384,-0.205448,-0.260472,-0.342226,-0.372086,-0.398382,-0.384356,-0.384569
Pr,0.495835,0.404235,0.362305,0.29143,0.101032,-0.00566868,-0.055093,-0.168478,-0.231553,-0.30916,-0.357525,-0.364535,-0.371473,-0.380022
Nd,0.313482,0.322132,0.29143,0.214479,0.0903455,0.00964927,-0.0352272,-0.118598,-0.13542,-0.209989,-0.203291,-0.274489,-0.243114,-0.235739
Sm,0.0713434,0.0857322,0.101032,0.0903455,0.117398,0.077471,0.0166663,-0.017714,-0.0413698,-0.0589316,-0.0740535,-0.101647,-0.0945444,-0.0877713
Eu,-0.0690104,-0.0263982,-0.00566868,0.00964927,0.077471,0.129213,0.0398624,0.03,0.0158008,0.0128498,-0.0139261,-0.0224334,-0.0195412,-0.0164889
Gd,-0.114802,-0.0914384,-0.055093,-0.0352272,0.0166663,0.0398624,0.0978995,0.0573048,0.0467929,0.0468916,0.0299674,0.0313696,0.00831402,0.0180809
Tb,-0.256667,-0.205448,-0.168478,-0.118598,-0.017714,0.03,0.0573048,0.0939217,0.0866717,0.112015,0.102602,0.0942172,0.0978405,0.0957999
Dy,-0.289454,-0.260472,-0.231553,-0.13542,-0.0413698,0.0158008,0.0467929,0.0866717,0.113718,0.145922,0.126263,0.134181,0.118769,0.129848
Ho,-0.415545,-0.342226,-0.30916,-0.209989,-0.0589316,0.0128498,0.0468916,0.112015,0.145922,0.205546,0.180735,0.172775,0.183626,0.207331
Er,-0.413931,-0.372086,-0.357525,-0.203291,-0.0740535,-0.0139261,0.0299674,0.102602,0.126263,0.180735,0.191556,0.186432,0.186039,0.20794
Tm,-0.477046,-0.398382,-0.364535,-0.274489,-0.101647,-0.0224334,0.0313696,0.0942172,0.134181,0.172775,0.186432,0.209281,0.220461,0.218474
Yb,-0.470795,-0.384356,-0.371473,-0.243114,-0.0945444,-0.0195412,0.00831402,0.0978405,0.118769,0.183626,0.186039,0.220461,0.252052,0.257858
Lu,-0.423725,-0.384569,-0.380022,-0.235739,-0.0877713,-0.0164889,0.0180809,0.0957999,0.129848,0.207331,0.20794,0.218474,0.257858,0.261335
