,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,1,1.03353,1.02896,0.84551,0.260089,-0.239805,-0.45831,-1.04613,-1.07217,-1.14489,-1.18135,-1.30255,-1.17135,-1.03534
Ce,1.03353,1,0.928876,0.962062,0.346079,-0.101574,-0.404203,-0.927214,-1.06833,-1.04405,-1.17586,-1.20447,-1.05889,-1.04049
Pr,1.02896,0.928876,1,1.04545,0.489883,-0.0261994,-0.292529,-0.91332,-1.14077,-1.1329,-1.35713,-1.32384,-1.22926,-1.23502
Nd,0.84551,0.962062,1.04545,1,0.569357,0.0579627,-0.243106,-0.835605,-0.867114,-1.00012,-1.00295,-1.29559,-1.04562,-0.995729
Sm,0.260089,0.346079,0.489883,0.569357,1,0.629007,0.15546,-0.168696,-0.358046,-0.379371,-0.493819,-0.648485,-0.549618,-0.5011
Eu,-0.239805,-0.101574,-0.0261994,0.0579627,0.629007,1,0.354421,0.272323,0.13035,0.0788476,-0.0885172,-0.136419,-0.108281,-0.0897304
Gd,-0.45831,-0.404203,-0.292529,-0.243106,0.15546,0.354421,1,0.59761,0.443481,0.33056,0.218832,0.219156,0.0529269,0.113039
Tb,-1.04613,-0.927214,-0.91332,-0.835605,-0.168696,0.272323,0.59761,1,0.838648,0.806194,0.764938,0.672019,0.635903,0.611481
Dy,-1.07217,-1.06833,-1.14077,-0.867114,-0.358046,0.13035,0.443481,0.838648,1,0.954444,0.85549,0.869782,0.701524,0.753222
Ho,-1.14489,-1.04405,-1.1329,-1.00012,-0.379371,0.0788476,0.33056,0.806194,0.954444,1,0.910835,0.833031,0.806742,0.894564
Er,-1.18135,-1.17586,-1.35713,-1.00295,-0.493819,-0.0885172,0.218832,0.764938,0.85549,0.910835,1,0.931124,0.846666,0.929374
Tm,-1.30255,-1.20447,-1.32384,-1.29559,-0.648485,-0.136419,0.219156,0.672019,0.869782,0.833031,0.931124,1,0.959891,0.93419
Yb,-1.17135,-1.05889,-1.22926,-1.04562,-0.549618,-0.108281,0.0529269,0.635903,0.701524,0.806742,0.846666,0.959891,1,1.0047
Lu,-1.03534,-1.04049,-1.23502,-0.995729,-0.5011,-0.0897304,0.113039,0.611481,0.753222,0.894564,0.929374,0.93419,1.0047,1
