source,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,,0.9457,0.9025,0.8164,0.1782,0.0346,0.4054,0.7601,0.8767,0.8487,0.8239,0.7754,0.7502,0.6576
Ce,0.9458,,0.9191,0.8408,0.2193,0.0122,0.3573,0.6927,0.8481,0.8503,0.8577,0.8118,0.8007,0.7237
Pr,0.9030,0.9172,,0.9206,0.3492,-0.0167,0.2862,0.6737,0.8591,0.9089,0.9169,0.8490,0.8390,0.7687
Nd,0.8154,0.8419,0.9208,,0.5198,-0.0126,0.1913,0.5570,0.7916,0.8806,0.9249,0.8812,0.8902,0.8182
Sm,0.1705,0.2103,0.3417,0.5156,,0.4697,-0.0033,0.0200,0.1766,0.3528,0.4889,0.5083,0.5670,0.5851
Eu,0.0406,0.0197,-0.0158,-0.0140,0.4668,,0.4699,0.2123,0.0424,-0.0188,-0.0120,-0.0031,0.0153,0.0352
Gd,0.3979,0.3501,0.2808,0.1825,-0.0043,0.4634,,0.6759,0.4257,0.2075,0.1250,0.0881,0.0628,0.0292
Tb,0.7611,0.6962,0.6725,0.5579,0.0236,0.2045,0.6775,,0.8134,0.6015,0.5021,0.3968,0.3527,0.2798
Dy,0.8767,0.8476,0.8584,0.7911,0.1835,0.0356,0.4350,0.8142,,0.8826,0.7963,0.6273,0.5873,0.4758
Ho,0.8489,0.8474,0.9081,0.8777,0.3582,-0.0186,0.2220,0.6113,0.8825,,0.9212,0.7724,0.7452,0.6372
Er,0.8224,0.8540,0.9153,0.9243,0.4932,-0.0095,0.1351,0.5050,0.7965,0.9211,,0.8622,0.8695,0.7997
Tm,0.7770,0.8086,0.8501,0.8826,0.5096,-0.0011,0.0955,0.4005,0.6308,0.7805,0.8679,,0.9313,0.8586
Yb,0.7518,0.7972,0.8396,0.8913,0.5670,0.0161,0.0699,0.3576,0.5927,0.7534,0.8744,0.9294,,0.9633
Lu,0.6607,0.7191,0.7700,0.8205,0.5835,0.0341,0.0348,0.2873,0.4853,0.6478,0.8043,0.8514,0.9632,
