,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,1,0.958753,0.910173,0.98858,0.673778,0.0479644,-0.472856,-0.978563,-0.852397,-0.982069,-0.873115,-1.00517,-0.949605,-0.775921
Ce,0.958753,1,0.930778,0.951311,0.601671,-0.037882,-0.478072,-0.777687,-0.969335,-0.912965,-0.953472,-0.908213,-0.850373,-0.924362
Pr,0.910173,0.930778,1,0.99616,0.769331,0.158247,-0.253857,-0.662053,-0.963791,-0.90184,-1.05676,-0.911136,-0.908077,-1.01433
Nd,0.98858,0.951311,0.99616,1,0.658628,-0.241266,-0.497023,-0.932493,-0.849836,-0.947725,-0.777792,-1.07859,-0.876944,-0.892253
Sm,0.673778,0.601671,0.769331,0.658628,1,0.278204,-0.256537,-0.407872,-0.770631,-0.767126,-0.613498,-0.743412,-0.707772,-0.769539
Eu,0.0479644,-0.037882,0.158247,-0.241266,0.278204,1,0.397616,0.488301,0.0189941,-0.112249,-0.424047,-0.123543,-0.196167,-0.121844
Gd,-0.472856,-0.478072,-0.253857,-0.497023,-0.256537,0.397616,1,0.724636,0.452707,0.384901,0.371028,0.42504,0.0950372,0.0726257
Tb,-0.978563,-0.777687,-0.662053,-0.932493,-0.407872,0.488301,0.724636,1,0.755371,0.825162,0.700235,0.748553,0.680467,0.55651
Dy,-0.852397,-0.969335,-0.963791,-0.849836,-0.770631,0.0189941,0.452707,0.755371,1,0.976828,0.936235,0.917362,0.755638,0.773615
Ho,-0.982069,-0.912965,-0.90184,-0.947725,-0.767126,-0.112249,0.384901,0.825162,0.976828,1,0.949356,0.924237,0.843003,0.840758
Er,-0.873115,-0.953472,-1.05676,-0.777792,-0.613498,-0.424047,0.371028,0.700235,0.936235,0.949356,1,0.91814,0.839495,0.913559
Tm,-1.00517,-0.908213,-0.911136,-1.07859,-0.743412,-0.123543,0.42504,0.748553,0.917362,0.924237,0.91814,1,0.976654,0.940874
Yb,-0.949605,-0.850373,-0.908077,-0.876944,-0.707772,-0.196167,0.0950372,0.680467,0.755638,0.843003,0.839495,0.976654,1,0.977195
Lu,-0.775921,-0.924362,-1.01433,-0.892253,-0.769539,-0.121844,0.0726257,0.55651,0.773615,0.840758,0.913559,0.940874,0.977195,1
