source,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,,0.1699,0.2076,0.1999,0.2472,0.2448,0.1939,0.1215,0.1326,0.1878,0.1935,0.1919,0.2426,0.2567
Ce,0.2014,,0.1735,0.1812,0.2435,0.2475,0.2033,0.1382,0.1382,0.1753,0.1886,0.1837,0.2501,0.2925
Pr,0.2929,0.1990,,0.1178,0.2159,0.2538,0.2229,0.1513,0.1385,0.1549,0.1505,0.1574,0.1813,0.2147
Nd,0.3248,0.2444,0.1474,,0.1853,0.2468,0.1980,0.1621,0.1452,0.1604,0.1515,0.1362,0.2046,0.2348
Sm,0.6429,0.5602,0.4820,0.3236,,0.1729,0.1934,0.2337,0.2343,0.3340,0.2862,0.2835,0.3348,0.3379
Eu,0.6452,0.6149,0.5195,0.4020,0.1775,,0.1587,0.2119,0.2882,0.4101,0.4229,0.4223,0.4574,0.4128
Gd,0.6646,0.6011,0.5527,0.4060,0.2268,0.1306,,0.1608,0.2210,0.3400,0.3291,0.3640,0.4340,0.4189
Tb,0.3927,0.3477,0.3499,0.3130,0.2258,0.1471,0.1474,,0.1396,0.2229,0.2872,0.2997,0.3469,0.3688
Dy,0.3426,0.2989,0.2588,0.2295,0.1899,0.1487,0.1816,0.1150,,0.1088,0.1598,0.2113,0.2858,0.2685
Ho,0.3764,0.3088,0.2388,0.1975,0.1842,0.1640,0.2058,0.1478,0.0940,,0.0922,0.1432,0.2044,0.2167
Er,0.3611,0.2876,0.2062,0.1751,0.1553,0.1645,0.2138,0.1722,0.1188,0.0796,,0.1074,0.1762,0.1475
Tm,0.3823,0.3059,0.2119,0.1624,0.1560,0.1710,0.2257,0.2051,0.1657,0.1279,0.1008,,0.0671,0.1183
Yb,0.4327,0.3588,0.2258,0.2184,0.1710,0.1615,0.2307,0.1957,0.2055,0.1667,0.1633,0.0667,,0.0773
Lu,0.4401,0.4136,0.2599,0.2355,0.1593,0.1416,0.2243,0.2042,0.1844,0.1734,0.1354,0.1127,0.0769,
