metal,Z,var_centred_complete14,sd_centred_complete14,r2_flank,mae_flank,mae_baseline,r2_all13,mae_all13,r2_best_single,best_single_partner,communality_pc1,unique_sd_pc1,communality_pc2,unique_sd_pc2,communality_pc3,unique_sd_pc3
La,57,1.1496,1.0722,0.94729,0.19257,0.90669,1,8.4017e-14,0.94578,Ce,0.95147,0.23621,0.98659,0.12418,0.99019,0.1062
Ce,58,0.78288,0.8848,0.95644,0.12464,0.72876,1,3.2138e-14,0.94574,La,0.96441,0.16693,0.9775,0.13271,0.9832,0.11467
Pr,59,0.53569,0.73191,0.95506,0.10062,0.62906,1,3.7071e-14,0.92077,Nd,0.97169,0.12315,0.97172,0.12309,0.97836,0.10766
Nd,60,0.34723,0.58926,0.95234,0.092844,0.52064,1,6.7436e-14,0.92426,Er,0.93699,0.14791,0.95722,0.12188,0.97443,0.09422
Sm,62,0.071448,0.2673,0.93607,0.049807,0.2297,1,1.1065e-13,0.5835,Lu,0.36437,0.21311,0.87797,0.093376,0.94535,0.062486
Eu,63,0.048654,0.22058,0.83413,0.057097,0.16774,1,1.1014e-13,0.46972,Sm,0.0049522,0.22003,0.86826,0.080061,0.91932,0.062655
Gd,64,0.054488,0.23343,0.78695,0.077599,0.19123,1,6.6072e-14,0.67748,Tb,0.2896,0.19674,0.80473,0.10315,0.80479,0.10313
Tb,65,0.11466,0.33862,0.90285,0.071128,0.28495,1,6.6629e-14,0.81421,Dy,0.66821,0.19505,0.90849,0.10243,0.92402,0.093339
Dy,66,0.15273,0.3908,0.95404,0.057501,0.33356,1,1.0575e-13,0.88252,Ho,0.86222,0.14506,0.92498,0.10704,0.97973,0.055646
Ho,67,0.22519,0.47454,0.95208,0.06243,0.38461,1,9.3635e-14,0.92106,Er,0.91267,0.14024,0.91284,0.1401,0.96952,0.082848
Er,68,0.28312,0.53209,0.94596,0.074892,0.44033,1,7.2121e-14,0.92492,Nd,0.93531,0.13533,0.9559,0.11174,0.97611,0.082234
Tm,69,0.2974,0.54535,0.93216,0.069426,0.45007,1,5.2939e-14,0.92943,Yb,0.8944,0.17722,0.94978,0.12222,0.95245,0.11891
Yb,70,0.33482,0.57864,0.97598,0.051914,0.47981,1,1.1888e-13,0.96317,Lu,0.88973,0.19215,0.9825,0.076539,0.9936,0.046303
Lu,71,0.38203,0.61808,0.96828,0.080061,0.50963,1,7.409e-14,0.96331,Yb,0.81407,0.26651,0.95396,0.13262,0.98345,0.079519
