source,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,,168.0,156.0,191.0,189.0,185.0,153.0,129.0,147.0,125.0,142.0,98.0,118.0,132.0
Ce,168.0,,156.0,175.0,177.0,170.0,136.0,128.0,133.0,120.0,122.0,101.0,117.0,118.0
Pr,156.0,156.0,,162.0,163.0,156.0,125.0,118.0,121.0,108.0,110.0,87.0,104.0,104.0
Nd,191.0,175.0,162.0,,225.0,192.0,189.0,135.0,181.0,143.0,169.0,101.0,128.0,134.0
Sm,189.0,177.0,163.0,225.0,,192.0,186.0,135.0,181.0,140.0,169.0,102.0,126.0,133.0
Eu,185.0,170.0,156.0,192.0,192.0,,157.0,130.0,151.0,121.0,141.0,96.0,118.0,127.0
Gd,153.0,136.0,125.0,189.0,186.0,157.0,,165.0,214.0,177.0,203.0,133.0,164.0,166.0
Tb,129.0,128.0,118.0,135.0,135.0,130.0,165.0,,168.0,153.0,159.0,133.0,152.0,151.0
Dy,147.0,133.0,121.0,181.0,181.0,151.0,214.0,168.0,,177.0,208.0,135.0,164.0,167.0
Ho,125.0,120.0,108.0,143.0,140.0,121.0,177.0,153.0,177.0,,174.0,132.0,155.0,151.0
Er,142.0,122.0,110.0,169.0,169.0,141.0,203.0,159.0,208.0,174.0,,133.0,162.0,164.0
Tm,98.0,101.0,87.0,101.0,102.0,96.0,133.0,133.0,135.0,132.0,133.0,,134.0,133.0
Yb,118.0,117.0,104.0,128.0,126.0,118.0,164.0,152.0,164.0,155.0,162.0,134.0,,151.0
Lu,132.0,118.0,104.0,134.0,133.0,127.0,166.0,151.0,167.0,151.0,164.0,133.0,151.0,
