metal,mean_resid_as_heavy_partner,mean_resid_as_light_partner
La,,0.0375
Ce,0.0793,0.0548
Pr,0.0671,0.0185
Nd,-0.0254,0.0423
Sm,0.0828,-0.0099
Eu,0.0801,-0.0305
Gd,0.0381,0.0159
Tb,0.1172,-0.0777
Dy,0.0445,-0.0772
Ho,0.1001,-0.0891
Er,-0.0122,-0.0667
Tm,-0.0617,-0.0583
Yb,-0.0650,-0.0254
Lu,-0.1226,
