comparison,reference,candidate,statistic,endpoint,feature_set,n_runs,n_rows,mean_delta,min_delta,max_delta,n_delta_positive,n_ci95_low_above_zero,n_with_ci,direction_consistent
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,offset_mae,all,MC_donors,1,1,0.1846106878767853,0.1846106878767853,0.1846106878767853,1,1,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,offset_mae,all,MC_donors,1,1,0.1795093258712593,0.1795093258712593,0.1795093258712593,1,1,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,offset_mae,all,MC_lig2d_ext_massaction,1,1,0.1773022612053011,0.1773022612053011,0.1773022612053011,1,1,1,True
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,offset_mae,all,MC_lig2d_ext_massaction,1,1,0.1756138916651217,0.1756138916651217,0.1756138916651217,1,1,1,True
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,mae,all,MC_donors,1,1,0.1755145337733002,0.1755145337733002,0.1755145337733002,1,1,1,True
EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,mae,all,MC_lig2d_ext_massaction,1,1,0.1725765863775509,0.1725765863775509,0.1725765863775509,1,1,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,mae,all,MC_donors,1,1,0.172070295847862,0.172070295847862,0.172070295847862,1,1,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,mae,all,MC_lig2d_ext_massaction,1,1,0.1632835363301766,0.1632835363301766,0.1632835363301766,1,1,1,True
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,mae,all,MC_lig2d_ext_massaction,1,1,0.1614163771124771,0.1614163771124771,0.1614163771124771,1,1,1,True
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,shape_mae,nn<0.4,MC_lig2d_ext_massaction,1,1,0.0755947442645576,0.0755947442645576,0.0755947442645576,1,1,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,shape_mae,nn<0.4,MC_lig2d_ext_massaction,1,1,0.0742497112844485,0.0742497112844485,0.0742497112844485,1,1,1,True
