run_id,run_path,source_file,feature_set,split_seed,arm,macro_mae,offset_mae,shape_mae,shape_r2,macro_mae_ligand,pooled_mae,pooled_r2,offset_share_of_sse,median_ligand_mae,worst_quartile_ligand_mae,rank_spearman,sign_accuracy,frac_within_0_5_log,frac_within_1_log,prediction_dispersion_ratio,n_rows,n_ligands,n_ecfp_clusters,n_superclusters,n_eff_pooled_rows,n_macro_units
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_lig2d_ext_massaction,104729,BASE,1.217549452863424,1.082528024044739,0.5244585582637012,0.1855541483395018,1.2279217046932198,1.2263427650283596,0.159474612845878,0.5217357542831113,1.09814617433797,2.3097955721103136,0.3303615087098424,0.6459078495471193,0.2522865853658536,0.4780868902439024,0.5434162622456911,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_lig2d_ext_massaction,104729,EXPANDED,1.0679925244552133,0.9369964668945604,0.5020443051476923,0.1610950550441814,1.0830395724222412,1.203334782192902,0.1738467267299932,0.4988027710668231,0.9590295876905404,2.173249660387264,0.4823180154823573,0.6261424074847514,0.2785823170731707,0.4820884146341463,0.4744546281783871,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_lig2d_ext_massaction,104729,EXPANDED_ROWMATCHED,1.0818957925182346,0.948399790060852,0.5075107765520702,0.1534846135253075,1.093825235175117,1.1982201144152478,0.1788723537718956,0.4911606178796922,0.9508265475340064,2.1968765284336516,0.4662134898201261,0.6173648031201816,0.2782012195121951,0.4910442073170731,0.4785368969207588,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_lig2d_ext_massaction,104729,EXPANDED_SHUFFLED,1.2017346167153409,1.0646316360468508,0.5299020550866185,0.1567421694341765,1.2101053124801486,1.249645425376172,0.1235445626057938,0.5251165025423603,0.9997043148164246,2.3078508075722497,0.3420037504538074,0.6224295504480656,0.2515243902439024,0.4786585365853658,0.4126882218861069,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_lig2d_ext_massaction,130363,BASE,1.2061431005782193,0.9972655379462344,0.5383442132357227,0.1237936648929338,1.1880943934252997,1.115078676373987,0.2789243159347468,0.4002336817783698,1.032482640783857,2.2708399359916887,0.3621829688168075,0.6290120994966132,0.2814405487804878,0.5323932926829268,0.6093883716278679,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_lig2d_ext_massaction,130363,EXPANDED,1.047783801072813,0.8451030051411766,0.5168026961511533,0.1342288854612952,1.040232304393132,1.0927133398349949,0.303236439127838,0.3866982602068877,0.8567364281873393,2.054867868299564,0.4433753074966665,0.6139827221826198,0.2932545731707317,0.5383003048780488,0.5363119590471052,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_lig2d_ext_massaction,130363,EXPANDED_ROWMATCHED,1.0510588953590994,0.846129809276122,0.5186331441330236,0.1340879936780269,1.042873674556234,1.0861473892083366,0.3156449125413451,0.3754764841484609,0.853410669703953,2.058866179154565,0.4290302481493542,0.6167257562577918,0.3003048780487805,0.5356326219512195,0.5477928059172584,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_lig2d_ext_massaction,130363,EXPANDED_SHUFFLED,1.174216163075739,0.9824551791824604,0.5404376544952182,0.122817471593688,1.1641942624562116,1.1437143640814338,0.2524894301476448,0.4207991779505715,1.0574409592389942,2.1455609782273,0.380874136449518,0.6215261967343187,0.2802972560975609,0.5192454268292683,0.5052850566464954,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_lig2d_ext_massaction,155921,BASE,1.192179823299822,1.018069713093572,0.5258841678148677,0.1289285992210699,1.1771822345668432,1.2248883569261282,0.1477692582197891,0.495509382407759,1.0145338127969608,2.2527302030656435,0.3358788217905065,0.6245597066560316,0.2600990853658536,0.4923780487804878,0.5454926530662804,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_lig2d_ext_massaction,155921,EXPANDED,1.0268334488527662,0.8292172449069694,0.5096995913048199,0.16913610186172,1.0195080074770768,1.100059245599285,0.2694145236301938,0.4386737022224122,0.8638178947681496,2.0815655205578567,0.445269864284142,0.6273843879961772,0.3039253048780488,0.5463033536585366,0.5251987592287362,5248,152,131,79,6.256051615740402,131
