split_seed,fold,n_curves,n_curves_pure,n_curves_straddling_train_test
104729,0,1176,1176,0
104729,1,1176,1176,0
104729,2,1176,1176,0
104729,3,1176,1176,0
104729,4,1176,1176,0
130363,0,1176,1176,0
130363,1,1176,1176,0
130363,2,1176,1176,0
130363,3,1176,1176,0
130363,4,1176,1176,0
155921,0,1176,1176,0
155921,1,1176,1176,0
155921,2,1176,1176,0
155921,3,1176,1176,0
155921,4,1176,1176,0
