comparison,dropped_chemotype,delta,n_units
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc030,0.09449054501461479,87
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc031,0.09142729790205988,87
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc032,0.0987815277497933,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc033,0.09491415995370596,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc036,0.09357214878856089,86
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc055,0.09556202336192644,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc057,0.09601618548536477,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc058,0.1026981028532273,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc059,0.09600881542055176,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc060,0.09451033287564228,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc061,0.09708543043638075,88
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc062,0.0951781811747425,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc063,0.0987744509697415,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc068,0.09291602917186792,84
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc069,0.10108802247199856,88
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc070,0.097977214400911,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc071,0.09834109418492208,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc075,0.09621594525422668,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc076,0.09819284121390805,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc077,0.09786905059005348,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc078,0.09744898610695685,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc083,0.09826230374543812,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc084,0.09759538318428886,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc085,0.0967678991280343,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc086,0.09400797738845312,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc092,0.09347063621817348,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc096,0.09394525701118092,89
M_LOWRANK_K2_vs_B1_MEAN_CURVE,sc097,0.09507728239227593,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,(none),-0.011336847413764289,90
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc000,-0.012572075162209408,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc001,-0.012790268236832925,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc007,-0.00782087455443642,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc008,-0.013942197688758158,88
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc009,0.005833223426683855,67
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc010,-0.012140791092571178,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc012,-0.009715025593375485,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc015,-0.006115829057107815,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc016,-0.010715541965111257,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc017,-0.010503699687577533,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc018,-0.01105549252196828,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc019,-0.010036312346504877,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc020,-0.012596264180277358,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc021,-0.009615185323877175,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc027,-0.0006295293899798807,84
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc028,-0.011212869386154508,88
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc029,-0.01031181588081571,87
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc030,-0.02080599406321829,87
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc031,-0.01723149115304435,87
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc032,-0.010741485352899482,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc033,-0.011188708074778788,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc036,-0.015188310899350946,86
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc055,-0.013237281068253559,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc057,-0.008928424282345384,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc058,-0.010220859774433936,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc059,-0.01104486553926206,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc060,-0.011809303975225689,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc061,-0.015003172571781393,88
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc062,-0.007902524534837458,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc063,-0.012419931990463064,89
