comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds,value,p_two_sided,passes
M_LOWRANK_K2_vs_C_DIRECT_ROW,-0.024433524470339866,-0.0722454723813383,0.04211117802385952,-0.07735751198927071,0.03280308884871556,-0.010111228650097242,90,46,0,1,mae_all,0.467,False
M_LOWRANK_K2_vs_B1_MEAN_CURVE,0.09723941836477437,0.03747102927371871,0.14679622674399204,0.019132743042297305,0.138234005449593,0.10633714170592927,90,62,1,1,mae_all,0.004,True
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,-0.011336847413764289,-0.04933888438154743,0.04421191806273506,-0.05273415827948346,0.03777544057078006,-0.0006405772849651776,90,44,0,1,mae_all,0.666,False
M_LOWRANK_K2_vs_C_DIRECT_ROW,-0.016294403929145475,-0.02507282222459685,-0.0037271458297493116,-0.025890747957884954,-0.005054207407728841,-0.011240913545906114,83,26,0,1,mae_adjacent,0.011,False
M_LOWRANK_K2_vs_B1_MEAN_CURVE,0.019042867793049395,0.003010590226789446,0.035321986170675015,-0.0013619895872708288,0.03236421657796083,0.030007112811680097,83,55,1,1,mae_adjacent,0.023,False
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,-0.012816736054799103,-0.021090867286790348,-0.001165250791488836,-0.021804058447911,-0.0023087661236031775,-0.009211862791235419,83,33,0,1,mae_adjacent,0.036,False
M_LOWRANK_K2_vs_C_DIRECT_ROW,-0.042684554938582184,-0.12200806091913798,0.07349311748379944,-0.138538674782159,0.05283783536091597,-0.020217413132119725,88,43,0,1,mae_far,0.474,False
M_LOWRANK_K2_vs_B1_MEAN_CURVE,0.14316732102126117,0.04758926746921918,0.22877564300713094,0.025143879737707774,0.21372579250519644,0.1491912406023142,88,57,1,1,mae_far,0.01,True
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,-0.017474304480496347,-0.0826575475531999,0.08032312297566867,-0.09470514621894251,0.0660325613159229,0.0022777432300939413,88,46,0,1,mae_far,0.715,False
M_LOWRANK_K2_vs_C_DIRECT_ROW,0.026471844833705013,-0.10001465465384717,0.1372959922063125,-0.08015063155556817,0.15754075611920193,-0.01412587231833637,86,30,1,1,sign_acc_strong,0.697,False
M_LOWRANK_K2_vs_B1_MEAN_CURVE,-0.059852303702261384,-0.2217671068790117,0.09152506360641302,-0.20124003301677387,0.10729472366802799,-0.09518135031316362,86,23,0,1,sign_acc_strong,0.365,False
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,-0.061288054799282184,-0.19320824025358024,0.027772151794099628,-0.17838346715751496,0.03281689052550776,-0.10591494823925943,86,27,0,1,sign_acc_strong,0.164,False
M_LOWRANK_K2_vs_C_DIRECT_ROW,0.09240192274754105,-0.05448942923674151,0.2193900035705152,-0.04927417522548867,0.2250921279742456,0.05074477527373983,84,49,1,1,curve_spearman,0.216,False
M_LOWRANK_K2_vs_B1_MEAN_CURVE,-0.09897486455099044,-0.3035086309612185,0.06452842197754384,-0.2824143073455133,0.08023333383364498,-0.1516579225338533,84,27,0,1,curve_spearman,0.22,False
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,0.02779378415411115,-0.1017543008837195,0.11945760009192706,-0.09937538400688849,0.12110497773376701,-0.024519451138390186,84,49,1,1,curve_spearman,0.62,False
