comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
S2_CENTRED_ROW_basic_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,S2_CENTRED_ROW_basic,0.006184039689929781,-0.031061826197323384,0.05001840804321297,-0.037223010082013334,0.04369406504397263,0.707,0.0202493458450301,0.056698168366084274,0.015425649864027547,90,47,4,5,-0.00029886905816745854,0.020059700902312558,False,0.02,False,False
S2_CENTRED_ROW_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,S2_CENTRED_ROW,0.0024584377983568394,-0.034508138674721,0.05145625620394966,-0.03877518944919659,0.045735114683919054,0.8666,0.02156421631306409,0.06037980567657945,0.013925139382581827,90,46,4,5,-0.005152325360202148,0.015477219722906624,False,0.02,False,False
S2_CENTRED_ROW_basic_vs_S2_CENTRED_ROW,mae_all,S2_CENTRED_ROW,S2_CENTRED_ROW_basic,0.0037256018915729438,-0.0045143253541046376,0.009128101785672527,-0.0030659474469306083,0.010254085771820978,0.3718,0.00355572409678982,0.009956027471011496,0.0015005104814457167,90,51,5,5,0.0005424872705481915,0.005335531915228307,True,0.02,False,False
S3_HIER_vs_S3_EXT_LEVEL,mae_all,S3_HIER,S3_EXT_LEVEL,0.005243564639928857,-0.014111533092845048,0.03811495073081931,-0.014587550473317572,0.036823055358760855,0.6714,0.013420611918463698,0.03757771337169835,0.021837225779509018,90,44,3,5,-0.0007766683898447991,0.014230703920610654,False,0.02,False,False
S3_EXT_LEVEL_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,S3_EXT_LEVEL,-0.0008452223440646222,-0.03207413029620633,0.03350144582726174,-0.031126733843214426,0.034572075483929335,0.9366,0.016271394044246663,0.045559903323890656,-0.0036474668459434336,90,47,2,5,-0.008932749047469156,0.006921587228244915,False,0.02,False,False
S3_EXTW_PHYSICS_vs_M_PHYSICS,mae_all,M_PHYSICS_radius+radius_sq,S3_EXTW_PHYSICS,-0.0007114738420555655,-0.012863503332986456,0.010671247221155152,-0.01413300609547123,0.009583910828909746,0.9146,0.005977024018609207,0.01673566725210578,0.0057340839446663495,90,45,3,5,-0.0030214948148959363,0.0032399943215973386,False,0.02,False,False
S2_REL_PHYSICS_vs_M_PHYSICS,mae_all,M_PHYSICS_radius+radius_sq,S2_REL_PHYSICS,0.0011293701837374673,-0.0043190675725318685,0.005243924776322637,-0.0032177685102400735,0.006229210499285297,0.7568,0.0025362700336578506,0.007101556094241981,0.001220609131209269,90,43,3,5,-0.001621534831009741,0.00239725900469876,False,0.02,False,False
S2_CENTRED_ROW_basic_vs_C_DIRECT_ROW,mae_far,C_DIRECT_ROW,S2_CENTRED_ROW_basic,0.007427142947375612,-0.05493999731117951,0.08054504583389387,-0.06663448969422903,0.07006365653201356,0.7722,0.03383768201528056,0.09474550964278557,0.020253038968457784,88,47,4,5,-0.0024370896932314084,0.030875902789776238,False,0.02,False,False
S2_CENTRED_ROW_vs_C_DIRECT_ROW,mae_far,C_DIRECT_ROW,S2_CENTRED_ROW,0.005036614776660048,-0.056947062371455796,0.08512834907936988,-0.06410339419363212,0.07719362552212798,0.8396,0.03579112538078334,0.10021515106619336,0.021496712383458454,88,46,4,5,-0.006979805564764658,0.02689586098927339,False,0.02,False,False
S2_CENTRED_ROW_basic_vs_S2_CENTRED_ROW,mae_far,S2_CENTRED_ROW,S2_CENTRED_ROW_basic,0.002390528170715563,-0.011111196970047702,0.01130187830770488,-0.00861233262080941,0.013107326169457041,0.7522,0.005836733193538089,0.016342852941906648,-0.0012436734150006682,88,46,3,5,-0.003031086154227522,0.004744172801862487,False,0.02,False,False
