set,descriptor,n,rho_all,n_no_sc009,rho_no_sc009,p_no_sc009,n_sc009,rho_sc009_only,rho_vs_naive_slope
S8,steppos_n_H2O,29,0.7795548852141913,16,0.7377117710595605,0.0011065445665251479,13,0.3277927812629611,0.7917354302956631
S8,slope_n_H2O_vs_r,62,0.6753668845756498,43,0.509047050783336,0.0004904110572217784,19,0.7428651543526086,0.6778899823787363
S8,steppos_n_fill,50,0.47686310227475803,31,0.515555556979451,0.002994228803336339,19,0.27903614978218283,0.6807779527328099
S8,slope_n_fill_vs_r,62,0.5473750119188058,43,0.461299760123456,0.0018491648309728272,19,0.558759162327523,0.741985581561237
S14,steppos_n_H2O,27,0.8325454150566612,15,0.7528517213141737,0.001197841262551784,12,0.6477502756312958,0.8612538776448219
S14,slope_n_H2O_vs_r,39,0.7579430936752503,25,0.5993259159626712,0.0015453473884697014,14,0.7638800174703719,0.6756857036639827
S14,steppos_n_fill,38,0.6763187941002861,24,0.6226770495807069,0.001155468481118272,14,0.6076436202501999,0.8053872662568292
S14,slope_n_fill_vs_r,39,0.6686970102881677,25,0.5883484054145521,0.0019781233489289903,14,0.6094494002200441,0.8153293107000885
