predictor,ext_macro,pooled,n_ext,n_cells,n_pairs
L1 corpus (chemotype-bal),0.5123,0.5619,23,272,7292
L2 chemotype,0.4124,0.3421,23,272,7292
L3 extractant,0.247,0.2988,23,272,7292
L4 +publication,0.2321,0.2821,23,272,7292
L5 +nearest acid,0.2447,0.2997,23,272,7292
ARM_X_ENS_DIRECT+LOWRANK_K2,0.4837,0.488,23,272,7292
ARM_C_DIRECT_ROW,0.4924,0.5434,23,272,7292
ARM_B1_MEAN_CURVE,0.5328,0.5836,23,272,7292
