predictor,ext_macro,pooled,n_ext,n_pairs
"L1 corpus mean (LOO, chemo-bal)",0.4503,0.5643,24,9840
L2 chemotype (LOO),0.3306,0.3546,24,9840
L3 extractant (LOO),0.2502,0.2895,24,9840
L4 extractant+publication (LOO),0.2338,0.2729,23,9079
ARM X_ENS_DIRECT+LOWRANK_K2,0.4095,0.5023,24,9840
ARM C_DIRECT_ROW,0.428,0.5464,24,9840
ARM M_SELECTED,0.4324,0.5081,24,9840
ARM B1_MEAN_CURVE,0.4694,0.5856,24,9840
ARM B4_HEAVIER_ALWAYS,0.5213,0.4807,24,9840
