predictor,ext_macro,pooled,n_pairs
L1_corpus,0.5253,0.4947,7677
L2_chemotype,0.3715,0.374,7677
L3_extractant,0.3118,0.352,7677
L4_ext_pub,0.2893,0.3018,7677
L5_ext_acid,0.2642,0.2977,7677
ARM_X_ENS_DIRECT+LOWRANK_K2,0.4893,0.4816,7677
ARM_C_DIRECT_ROW,0.5012,0.5355,7677
ARM_M_SELECTED,0.5256,0.4819,7677
ARM_B1_MEAN_CURVE,0.5386,0.5733,7677
ARM_B4_HEAVIER_ALWAYS,0.5914,0.4813,7677
