rung,ext_macro,chemo_macro,pooled,n_ext,n_cells,n_pairs
L1_corpus,0.6081,0.6578,0.5294,90,521,14150
L2_chemotype,0.3704,0.2849,0.4061,64,491,12707
L3_extractant,0.2768,0.2983,0.3594,24,450,9840
L4_ext_pub,0.2579,0.2945,0.3139,23,419,9079
L5_ext_acid,0.2674,0.2743,0.2995,24,332,8337
