design,arm,macro_brier,macro_accuracy,pooled_brier,ece10,ece10_ci_low,ece10_ci_high,mean_p,base_rate,n_cells,n_units,n_chemotypes,n_seeds,platt_folds_fitted
B,RAW,0.14267413119105835,0.8400158378207159,0.16200872565028582,0.08391654602302805,0.06293635434296643,0.22590131810720965,0.6676204559145588,0.7024221453287197,1445,82,40,5,1.0
B,PLATT,0.19989144671848008,0.7461588005490445,0.22832350931866255,0.2050566037955217,0.10969307113548558,0.24340900861268333,0.6409448077539309,0.7024221453287197,1445,82,40,5,1.0
B,CONST,0.27779430768437197,0.34778904022806456,0.29067591791160446,0.29995527679092,0.15171975341615535,0.35209969582902095,0.4320260509634686,0.7024221453287197,1445,82,40,5,1.0
B,CONSTCELL,0.29075895081472247,0.5585524231865695,0.2452631632707017,0.2190165594483784,0.17181364409561972,0.2979521232755869,0.6043522485826478,0.7024221453287197,1445,82,40,5,1.0
BR,RAW,0.14910071415392417,0.8346499841621794,0.1667299839195586,0.09814624967155876,0.07154096173846458,0.22181232155230923,0.6635980594272509,0.7024221453287197,1445,82,40,5,1.0
BR,PLATT,0.2620493539501818,0.6300190053848591,0.29534195030335336,0.28654249524513437,0.16203240617693093,0.3253101562768027,0.4940375356421752,0.7024221453287197,1445,82,40,5,1.0
BR,CONST,0.27735797790957306,0.34778904022806456,0.29191662483512965,0.2991653440462036,0.14963860625602823,0.35008159602003436,0.43147959933781405,0.7024221453287197,1445,82,40,5,1.0
BR,CONSTCELL,0.29022773929755463,0.5585524231865695,0.24584650136651554,0.21864600492163813,0.16761956880190576,0.30159408271545196,0.6103201949392973,0.7024221453287197,1445,82,40,5,1.0
BQ,RAW,0.14283420171015043,0.8400158378207159,0.16287153206412622,0.09316505773061436,0.07400074624462699,0.224425875484575,0.6557170869716,0.7024221453287197,1445,82,40,5,0.8395393474088292
BQ,PLATT,0.19200281201510155,0.7730239679020166,0.19006653930329073,0.1332300629722443,0.11301921000493131,0.21745398016796114,0.6919457086799086,0.7024221453287197,1445,82,40,5,0.8395393474088292
BQ,CONST,0.27799053212418495,0.3516914792524549,0.2926766866067955,0.289241041014697,0.14113240073625988,0.3537214889113462,0.4276828068637801,0.7024221453287197,1445,82,40,5,0.8395393474088292
BQ,CONSTCELL,0.3036822333871151,0.3935603420969275,0.27286221880446226,0.2759316986576092,0.16323246340526548,0.31661518333437627,0.5464975511591772,0.7024221453287197,1445,82,40,5,0.8395393474088292
A,RAW,0.13668264640281513,0.8346499841621794,0.16076278450174078,0.08094258196561793,0.05169453226615246,0.18564559334929787,0.6699916576214542,0.7024221453287197,1445,82,40,5,1.0
A,PLATT,0.18724090962765816,0.7545612923661705,0.19805834208064735,0.151912159235772,0.08612032720247037,0.2169205909746631,0.690476449716508,0.7024221453287197,1445,82,40,5,1.0
A,CONST,0.2617596644235414,0.4414475768134305,0.274647811212863,0.2516706034810629,0.09364122661653805,0.3254767716849677,0.4507515418476567,0.7024221453287197,1445,82,40,5,1.0
A,CONSTCELL,0.26895588679487614,0.5585524231865695,0.21388623720682823,0.10277921890621125,0.0695147764092824,0.2878673314414026,0.695644163683909,0.7024221453287197,1445,82,40,5,1.0
BP,RAW,0.16662592011170826,0.8205036426987646,0.18630717827832338,0.1392514109188577,0.09539246431039429,0.22746154260671564,0.6225485773805772,0.7024221453287197,1445,82,40,5,0.7919385796545105
BP,PLATT,0.2550018449588489,0.6671280751768557,0.31651216801230075,0.3011594696442331,0.18236566921226266,0.34642758154263,0.47663944868830044,0.7024221453287197,1445,82,40,5,0.7919385796545105
BP,CONST,0.312817943358637,0.3472716714180129,0.3488216407377364,0.3593144130277981,0.16202559194079375,0.43130178355316523,0.37035304058783053,0.7024221453287197,1445,82,40,5,0.7919385796545105
BP,CONSTCELL,0.29408158049370436,0.5585524231865695,0.2426215068904776,0.2186519612320597,0.1737663223274801,0.30567810462609496,0.6195094653523711,0.7024221453287197,1445,82,40,5,0.7919385796545105
