design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,lead,p_bh_lead
B,MIX6meanPC_vs_POOLED@k1,mae_all,G14_POOLED@doptk1,MIX6meanPC_POOLED@doptk1,0.0043339656510638,-0.002648997740025,0.0089978119759215,-0.0010526464144634,0.0105648955966893,0.2812,0.0031227440321272,0.0087436832899563,0.0012029775849392,84,46,5,5,0.0006113383296133,0.0050911414055764,True,0.02,False,False,registered,L5,0.46866666666666673
B,MIX6meanPC_vs_POOLED@k2,mae_all,G14_POOLED@doptk2,MIX6meanPC_POOLED@doptk2,0.0060026941596511,0.0008051663219054,0.0091659484376938,0.001318428420557,0.0094633150277461,0.0222,0.0021466375356037,0.0060105850996905,0.0047417503132576,84,59,5,5,0.0043943589566875,0.0068313572920042,True,0.02,True,False,registered,L5,0.0736
B,MIX6meanPC_vs_POOLED@k3,mae_all,G14_POOLED@doptk3,MIX6meanPC_POOLED@doptk3,0.0079200290976301,0.0052256245334613,0.0110834801396352,0.0051742131946035,0.0110449198838325,0.0,0.0014618379643752,0.0040931463002508,0.0087588957070423,84,60,5,5,0.007424012070543,0.0084908937387844,True,0.02,True,False,registered,L5,0.0
B,MIX6meanPC_vs_NAIVE@k1,mae_all,NAIVE_LINE_POOLED@doptk1,MIX6meanPC_POOLED@doptk1,0.0192403533834865,-0.0002244815918133,0.0343426504194459,0.0010473143443897,0.0353190871401892,0.0524,0.0087427067299758,0.0244795788439325,0.0154866488822069,84,49,5,5,0.0149314154435966,0.0217903495442178,True,0.02,False,False,exploratory,L5,0.08273684210526316
B,MIX6meanPC_vs_NAIVE@k2,mae_all,NAIVE_LINE_POOLED@doptk2,MIX6meanPC_POOLED@doptk2,0.0379434680110227,0.0196493866418347,0.0521911414447463,0.0195310527305802,0.0521274665512187,0.0004,0.0082189814247722,0.0230131479893622,0.0383035816808482,84,61,5,5,0.0341585241056644,0.0408523089719997,True,0.02,True,True,exploratory,L5,0.001
B,MIX6meanPC_vs_NAIVE@k3,mae_all,NAIVE_LINE_POOLED@doptk3,MIX6meanPC_POOLED@doptk3,0.0684428520590026,0.0540314949769909,0.0842761414667498,0.053924104488749,0.0842114718041745,0.0,0.0075064173173112,0.0210179684884714,0.0744424086570817,84,75,5,5,0.0652376964590698,0.0711918925903467,True,0.02,True,True,exploratory,L5,0.0
BR,MIX6meanPC_vs_POOLED@k1,mae_all,G14_POOLED@doptk1,MIX6meanPC_POOLED@doptk1,0.0048517855477974,-0.0018677787978945,0.0091699627668532,-0.0003451522794052,0.010440689176398,0.1842,0.0029462217517349,0.0082494209048579,0.0019227965620875,84,51,5,5,0.0014803163136694,0.005683779258673,True,0.02,False,False,registered,L5,0.33490909090909093
BR,MIX6meanPC_vs_POOLED@k2,mae_all,G14_POOLED@doptk2,MIX6meanPC_POOLED@doptk2,0.0058796160312945,0.0011697845055544,0.0089882287613806,0.0011853675880337,0.0090018181780318,0.0168,0.0019818699675222,0.0055492359090622,0.0050246492021914,84,61,5,5,0.0048429815166848,0.006760495902582,True,0.02,True,False,registered,L5,0.0672
BR,MIX6meanPC_vs_POOLED@k3,mae_all,G14_POOLED@doptk3,MIX6meanPC_POOLED@doptk3,0.0077091587216265,0.0049563133063084,0.011364375805496,0.0049067785169388,0.0112810834268393,0.0,0.0016076856613809,0.0045015198518667,0.0087725412248157,84,61,5,5,0.0071029657763785,0.008524802649955,True,0.02,True,False,registered,L5,0.0
BR,MIX6meanPC_vs_NAIVE@k1,mae_all,NAIVE_LINE_POOLED@doptk1,MIX6meanPC_POOLED@doptk1,0.0223086426768974,0.0024375787489103,0.0404186732541498,0.0033078506750026,0.0412067415478328,0.0306,0.0094621342652593,0.0264939759427261,0.0216848471330287,84,48,5,5,0.0182188496606729,0.0248294545761936,True,0.02,True,True,exploratory,L5,0.054
BR,MIX6meanPC_vs_NAIVE@k2,mae_all,NAIVE_LINE_POOLED@doptk2,MIX6meanPC_POOLED@doptk2,0.0342328004448814,0.0143878113505526,0.0489622893917541,0.01454156185287,0.0490500222844473,0.0012,0.0087813795958364,0.024587862868342,0.031704825222559,84,58,5,5,0.0296773692599527,0.0369056295361239,True,0.02,True,True,exploratory,L5,0.0026865671641791043
BR,MIX6meanPC_vs_NAIVE@k3,mae_all,NAIVE_LINE_POOLED@doptk3,MIX6meanPC_POOLED@doptk3,0.0684127025598061,0.0532860461187861,0.0856653939150121,0.053283607380996,0.0856404774796572,0.0,0.0080432864471074,0.0225212020519008,0.0759482452667333,84,74,5,5,0.0648602503697051,0.0714709288093697,True,0.02,True,True,exploratory,L5,0.0
BQ,MIX6meanPC_vs_POOLED@k1,mae_all,G14_POOLED@doptk1,MIX6meanPC_POOLED@doptk1,0.0032345334488317,-0.0032846268330153,0.0074848113657021,-0.0017596119567604,0.008798323898569,0.3874,0.0028606025073808,0.0080096870206663,0.0003931616238546,84,45,4,5,-7.956195670125938e-05,0.0040358759497696,False,0.02,False,False,registered,L5,0.573925925925926
BQ,MIX6meanPC_vs_POOLED@k2,mae_all,G14_POOLED@doptk2,MIX6meanPC_POOLED@doptk2,0.0050796157200016,0.0002611554646837,0.008202979992924,0.0004980674186293,0.0083483118625494,0.0408,0.0020348634756214,0.0056976177317399,0.0043798158133349,84,55,5,5,0.0037490104565931,0.0059568216639307,True,0.02,True,False,registered,L5,0.09890909090909092
BQ,MIX6meanPC_vs_POOLED@k3,mae_all,G14_POOLED@doptk3,MIX6meanPC_POOLED@doptk3,0.0076150463473202,0.0048926139244658,0.0109947428081982,0.0049046886107555,0.0110306230229798,0.0,0.0015074022317273,0.0042207262488366,0.008875252479211,84,58,5,5,0.0071476697216972,0.0081225932901912,True,0.02,True,False,registered,L5,0.0
BQ,MIX6meanPC_vs_NAIVE@k1,mae_all,NAIVE_LINE_POOLED@doptk1,MIX6meanPC_POOLED@doptk1,0.0182038668793293,-0.0013022018850819,0.0326889170031132,-2.998209939971302e-05,0.0338015810694622,0.0668,0.0086496729099253,0.0242190841477909,0.0138250471631371,84,49,5,5,0.0132535704445337,0.0206144463195671,True,0.02,False,False,exploratory,L5,0.1002
BQ,MIX6meanPC_vs_NAIVE@k2,mae_all,NAIVE_LINE_POOLED@doptk2,MIX6meanPC_POOLED@doptk2,0.0378870498944115,0.0201079135603016,0.0519269042763746,0.0197167298765376,0.0516841629604336,0.0002,0.008029825807119,0.0224835122599332,0.0394329355545952,84,59,5,5,0.0343959474583832,0.0406976646778623,True,0.02,True,True,exploratory,L5,0.0005357142857142857
BQ,MIX6meanPC_vs_NAIVE@k3,mae_all,NAIVE_LINE_POOLED@doptk3,MIX6meanPC_POOLED@doptk3,0.0682450718579859,0.0543418893188512,0.0821126304043584,0.0536480108426411,0.0814348317235193,0.0,0.006985917938212,0.0195605702269937,0.0737355834986748,84,76,5,5,0.0662063926623605,0.070942674938071,True,0.02,True,True,exploratory,L5,0.0
A,MIX6meanPC_vs_POOLED@k1,mae_all,G14_POOLED@doptk1,MIX6meanPC_POOLED@doptk1,0.0055537104341107,-0.002204601986915,0.0108902503550403,-0.0004679894488861,0.0127905949058535,0.2176,0.0035510284963694,0.0099428797898345,0.0016675087507839,84,51,5,5,0.0011837132526438,0.0063100763589946,True,0.02,False,False,registered,L5,0.3703829787234042
A,MIX6meanPC_vs_POOLED@k2,mae_all,G14_POOLED@doptk2,MIX6meanPC_POOLED@doptk2,0.0064966884401092,0.0007541800007108,0.0097964462375714,0.0017124225724691,0.0103307004560669,0.0286,0.0023400424367292,0.0065521188228418,0.0042232707521639,84,60,5,5,0.00445502632381,0.0073235673845235,True,0.02,True,False,registered,L5,0.08275862068965517
A,MIX6meanPC_vs_POOLED@k3,mae_all,G14_POOLED@doptk3,MIX6meanPC_POOLED@doptk3,0.007580920588481,0.0047773343515685,0.0110592349799128,0.004690688463948,0.0109548757380407,0.0,0.0015851858107791,0.0044385202701816,0.0084096114191341,84,62,5,5,0.0068855825062119,0.0083206772620637,True,0.02,True,False,registered,L5,0.0
A,MIX6meanPC_vs_NAIVE@k1,mae_all,NAIVE_LINE_POOLED@doptk1,MIX6meanPC_POOLED@doptk1,0.0190229751313037,-0.0022819992780783,0.0346581332611845,-0.0002795678738997,0.0364008532643381,0.0828,0.009542022631722,0.0267176633688216,0.0129888785318668,84,47,5,5,0.0129354679563598,0.0218678332313215,True,0.02,False,False,exploratory,L5,0.11283185840707965
A,MIX6meanPC_vs_NAIVE@k2,mae_all,NAIVE_LINE_POOLED@doptk2,MIX6meanPC_POOLED@doptk2,0.0404291948739994,0.0210580678128102,0.0548894339871844,0.0213709148837403,0.0551389836052561,0.0,0.0086281311006671,0.0241587670818678,0.0407488607751748,84,61,5,5,0.0357395235987842,0.043293458914586,True,0.02,True,True,exploratory,L5,0.0
A,MIX6meanPC_vs_NAIVE@k3,mae_all,NAIVE_LINE_POOLED@doptk3,MIX6meanPC_POOLED@doptk3,0.0646881459176918,0.0491221036036314,0.078059093247456,0.0484670443290991,0.0775841852145508,0.0,0.0072740006663733,0.0203672018658455,0.0678960066868407,84,73,5,5,0.0623757171994054,0.0676406377354098,True,0.02,True,True,exploratory,L5,0.0
BP,MIX6meanPC_vs_POOLED@k1,mae_all,G14_POOLED@doptk1,MIX6meanPC_POOLED@doptk1,0.0001627729138326,-0.0028914175639263,0.0031667930797498,-0.0032442166262798,0.0028841337553977,0.8804,0.0015022129160984,0.0042061961650755,0.000391187637073,84,45,3,5,-0.0003217230974867,0.0009823323894268,False,0.02,False,False,registered,L5,0.9267368421052632
BP,MIX6meanPC_vs_POOLED@k2,mae_all,G14_POOLED@doptk2,MIX6meanPC_POOLED@doptk2,0.0035502336422701,0.0002051353271754,0.0062121684098509,-0.0003730399913555,0.0058835452455988,0.0402,0.0015045591635474,0.0042127656579327,0.0035370513672108,84,56,5,5,0.003128527544171,0.004452036531902,True,0.02,False,False,registered,L5,0.09890909090909092
BP,MIX6meanPC_vs_POOLED@k3,mae_all,G14_POOLED@doptk3,MIX6meanPC_POOLED@doptk3,0.0070419538906454,0.0044427102882722,0.01112008309628,0.0038793151352173,0.0102310754093764,0.0,0.0017464398094481,0.0048900314664548,0.0092854949933409,84,57,5,5,0.0064505270502531,0.0088861990560053,True,0.02,True,False,registered,L5,0.0
BP,MIX6meanPC_vs_NAIVE@k1,mae_all,NAIVE_LINE_POOLED@doptk1,MIX6meanPC_POOLED@doptk1,0.0070544173872982,-0.0087683975109569,0.023418283308449,-0.0079617056138258,0.0242624569065945,0.3542,0.0079703176779999,0.0223168894983998,0.0062384116301764,84,44,4,5,0.002951080433765,0.0093514141904332,True,0.02,False,False,exploratory,L5,0.4025
BP,MIX6meanPC_vs_NAIVE@k2,mae_all,NAIVE_LINE_POOLED@doptk2,MIX6meanPC_POOLED@doptk2,0.0265065892311243,0.0056536518041867,0.04210421585624,0.005688994265132,0.042118063814182,0.0168,0.0092884266759712,0.0260075946927193,0.024682808824668,84,55,5,5,0.0216548316162265,0.0293932843042892,True,0.02,True,True,exploratory,L5,0.03230769230769231
BP,MIX6meanPC_vs_NAIVE@k3,mae_all,NAIVE_LINE_POOLED@doptk3,MIX6meanPC_POOLED@doptk3,0.0653133636237147,0.050453243082081,0.0819239318943206,0.0507077863715403,0.0821342648116821,0.0,0.0077861907138231,0.0218013339987047,0.0723799906179803,84,74,5,5,0.0616888141723736,0.0680719116770086,True,0.02,True,True,exploratory,L5,0.0
