design,estimator,n_cov_keys,median_rows_per_cov,median_min_eig,worst_min_eig,frac_keys_indefinite,median_max_eig,median_trace,mean_frac_pairs_var_nonpositive,mean_frac_pairs_var_below_minus_noise
B,POOLED,430,512.0,-0.31671657759695765,-0.4075327219432646,1.0,2.1483622484715745,2.880060497378164,0.0,0.0
B,LW,430,512.0,-0.4907370027461613,-0.613066430511392,1.0,2.702557713411996,2.8800604973781647,0.007973421926910298,5.111167901865577e-05
B,LOWRANK2,430,512.0,0.02505807782088047,0.02099001377107582,0.0,2.7525060946662867,3.4507937978708614,0.0,0.0
B,LOWRANK3,430,512.0,0.018874845588183593,0.015739528142309164,0.0,2.7525060946662854,3.450793797870862,0.0,0.0
B,HIER,430,512.0,-0.09509884449191675,-0.1817051751392611,1.0,2.2331913036161923,3.4360407913989333,0.0,0.0
BR,POOLED,430,512.0,-0.29777983225667387,-0.39064385363896603,1.0,2.083167432294394,2.799231887422632,0.0,0.0
BR,LW,430,512.0,-0.46269872546550295,-0.5956006523538555,1.0,2.5765756037661287,2.7992318874226325,0.007794531050345003,0.0
BR,LOWRANK2,430,512.0,0.02495167351164141,0.020888406647346165,0.0,2.6711889260340715,3.3975026007627736,0.0,0.0
BR,LOWRANK3,430,512.0,0.01866813364661863,0.01562655887776295,0.0,2.6711889260340715,3.397502600762774,0.0,0.0
BR,HIER,430,512.0,-0.09940805783797574,-0.17901339894169685,1.0,2.4191410466045897,3.6372027703813545,0.0,0.0
BQ,POOLED,430,512.0,-0.30991398513381274,-0.3973318429229601,1.0,2.132407626658602,2.811523124288385,0.0,0.0
BQ,LW,430,512.0,-0.4818762683604251,-0.6023888956827627,1.0,2.670356930743888,2.811523124288385,0.007998977766419627,5.111167901865577e-05
BQ,LOWRANK2,430,512.0,0.024885855748221882,0.020886032456387864,0.0,2.742739827724616,3.4185274206959533,0.0,0.0
BQ,LOWRANK3,430,512.0,0.018797826849137837,0.015665016460709984,0.0,2.7427398277246153,3.4185274206959533,0.0,0.0
BQ,HIER,430,512.0,-0.09537845227939967,-0.18152471785163365,1.0,2.220620340715081,3.3780429552995663,0.0,0.0
A,POOLED,430,512.0,-0.3056323626719135,-0.37164622880356735,1.0,2.0507600931216667,2.708153110810885,0.0,0.0
A,LW,430,512.0,-0.4752141348493433,-0.5675892435605564,1.0,2.58493936710929,2.708153110810885,0.007666751852798364,0.0
A,LOWRANK2,430,512.0,0.025163874048128115,0.02165982438247309,0.0,2.64067286698754,3.27114648573376,0.0,0.0
A,LOWRANK3,430,512.0,0.01911428966299894,0.016428219065314928,0.0,2.64067286698754,3.2711464857337598,0.0,0.0
A,HIER,430,512.0,-0.08647090897432763,-0.1549894895148272,1.0,2.1716560243968033,3.3559236341319947,0.0,0.0
BP,POOLED,430,512.0,-0.3173115749946695,-0.4594458125675215,1.0,2.098754520770119,2.909520912519892,0.0,0.0
BP,LW,430,512.0,-0.48638394654221767,-0.7007106295386085,1.0,2.660190131854256,2.9095209125198913,0.007845642729363658,5.111167901865577e-05
BP,LOWRANK2,430,512.0,0.027751739046671813,0.021275788637323635,0.0,2.7018384075001083,3.3495664343253804,0.0,0.0
BP,LOWRANK3,430,512.0,0.02106447497019385,0.015831871535128092,0.0,2.7018384075001087,3.3495664343253804,0.0,0.0
BP,HIER,430,512.0,-0.09835315113139811,-0.14796434201352743,1.0,2.4242646318801504,3.5542820546165466,0.0,0.0
