design,seed,fold,block,gamma,alpha,lopo_mae
BP,104729,4,COND_MA,100.0,1000.0,0.3228701785241031
BP,104729,4,COND_MA,1000.0,1000.0,0.5714774278759408
BP,104729,4,TOPO39,0.0,30.0,0.29231279805512517
BP,104729,4,TOPO39,0.1,30.0,0.29271844923651097
BP,104729,4,TOPO39,0.25,30.0,0.29320550125733746
BP,104729,4,TOPO39,0.5,10.0,0.29328102981206516
BP,104729,4,TOPO39,1.0,10.0,0.28956611422216955
BP,104729,4,TOPO39,2.0,10.0,0.28299405549953993
BP,104729,4,TOPO39,5.0,30.0,0.2884213092261925
BP,104729,4,TOPO39,20.0,100.0,0.2899492680972884
BP,104729,4,TOPO39,100.0,300.0,0.2890004339987814
BP,104729,4,TOPO39,1000.0,1000.0,0.33643411566286074
BP,130363,0,COND_MA,0.0,1000.0,0.3775773400631583
BP,130363,0,COND_MA,0.1,0.3,0.3758144487461981
BP,130363,0,COND_MA,0.25,0.3,0.36329145009720315
BP,130363,0,COND_MA,0.5,1.0,0.35677756912408237
BP,130363,0,COND_MA,1.0,1.0,0.3574070341265454
BP,130363,0,COND_MA,2.0,3.0,0.35402904408960556
BP,130363,0,COND_MA,5.0,10.0,0.3528817065394786
BP,130363,0,COND_MA,20.0,30.0,0.3550658398152914
BP,130363,0,COND_MA,100.0,300.0,0.35830170999274374
BP,130363,0,COND_MA,1000.0,1000.0,0.35869560790922983
BP,130363,0,TOPO39,0.0,30.0,0.371501250971193
BP,130363,0,TOPO39,0.1,0.001,0.36257184429631906
BP,130363,0,TOPO39,0.25,30.0,0.3729456455246627
BP,130363,0,TOPO39,0.5,30.0,0.3739617055694149
BP,130363,0,TOPO39,1.0,30.0,0.3751629965506707
BP,130363,0,TOPO39,2.0,30.0,0.3758358173670946
BP,130363,0,TOPO39,5.0,30.0,0.374458990195051
BP,130363,0,TOPO39,20.0,100.0,0.3765109598731128
BP,130363,0,TOPO39,100.0,1000.0,0.3792063734556648
BP,130363,0,TOPO39,1000.0,1000.0,0.39176095684117634
BP,130363,1,COND_MA,0.0,1.0,0.3137378428254994
BP,130363,1,COND_MA,0.1,1000.0,0.3178684303445902
BP,130363,1,COND_MA,0.25,1000.0,0.31789388483743514
BP,130363,1,COND_MA,0.5,1000.0,0.317936252351501
BP,130363,1,COND_MA,1.0,1000.0,0.318020775646899
BP,130363,1,COND_MA,2.0,1000.0,0.3181889804795303
BP,130363,1,COND_MA,5.0,1000.0,0.3186903399634044
BP,130363,1,COND_MA,20.0,1000.0,0.3210626104992471
BP,130363,1,COND_MA,100.0,1000.0,0.33088149086629076
BP,130363,1,COND_MA,1000.0,1000.0,0.3843157358114066
BP,130363,1,TOPO39,0.0,0.1,0.31374762504190506
BP,130363,1,TOPO39,0.1,1000.0,0.3178920760253605
BP,130363,1,TOPO39,0.25,1000.0,0.3179036061814025
BP,130363,1,TOPO39,0.5,1000.0,0.3179225767936015
BP,130363,1,TOPO39,1.0,1000.0,0.31795960678195173
BP,130363,1,TOPO39,2.0,1000.0,0.3180301161293983
BP,130363,1,TOPO39,5.0,1000.0,0.3182153416903378
BP,130363,1,TOPO39,20.0,1000.0,0.31868222779605615
BP,130363,1,TOPO39,100.0,300.0,0.32208034031406063
BP,130363,1,TOPO39,1000.0,1000.0,0.3426050082617908
BP,130363,2,COND_MA,0.0,1000.0,0.31496849953425465
BP,130363,2,COND_MA,0.1,1000.0,0.31498651439320086
BP,130363,2,COND_MA,0.25,1000.0,0.3150135203954079
BP,130363,2,COND_MA,0.5,1000.0,0.3150584870448943
BP,130363,2,COND_MA,1.0,1000.0,0.31514825827460097
BP,130363,2,COND_MA,2.0,1000.0,0.3153271563850988
BP,130363,2,COND_MA,5.0,1000.0,0.31586024869534735
BP,130363,2,COND_MA,20.0,1000.0,0.3184289464189008
BP,130363,2,COND_MA,100.0,1000.0,0.329982329562639
BP,130363,2,COND_MA,1000.0,1000.0,0.38757486282749953
BP,130363,2,TOPO39,0.0,3.0,0.31253290029939895
BP,130363,2,TOPO39,0.1,0.001,0.26442041856913906
BP,130363,2,TOPO39,0.25,0.001,0.2603562389515091
BP,130363,2,TOPO39,0.5,0.001,0.25854523012195346
BP,130363,2,TOPO39,1.0,0.001,0.2585020737668081
BP,130363,2,TOPO39,2.0,0.003,0.25904106160245643
BP,130363,2,TOPO39,5.0,0.003,0.26063680758307206
BP,130363,2,TOPO39,20.0,0.01,0.2637472204874998
BP,130363,2,TOPO39,100.0,0.1,0.2638393793752789
BP,130363,2,TOPO39,1000.0,1.0,0.26363662316572317
BP,130363,3,COND_MA,0.0,1.0,0.3167067139588715
BP,130363,3,COND_MA,0.1,1000.0,0.32225260773126224
BP,130363,3,COND_MA,0.25,1000.0,0.32229809523918523
BP,130363,3,COND_MA,0.5,1000.0,0.3223738300868209
BP,130363,3,COND_MA,1.0,1000.0,0.3225250093692573
BP,130363,3,COND_MA,2.0,1000.0,0.32282621271863704
BP,130363,3,COND_MA,5.0,1000.0,0.3237207112449172
BP,130363,3,COND_MA,20.0,1000.0,0.3279997683148577
BP,130363,3,COND_MA,100.0,1000.0,0.34787162410310757
BP,130363,3,COND_MA,1000.0,1000.0,0.46072978211120064
BP,130363,3,TOPO39,0.0,10.0,0.30500075518393754
BP,130363,3,TOPO39,0.1,0.03,0.2979703584144044
BP,130363,3,TOPO39,0.25,0.3,0.28001282735522
BP,130363,3,TOPO39,0.5,0.3,0.27218988637279007
BP,130363,3,TOPO39,1.0,1.0,0.25307294732350816
BP,130363,3,TOPO39,2.0,3.0,0.2488678528641122
BP,130363,3,TOPO39,5.0,10.0,0.25655846955501777
BP,130363,3,TOPO39,20.0,30.0,0.24901890868263857
BP,130363,3,TOPO39,100.0,100.0,0.2517261751962757
BP,130363,3,TOPO39,1000.0,1000.0,0.25201065179182675
BP,130363,4,COND_MA,0.0,1.0,0.27882230245209483
BP,130363,4,COND_MA,0.1,1000.0,0.2859501698088272
BP,130363,4,COND_MA,0.25,1000.0,0.28598532513265335
BP,130363,4,COND_MA,0.5,1000.0,0.2860438478634274
BP,130363,4,COND_MA,1.0,1000.0,0.28616063355299226
BP,130363,4,COND_MA,2.0,1000.0,0.28639317172820533
BP,130363,4,COND_MA,5.0,1000.0,0.287082639695549
BP,130363,4,COND_MA,20.0,1000.0,0.29035870164080446
BP,130363,4,COND_MA,100.0,1000.0,0.3041323138053211
BP,130363,4,COND_MA,1000.0,1000.0,0.35246036988150536
BP,130363,4,TOPO39,0.0,10.0,0.2834117207154878
BP,130363,4,TOPO39,0.1,30.0,0.2853789749589428
BP,130363,4,TOPO39,0.25,1000.0,0.28596253103279495
BP,130363,4,TOPO39,0.5,1000.0,0.28604097905970494
BP,130363,4,TOPO39,1.0,1000.0,0.28619652030528153
BP,130363,4,TOPO39,2.0,1000.0,0.28650229412151834
BP,130363,4,TOPO39,5.0,1000.0,0.2873793640964069
BP,130363,4,TOPO39,20.0,1000.0,0.29102247451436536
BP,130363,4,TOPO39,100.0,1000.0,0.3043167583858438
BP,130363,4,TOPO39,1000.0,1000.0,0.3238808817809952
BP,155921,0,COND_MA,0.0,3.0,0.3502273701629864
BP,155921,0,COND_MA,0.1,1000.0,0.35055180274428954
BP,155921,0,COND_MA,0.25,1000.0,0.35056428312801763
BP,155921,0,COND_MA,0.5,1000.0,0.35058503979515315
BP,155921,0,COND_MA,1.0,1000.0,0.3506263889122479
BP,155921,0,COND_MA,2.0,1000.0,0.35070843551597664
BP,155921,0,COND_MA,5.0,1000.0,0.3509494677421843
BP,155921,0,COND_MA,20.0,1000.0,0.3520554653619791
BP,155921,0,COND_MA,100.0,1000.0,0.35608707478042145
BP,155921,0,COND_MA,1000.0,1000.0,0.38620191708389623
BP,155921,0,TOPO39,0.0,30.0,0.3494576365588951
BP,155921,0,TOPO39,0.1,0.3,0.3397937266838792
BP,155921,0,TOPO39,0.25,0.3,0.3418885833665418
BP,155921,0,TOPO39,0.5,1.0,0.3366325459610382
BP,155921,0,TOPO39,1.0,1.0,0.3403903725743057
BP,155921,0,TOPO39,2.0,3.0,0.3399059322042416
BP,155921,0,TOPO39,5.0,10.0,0.34911653244788
BP,155921,0,TOPO39,20.0,30.0,0.3522461771203368
BP,155921,0,TOPO39,100.0,100.0,0.35175614854907816
BP,155921,0,TOPO39,1000.0,1000.0,0.35227153915964965
BP,155921,1,COND_MA,0.0,0.1,0.32614722258195694
BP,155921,1,COND_MA,0.1,1000.0,0.32902602965234345
BP,155921,1,COND_MA,0.25,1000.0,0.32907506959588484
BP,155921,1,COND_MA,0.5,1000.0,0.32915672490878944
BP,155921,1,COND_MA,1.0,1000.0,0.329319744057384
BP,155921,1,COND_MA,2.0,1000.0,0.32964462221656
BP,155921,1,COND_MA,5.0,1000.0,0.3306100925115092
BP,155921,1,COND_MA,20.0,1000.0,0.3352494862702915
BP,155921,1,COND_MA,100.0,1000.0,0.35575681618619054
BP,155921,1,COND_MA,1000.0,1000.0,0.44180895892606314
BP,155921,1,TOPO39,0.0,3.0,0.30546360912410364
BP,155921,1,TOPO39,0.1,1.0,0.2913519564150169
BP,155921,1,TOPO39,0.25,3.0,0.2852829608339022
BP,155921,1,TOPO39,0.5,3.0,0.28063871911138155
BP,155921,1,TOPO39,1.0,3.0,0.2806661189642003
BP,155921,1,TOPO39,2.0,10.0,0.27865178975390814
