design,seed,fold,block,gamma,alpha,lopo_mae
BP,262147,2,COND_MA,0.0,1.0,0.23170692490510914
BP,262147,2,COND_MA,0.1,10.0,0.2369003139168506
BP,262147,2,COND_MA,0.25,1000.0,0.23704590872655365
BP,262147,2,COND_MA,0.5,1000.0,0.23707896848486784
BP,262147,2,COND_MA,1.0,1000.0,0.23714496351020964
BP,262147,2,COND_MA,2.0,1000.0,0.2372764595060189
BP,262147,2,COND_MA,5.0,1000.0,0.2376670736214594
BP,262147,2,COND_MA,20.0,1000.0,0.23953978019513467
BP,262147,2,COND_MA,100.0,1000.0,0.24792396011950107
BP,262147,2,COND_MA,1000.0,1000.0,0.3004644840183421
BP,262147,2,TOPO39,0.0,30.0,0.23009156319499413
BP,262147,2,TOPO39,0.1,10.0,0.23050921988566245
BP,262147,2,TOPO39,0.25,30.0,0.23130588249395048
BP,262147,2,TOPO39,0.5,30.0,0.23249170734965988
BP,262147,2,TOPO39,1.0,100.0,0.23549379583563124
BP,262147,2,TOPO39,2.0,300.0,0.23667828965182944
BP,262147,2,TOPO39,5.0,1000.0,0.23710835149297563
BP,262147,2,TOPO39,20.0,1000.0,0.23853410108537773
BP,262147,2,TOPO39,100.0,0.003,0.24936282440875046
BP,262147,2,TOPO39,1000.0,0.01,0.25205778211880536
BP,262147,3,COND_MA,0.0,0.3,0.41495743235253296
BP,262147,3,COND_MA,0.1,1000.0,0.42364380421775993
BP,262147,3,COND_MA,0.25,1000.0,0.4236814983311657
BP,262147,3,COND_MA,0.5,1000.0,0.42374425772892504
BP,262147,3,COND_MA,1.0,1000.0,0.42386953672978334
BP,262147,3,COND_MA,2.0,1000.0,0.4241191407487299
BP,262147,3,COND_MA,5.0,1000.0,0.4248604260681639
BP,262147,3,COND_MA,20.0,1000.0,0.42840684900048004
BP,262147,3,COND_MA,100.0,1000.0,0.4438538502825833
BP,262147,3,COND_MA,1000.0,1000.0,0.5098785962018375
BP,262147,3,TOPO39,0.0,1000.0,0.4236879161903156
BP,262147,3,TOPO39,0.1,1000.0,0.42375891883446376
BP,262147,3,TOPO39,0.25,0.01,0.4151636867133445
BP,262147,3,TOPO39,0.5,0.01,0.40607108677266995
BP,262147,3,TOPO39,1.0,0.01,0.400943492028024
BP,262147,3,TOPO39,2.0,0.03,0.40079197683345585
BP,262147,3,TOPO39,5.0,0.03,0.4069800469041677
BP,262147,3,TOPO39,20.0,1000.0,0.43531267878686153
BP,262147,3,TOPO39,100.0,30.0,0.45319277714170597
BP,262147,3,TOPO39,1000.0,300.0,0.4534146284479627
BP,262147,4,COND_MA,0.0,1000.0,0.36476477866353624
BP,262147,4,COND_MA,0.1,0.01,0.2935868876677425
BP,262147,4,COND_MA,0.25,0.03,0.3008879506731164
BP,262147,4,COND_MA,0.5,0.1,0.30571970085114486
BP,262147,4,COND_MA,1.0,0.3,0.31605373451259633
BP,262147,4,COND_MA,2.0,0.3,0.3228785781917827
BP,262147,4,COND_MA,5.0,1.0,0.3309808274986503
BP,262147,4,COND_MA,20.0,10.0,0.34033445148180835
BP,262147,4,COND_MA,100.0,30.0,0.3394480970000064
BP,262147,4,COND_MA,1000.0,300.0,0.34002719748814264
BP,262147,4,TOPO39,0.0,1000.0,0.3647588028020488
BP,262147,4,TOPO39,0.1,0.001,0.3562633497545733
BP,262147,4,TOPO39,0.25,0.001,0.35756226781517503
BP,262147,4,TOPO39,0.5,1000.0,0.3649586674320118
BP,262147,4,TOPO39,1.0,1000.0,0.3651548078718391
BP,262147,4,TOPO39,2.0,1000.0,0.36553627809312556
BP,262147,4,TOPO39,5.0,1000.0,0.36660412387862945
BP,262147,4,TOPO39,20.0,1000.0,0.3706037681456694
BP,262147,4,TOPO39,100.0,1000.0,0.3784706227988836
BP,262147,4,TOPO39,1000.0,100.0,0.38924476958570486
