family,column,mismatching_cells,rows,diagnosis
MASSACTION (cell level),massact__logL_x_DENTATE,33,5248,"33 of 5248 cells differ; distinct (got, want) pairs: (-0.309804, -0.464706); (-6, -8); (-7.80618, -10.4082)"
MASSACTION (cell level),massact__logL_x_coreCN,29,5248,"29 of 5248 cells differ; distinct (got, want) pairs: (-17.2392, -19.3941); (-20.7093, -18.4082); (-18, -16)"
