arm,macro_mae,shape_mae,curve_shape_mae,curve_spearman,curve_sign_accuracy,n_features,n_seeds
STRUCTURED,1.2400737772902175,0.553178423494455,0.3335091507469059,0.33022809975282513,0.6498981299415933,3,3
LIGAND_RBF,1.2418916655644294,0.5463926623355154,0.336065151899032,0.32795110543142514,0.6557565372722362,117,3
SHARED_RBF,1.2370152187657926,0.5528991520210239,0.33949653057779244,0.33295036577976234,0.6499519744756683,13,3
ONEHOT,1.24391344497901,0.5561614642292546,0.36804520466150176,0.27879698092517197,0.6216844959410447,14,3
