adapter,policy,k,mae,n_ligands
K3_lam1,CENTRAL_THEN_SPREAD,5,0.4667298807311085,99
K3_lam1,CENTRAL_THEN_SPREAD,3,0.4710399358386681,140
K3_lam0p25,CENTRAL_THEN_SPREAD,5,0.4809295915047369,99
K3_lam0p25,CENTRAL_THEN_SPREAD,3,0.4882766952206339,140
K3_lam4,CENTRAL_THEN_SPREAD,5,0.4903840661580898,99
K3_lam1,RANDOM,5,0.4907818794050593,99
K3_lam4,CENTRAL_THEN_SPREAD,3,0.501936814710037,140
K3_lam1,RANDOM,3,0.5057504572828417,140
K3_lam4,RANDOM,5,0.5135614760035455,99
K3_lam0p25,RANDOM,3,0.5168479126249936,140
K3_lam0p25,RANDOM,5,0.518818103778201,99
K3_lam1,CENTRAL_THEN_SPREAD,2,0.5245940070179442,143
K3_lam0p25,CENTRAL_THEN_SPREAD,2,0.532857161407888,143
K3_lam4,RANDOM,3,0.540822440086064,140
K2_lam1,CENTRAL_THEN_SPREAD,5,0.5458973237493967,99
K2_lam0p25,CENTRAL_THEN_SPREAD,5,0.547411087770759,99
K2_lam1,RANDOM,5,0.5524002287156304,99
K2_lam1,CENTRAL_THEN_SPREAD,3,0.5550487099114056,140
K2_lam0,CENTRAL_THEN_SPREAD,5,0.5556500251042682,99
K3_lam16,CENTRAL_THEN_SPREAD,5,0.5569934664353638,99
K3_lam4,CENTRAL_THEN_SPREAD,2,0.5578818260760579,143
K3_lam16,CENTRAL_THEN_SPREAD,3,0.5584612329029444,140
K2_lam4,CENTRAL_THEN_SPREAD,5,0.560738646247599,99
K2_lam0p25,RANDOM,5,0.5622309592981966,99
K2_lam0p25,CENTRAL_THEN_SPREAD,3,0.5634264375012666,140
K2_lam4,RANDOM,5,0.5652111413858665,99
K2_lam4,CENTRAL_THEN_SPREAD,3,0.5664129882989561,140
K3_lam1,RANDOM,2,0.5713598086824698,143
K2_lam1,RANDOM,3,0.5718830860838513,140
K3_lam16,RANDOM,5,0.5720223119848523,99
K3_lam0p25,RANDOM,2,0.5748989647343609,143
K2_lam1,CENTRAL_THEN_SPREAD,2,0.5792199320748411,143
K2_lam0,RANDOM,5,0.5841325700618123,99
K3_lam16,RANDOM,3,0.5848497844968041,140
K2_lam4,RANDOM,3,0.5852521399199587,140
K2_lam0p25,RANDOM,3,0.5865534901640087,140
