seed,arm,macro_mae,shape_mae,curve_shape_mae,curve_spearman,curve_sign_accuracy,n_curves,seconds,n_features
104729,ONEHOT,1.304235747612804,0.5543574696215559,0.40584629738838424,0.1345350632823776,0.5563933633588231,384,122.15145802497864,14
104729,STRUCTURED,1.2958732723508262,0.5353310506232442,0.3590579752658775,0.16935428682181386,0.5794572754484707,384,118.91521096229553,3
104729,SHARED_RBF,1.2971496452947786,0.5390734575045678,0.36986852942391346,0.16061315097135548,0.5739431589125991,384,130.01883101463318,13
104729,LIGAND_RBF,1.2688366952495906,0.5232587498439941,0.3606473918847359,0.22290548613561492,0.609185757315469,384,144.99521780014038,117
130363,ONEHOT,1.1769098727648497,0.546773006254179,0.30955036562918686,0.5234520190310615,0.7322569920109977,384,125.74909496307373,14
130363,STRUCTURED,1.1464758619496547,0.5479131922588277,0.28603718326762956,0.5079759890474312,0.7340525124860352,384,122.79743003845215,3
130363,SHARED_RBF,1.153221243011685,0.5507467445188505,0.2860432938136038,0.528935594878197,0.743074891275699,384,126.19838309288025,13
130363,LIGAND_RBF,1.1685540100368839,0.545610325437709,0.30014512356098627,0.46324271435206504,0.7194312834033999,384,152.52531576156616,117
155921,ONEHOT,1.250594714559376,0.5673539168120288,0.38873895096693417,0.17840386046207662,0.5764031324533133,384,121.05644416809082,14
155921,STRUCTURED,1.2778721975701715,0.5762910276012932,0.35543229370721074,0.3133540233892303,0.636184601890274,384,117.83476209640503,3
155921,SHARED_RBF,1.260674767990914,0.5688772540396534,0.36257776849586015,0.3093023514897345,0.6328378732387069,384,121.31135416030884,13
155921,LIGAND_RBF,1.288284291406814,0.570308911724843,0.34740294025137386,0.2977051158065955,0.6386525710978395,384,141.46850991249084,117
