dec,design,n,mean_s,mae_gp,mae_g14,delta
0,B,145,0.3449046518261728,0.29115130425495483,0.37519730643952076,-0.08404600218456593
1,B,144,0.477632408486419,0.33795923312620024,0.31301974930060394,0.024939483825596298
2,B,145,0.5704292082229363,0.23038045700975548,0.2451783577517568,-0.014797900742001324
3,B,144,0.6343852437699709,0.28525046505520707,0.28561607480031426,-0.00036560974510718713
4,B,145,0.6552641074567611,0.22444196566561797,0.2538241825884684,-0.029382216922850424
5,B,144,0.6666666666666666,0.3200214587355207,0.26934950269145125,0.05067195604406943
6,B,144,0.6666666666666666,0.30803973548152686,0.2876239778343465,0.020415757647180344
7,B,145,0.6666666666666666,0.28302990036344655,0.25912038552776506,0.02390951483568149
8,B,144,0.6730087868480726,0.3178675592093295,0.33280265102201795,-0.014935091812688428
9,B,145,0.6797176716182329,0.3235222923887104,0.3722123561190148,-0.048690063730304434
0,BR,145,0.33561201919676975,0.2909327439142245,0.3784693160250153,-0.0875365721107908
1,BR,144,0.46482428796643166,0.2863946336401884,0.28465786300861057,0.0017367706315778442
2,BR,145,0.5471437000714955,0.229115242141905,0.2416249578620942,-0.01250971572018919
3,BR,144,0.6280334555935998,0.2987344704053898,0.28789526898188683,0.010839201423502975
4,BR,145,0.6536921661546848,0.22978148379293278,0.2678894974371697,-0.03810801364423694
5,BR,144,0.6655618686868686,0.3272990330756832,0.2839202183641667,0.0433788147115165
6,BR,144,0.6666666666666666,0.2786248452917188,0.27499829633162826,0.00362654896009057
7,BR,145,0.6666666666666666,0.27263259565501735,0.28111658439172704,-0.008483988736709691
8,BR,144,0.6710128495842782,0.2930232957922632,0.2964114138243859,-0.003388118032122689
9,BR,145,0.6795859268593832,0.37113325078593196,0.39467653286040655,-0.023543282074474592
0,BQ,145,0.3428950117885628,0.3128668631628552,0.3842156052117365,-0.07134874204888125
1,BQ,144,0.47609944088455514,0.2830096307628762,0.273542283879373,0.009467346883503203
2,BQ,145,0.5463452161679816,0.2908177987481055,0.3091065310990954,-0.018288732350989934
3,BQ,144,0.5833531681184039,0.3376194206175782,0.2911326611372046,0.04648675948037362
4,BQ,145,0.6219722914175062,0.28014413819917033,0.29024881993239254,-0.01010468173322221
5,BQ,144,0.6485517775840357,0.2959636129579467,0.26082617331923186,0.03513743963871485
6,BQ,144,0.6506822039430735,0.27883173477888046,0.3070481939352366,-0.028216459156356122
7,BQ,145,0.6610612089060365,0.2712700017258969,0.23952575701771495,0.031744244708181935
8,BQ,144,0.6666666666666666,0.2870097290710307,0.2878479922097967,-0.0008382631387660044
9,BQ,145,0.6793658067343483,0.2705703875912805,0.3223004878866316,-0.051730100295351134
0,A,145,0.37736372349665787,0.31454148878109917,0.33431754886833703,-0.019776060087237868
1,A,144,0.5665163370457166,0.18861660630472132,0.2237541624490978,-0.03513755614437647
2,A,145,0.6749820043598349,0.23576719115620198,0.2926059712134917,-0.056838780057289706
3,A,144,0.7500965219774518,0.22693901891684204,0.34666299497036457,-0.11972397605352253
4,A,145,0.8277883626892103,0.2727470416841484,0.29803274711467953,-0.025285705430531158
5,A,144,0.9035699402078712,0.3594140348337951,0.39151178336152925,-0.03209774852773417
6,A,144,1.0,0.2879171644039803,0.2732563928940265,0.014660771509953818
7,A,145,1.0,0.2868265391426489,0.27650711812741285,0.01031942101523603
8,A,144,1.0,0.2834530817066346,0.276341969098046,0.007111112608588599
9,A,145,1.0,0.28920518111132243,0.27733821885677024,0.011866962254552194
0,BP,145,0.2852548200457043,0.3013695600428338,0.3338247962797096,-0.03245523623687585
1,BP,144,0.4086297408483657,0.3311226673731962,0.37232024418260506,-0.04119757680940889
2,BP,145,0.46229117425954624,0.2590806723088097,0.26207493266386095,-0.002994260355051237
3,BP,144,0.5228010083712763,0.2156432126994737,0.22511936884367614,-0.009476156144202441
4,BP,145,0.6074168121676975,0.29214363029429713,0.2905804020553609,0.0015632282389362318
5,BP,144,0.6550588929449006,0.26714855511587854,0.27618088110150657,-0.009032325985628031
6,BP,144,0.6666666666666666,0.26342340073191306,0.2798882150557406,-0.016464814323827515
7,BP,145,0.6666666666666666,0.25357185215545597,0.2725865001900431,-0.019014648034587134
8,BP,144,0.6673989040060468,0.27146742279396807,0.27965376804117825,-0.00818634524721018
9,BP,145,0.6787031733302784,0.42620468586770555,0.4276650073360666,-0.0014603214683610588
