design,n,q5,q25,q50,q75,q95,frac_below_0p4,frac_at_1
B,1445,0.3584905660377358,0.56,0.6666666666666666,0.6666666666666666,0.6785714285714286,0.10380622837370242,0.0
BR,1445,0.3584905660377358,0.5365853658536586,0.6590909090909091,0.6666666666666666,0.6785714285714286,0.10588235294117647,0.0
BQ,1445,0.3584905660377358,0.55,0.6451612903225806,0.6590909090909091,0.6785714285714286,0.10380622837370242,0.0
A,1445,0.3953488372093023,0.6785714285714286,0.8620689655172413,1.0,1.0,0.05951557093425606,0.4249134948096886
BP,1445,0.3137254901960784,0.4571428571428571,0.6296296296296297,0.6666666666666666,0.6785714285714286,0.15294117647058825,0.0
