stratum,n_pairs,spearman_tan_vs_dmag,mean_same_sign_hi_tan,mean_same_sign_lo_tan
all extractant pairs,3321,0.012045625642109049,0.6160188457008245,0.5042630937880633
same chemotype,293,-0.11417875297659193,0.8243243243243243,0.7671232876712328
different chemotype (the deployed regime),3028,-0.010008228793106665,0.5052219321148825,0.5013297872340425
share a publication,225,-0.04949442722782793,0.8421052631578947,0.8392857142857143
share no publication,3096,0.03324536217160744,0.5430038510911425,0.5084306095979247
diff chemotype AND no shared publication,2920,0.005473895722149403,0.4643835616438356,0.4917808219178082
"matched n_metals (|dn| <= 1), diff chemotype",1107,-0.1066437344058973,0.555956678700361,0.5875912408759124
