design,n,kernel_weight_same_pub,top5_cells_same_pub,frac_pub_in_train,frac_chem_in_train
B,1445,0.032888283659152764,0.10975778546712803,0.386159169550173,0.0
BR,1445,0.032718436615130894,0.10892733564013841,0.35778546712802767,0.0
BQ,1445,0.035127895855112855,0.125121107266436,0.386159169550173,0.0
A,1445,0.03660033294489474,0.13951557093425604,0.47612456747404847,0.7252595155709343
BP,1445,0.0,0.0,0.0,0.0
