arm,macro_mae,sign_acc,cell_spearman,cell_top1,cross_spearman,cross_top1,cross_regret,calib_slope,rep,design
G14_PERM,0.6734497312077484,0.48104226645484277,0.04106186196496185,0.3144863106470249,-0.036681143555020834,0.011580046937189793,1.8180232720397769,-0.042192880321445594,0,A
G13_PERM,0.5341457176673042,0.7041983766528951,0.3746496459110403,0.3130736822701109,0.3317539250581162,0.002197802197802198,1.4654998590642294,0.7919825881360169,0,A
FLAT_PERM,0.5885062528901843,0.5,0.0,0.03925248690483951,0.0,0.01707631775900001,1.7832561353232588,,0,A
MEAN_CURVE_PERM,0.5831886108961208,0.6085874695569309,0.28926376268141074,0.13790772058629203,-0.05597069060505625,0.012051996968771373,1.869276558066413,1.0736584649083827,0,A
O_BOTH_PERM,0.18111057110671816,0.9721828318299754,0.766666955960425,0.3570685101935102,0.884080831647973,0.5274725274725275,0.202840911063111,1.0905575675573125,0,A
G14_PERM,0.6930377754429128,0.438945285162636,-0.012707201834136993,0.3034909402766546,-0.008311728174416682,0.010138286621803105,1.8074959983552106,-0.0714520924149877,1,A
G13_PERM,0.5452080777046009,0.6770212302969691,0.3333961022568469,0.27668772695558413,0.3159136239194515,0.006593406593406593,1.5974723722882445,0.7205943655416769,1,A
G14_PERM,0.6930377754429128,0.438945285162636,-0.012707201834136993,0.3034909402766546,-0.008311728174416682,0.010138286621803105,1.8074959983552106,-0.0714520924149877,1,A
G13_PERM,0.5452080777046009,0.6770212302969691,0.3333961022568469,0.27668772695558413,0.3159136239194515,0.006593406593406593,1.5974723722882445,0.7205943655416769,1,A
G14_PERM,0.6835316934610838,0.4537019757272902,0.005002500288448439,0.31593141646713074,0.019846479114552434,0.023080887366601653,1.7869309047611934,0.07580210543435388,2,A
G13_PERM,0.54586816454127,0.6629570898198468,0.31571316693713813,0.31079293391793394,0.31974253611775344,0.01868131868131868,1.310279712548928,0.7386430244508899,2,A
G14_PERM,0.6835316934610838,0.4537019757272902,0.005002500288448439,0.31593141646713074,0.019846479114552434,0.023080887366601653,1.7869309047611934,0.07580210543435388,2,A
G13_PERM,0.54586816454127,0.6629570898198468,0.31571316693713813,0.31079293391793394,0.31974253611775344,0.01868131868131868,1.310279712548928,0.7386430244508899,2,A
G14_PERM,0.7079153619772344,0.40966244740811886,-0.057418385511619485,0.30867921760778905,-0.026263781513853106,0.025778360833305886,1.7055084837373697,-0.1503912897625475,3,A
