model,failure_class,n_ligands,macro_mae,mean_mae,span_recovery,slope_abs_error,shape_mae
GEN10_LEVEL_SHAPE,ALREADY_GOOD,82,0.5529767794073971,0.556200267743383,0.5800057214312396,1.1751524204417363,0.30224504720005435
GEN10_LEVEL_SHAPE,PARTIAL_LEVEL,7,1.4602154308940534,1.4602154308940531,0.2688585681860764,1.1127105267036463,0.4230742404150122
GEN10_LEVEL_SHAPE,PURE_LEVEL,25,1.9148166400326447,1.954757041584776,0.6715676424341643,1.0006654787061664,0.3108225898060254
GEN10_LEVEL_SHAPE,RESIDUAL_SHAPE,29,1.3092688947054327,1.2976505257260713,0.5033667284109542,1.6746705512760953,0.6163286845399013
GEN10_RESIDUAL_SHAPE,ALREADY_GOOD,82,0.5707117973493916,0.573801991592603,0.44235276536139356,1.3208667375137533,0.3165027986921295
GEN10_RESIDUAL_SHAPE,PARTIAL_LEVEL,7,1.4399825014112644,1.439982501411264,0.17094663882238315,1.4686303274851196,0.5308651016894347
GEN10_RESIDUAL_SHAPE,PURE_LEVEL,25,1.8823763418808814,1.9141942341662352,0.5395140321402825,1.3823013817413194,0.40446424799491953
GEN10_RESIDUAL_SHAPE,RESIDUAL_SHAPE,29,1.284525692083098,1.2742797582129055,0.3515221779131733,1.5742581759210164,0.5956253781191858
GEN10_RESIDUAL_SHAPE_INSAMPLE,ALREADY_GOOD,82,0.5429651284263864,0.5481215649544493,0.19702858869235002,1.8925648551666574,0.4163053235053913
GEN10_RESIDUAL_SHAPE_INSAMPLE,PARTIAL_LEVEL,7,1.4473102955650212,1.4473102955650212,0.09990336477123953,1.7603716921034995,0.6204888920916446
GEN10_RESIDUAL_SHAPE_INSAMPLE,PURE_LEVEL,25,1.8800361717692213,1.9121348844679746,0.21592641203395113,1.7483496743119726,0.46713753502254496
GEN10_RESIDUAL_SHAPE_INSAMPLE,RESIDUAL_SHAPE,29,1.334825932572603,1.3249532883716335,0.15287604949558692,2.1075813237953205,0.7167125260932742
