design,split_seed,fold,budget,n_train_cells,n_rich_train_cells,flat_fallback
B,104729,0,6,55,55,0
B,104729,0,9,67,61,0
B,104729,0,12,73,67,0
B,104729,0,16,79,73,0
B,104729,0,20,83,77,0
B,104729,0,24,87,81,0
B,104729,1,6,442,226,0
B,104729,1,9,456,239,0
B,104729,1,12,468,246,0
B,104729,1,16,475,252,0
B,104729,1,20,479,256,0
B,104729,1,24,483,260,0
B,104729,2,6,442,226,0
B,104729,2,9,456,239,0
B,104729,2,12,463,246,0
B,104729,2,16,470,253,0
B,104729,2,20,474,257,0
B,104729,2,24,478,261,0
B,104729,3,6,442,226,0
B,104729,3,9,462,245,0
B,104729,3,12,474,254,0
B,104729,3,16,485,262,0
B,104729,3,20,491,268,0
B,104729,3,24,495,272,0
B,104729,4,6,430,213,0
B,104729,4,9,443,221,0
B,104729,4,12,450,227,0
B,104729,4,16,457,234,0
B,104729,4,20,461,238,0
B,104729,4,24,465,242,0
B,130363,0,6,442,226,0
B,130363,0,9,460,244,0
B,130363,0,12,469,250,0
B,130363,0,16,475,256,0
B,130363,0,20,479,260,0
B,130363,0,24,483,264,0
B,130363,1,6,418,207,0
B,130363,1,9,429,214,0
B,130363,1,12,435,220,0
B,130363,1,16,441,226,0
B,130363,1,20,445,230,0
B,130363,1,24,449,234,0
B,130363,2,6,436,219,0
B,130363,2,9,447,230,0
B,130363,2,12,459,236,0
B,130363,2,16,467,244,0
B,130363,2,20,471,248,0
B,130363,2,24,475,252,0
B,130363,3,6,72,65,0
B,130363,3,9,83,76,0
B,130363,3,12,95,82,0
B,130363,3,16,103,90,0
B,130363,3,20,107,94,0
B,130363,3,24,111,98,0
B,130363,4,6,442,226,0
B,130363,4,9,462,245,0
B,130363,4,12,474,252,0
B,130363,4,16,482,260,0
B,130363,4,20,486,264,0
B,130363,4,24,490,268,0
B,155921,0,6,442,226,0
B,155921,0,9,455,238,0
B,155921,0,12,464,244,0
B,155921,0,16,470,250,0
B,155921,0,20,474,254,0
B,155921,0,24,478,258,0
B,155921,1,6,442,226,0
B,155921,1,9,460,244,0
B,155921,1,12,472,251,0
B,155921,1,16,481,259,0
B,155921,1,20,487,265,0
B,155921,1,24,491,269,0
B,155921,2,6,431,220,0
B,155921,2,9,444,228,0
B,155921,2,12,450,234,0
B,155921,2,16,456,240,0
B,155921,2,20,460,244,0
B,155921,2,24,464,248,0
B,155921,3,6,59,52,0
B,155921,3,9,71,61,0
B,155921,3,12,80,67,0
B,155921,3,16,86,73,0
B,155921,3,20,90,77,0
B,155921,3,24,94,81,0
B,155921,4,6,440,224,0
B,155921,4,9,454,237,0
B,155921,4,12,465,244,0
B,155921,4,16,473,252,0
B,155921,4,20,477,256,0
B,155921,4,24,481,260,0
B,196613,0,6,440,224,0
B,196613,0,9,454,237,0
B,196613,0,12,466,244,0
B,196613,0,16,475,252,0
B,196613,0,20,480,257,0
B,196613,0,24,484,261,0
B,196613,1,6,66,59,0
B,196613,1,9,77,70,0
B,196613,1,12,89,76,0
B,196613,1,16,97,84,0
B,196613,1,20,101,88,0
B,196613,1,24,105,92,0
B,196613,2,6,442,226,0
B,196613,2,9,459,243,0
B,196613,2,12,469,249,0
B,196613,2,16,474,254,0
B,196613,2,20,478,258,0
B,196613,2,24,482,262,0
B,196613,3,6,438,221,0
B,196613,3,9,450,230,0
B,196613,3,12,459,236,0
B,196613,3,16,467,244,0
B,196613,3,20,471,248,0
B,196613,3,24,475,252,0
B,196613,4,6,430,219,0
B,196613,4,9,442,229,0
B,196613,4,12,448,235,0
B,196613,4,16,454,241,0
B,196613,4,20,458,245,0
B,196613,4,24,462,249,0
B,262147,0,6,438,221,0
B,262147,0,9,451,231,0
B,262147,0,12,459,237,0
B,262147,0,16,466,244,0
B,262147,0,20,470,248,0
B,262147,0,24,474,252,0
B,262147,1,6,442,226,0
B,262147,1,9,462,245,0
B,262147,1,12,472,252,0
B,262147,1,16,480,260,0
B,262147,1,20,484,264,0
B,262147,1,24,488,268,0
B,262147,2,6,66,65,0
B,262147,2,9,77,76,0
B,262147,2,12,89,82,0
B,262147,2,16,97,90,0
B,262147,2,20,101,94,0
B,262147,2,24,105,98,0
B,262147,3,6,420,204,0
B,262147,3,9,432,211,0
B,262147,3,12,439,217,0
B,262147,3,16,445,223,0
B,262147,3,20,449,227,0
B,262147,3,24,453,231,0
B,262147,4,6,442,226,0
B,262147,4,9,462,245,0
B,262147,4,12,473,252,0
B,262147,4,16,480,259,0
B,262147,4,20,484,263,0
B,262147,4,24,488,267,0
BR,104729,0,6,50,48,0
BR,104729,0,9,56,53,0
BR,104729,0,12,59,56,0
BR,104729,0,16,63,60,0
BR,104729,0,20,67,64,0
BR,104729,0,24,71,68,0
BR,104729,1,6,435,221,0
BR,104729,1,9,449,234,0
BR,104729,1,12,461,241,0
BR,104729,1,16,468,247,0
BR,104729,1,20,472,251,0
BR,104729,1,24,476,255,0
BR,104729,2,6,424,214,0
BR,104729,2,9,438,227,0
BR,104729,2,12,445,234,0
BR,104729,2,16,452,241,0
BR,104729,2,20,456,245,0
BR,104729,2,24,460,249,0
BR,104729,3,6,397,205,0
BR,104729,3,9,415,222,0
BR,104729,3,12,425,230,0
BR,104729,3,16,435,237,0
BR,104729,3,20,439,241,0
BR,104729,3,24,443,245,0
BR,104729,4,6,338,173,0
BR,104729,4,9,350,180,0
BR,104729,4,12,357,186,0
BR,104729,4,16,362,191,0
BR,104729,4,20,366,195,0
BR,104729,4,24,370,199,0
BR,130363,0,6,414,206,0
BR,130363,0,9,430,222,0
BR,130363,0,12,439,228,0
BR,130363,0,16,444,233,0
BR,130363,0,20,448,237,0
BR,130363,0,24,452,241,0
BR,130363,1,6,355,174,0
BR,130363,1,9,365,181,0
BR,130363,1,12,371,187,0
BR,130363,1,16,376,191,0
BR,130363,1,20,380,195,0
BR,130363,1,24,384,199,0
BR,130363,2,6,398,200,0
BR,130363,2,9,410,210,0
BR,130363,2,12,417,216,0
BR,130363,2,16,426,223,0
BR,130363,2,20,430,227,0
BR,130363,2,24,434,231,0
BR,130363,3,6,55,51,0
BR,130363,3,9,64,59,0
BR,130363,3,12,70,65,0
BR,130363,3,16,77,70,0
BR,130363,3,20,81,74,0
BR,130363,3,24,85,78,0
BR,130363,4,6,429,217,0
BR,130363,4,9,449,236,0
BR,130363,4,12,461,243,0
BR,130363,4,16,468,250,0
BR,130363,4,20,472,254,0
BR,130363,4,24,476,258,0
BR,155921,0,6,440,224,0
BR,155921,0,9,453,236,0
BR,155921,0,12,462,242,0
