design,order,budget,n_train_cells,n_rich_train_cells
A,AOPT,6,322.52,153.2
A,AOPT,9,327.4,158.04
A,AOPT,12,335.0,165.0
A,AOPT,16,357.84,184.6
A,AOPT,20,380.72,204.24
A,AOPT,24,394.24,216.64
A,MAXMIN,6,15.702,11.718
A,MAXMIN,9,21.486,17.266
A,MAXMIN,12,26.558,21.984
A,MAXMIN,16,35.266,29.762
A,MAXMIN,20,51.624,44.356
A,MAXMIN,24,69.782,58.95
A,RANDOM,6,71.946,39.45
A,RANDOM,9,108.458,59.274
A,RANDOM,12,137.434,75.636
A,RANDOM,16,181.144,99.65
A,RANDOM,20,221.25,122.184
A,RANDOM,24,260.084,144.198
A,UNCERT,6,205.2,99.72
A,UNCERT,9,212.72,103.96
A,UNCERT,12,236.04,117.36
A,UNCERT,16,284.84,142.56
A,UNCERT,20,350.88,180.96
A,UNCERT,24,383.24,202.48
B,AOPT,6,324.48,154.68
B,AOPT,9,329.52,159.72
B,AOPT,12,339.76,168.88
B,AOPT,16,363.28,189.12
B,AOPT,20,381.4,204.68
B,AOPT,24,397.08,219.16
B,MAXMIN,6,18.038,12.99
B,MAXMIN,9,23.526,18.244
B,MAXMIN,12,28.804,23.134
B,MAXMIN,16,38.25,31.566
B,MAXMIN,20,55.594,46.978
B,MAXMIN,24,75.858,62.9
B,RANDOM,6,65.488,37.172
B,RANDOM,9,102.558,57.656
B,RANDOM,12,134.364,75.966
B,RANDOM,16,189.45,105.194
B,RANDOM,20,221.306,124.23
B,RANDOM,24,266.178,149.376
B,UNCERT,6,188.56,94.08
B,UNCERT,9,194.36,97.52
B,UNCERT,12,221.16,112.64
B,UNCERT,16,355.4,177.08
B,UNCERT,20,374.16,194.32
B,UNCERT,24,388.64,207.4
BP,AOPT,6,303.2,140.76
BP,AOPT,9,311.04,148.08
BP,AOPT,12,331.68,165.36
BP,AOPT,16,352.68,183.92
BP,AOPT,20,362.64,192.72
BP,AOPT,24,369.2,198.48
BP,MAXMIN,6,19.406,13.692
BP,MAXMIN,9,25.452,19.258
BP,MAXMIN,12,31.546,24.3
BP,MAXMIN,16,49.286,39.5
BP,MAXMIN,20,69.822,56.872
BP,MAXMIN,24,164.926,103.106
BP,RANDOM,6,78.792,41.652
BP,RANDOM,9,120.172,63.57
BP,RANDOM,12,158.112,83.826
BP,RANDOM,16,209.85,111.296
BP,RANDOM,20,258.72,137.666
BP,RANDOM,24,303.896,162.248
BP,UNCERT,6,289.48,134.24
BP,UNCERT,9,298.88,139.92
BP,UNCERT,12,314.08,151.52
BP,UNCERT,16,346.24,174.12
BP,UNCERT,20,360.08,187.2
BP,UNCERT,24,370.72,195.4
BQ,AOPT,6,277.44,135.28
BQ,AOPT,9,296.8,146.08
BQ,AOPT,12,308.16,156.24
BQ,AOPT,16,329.8,175.32
BQ,AOPT,20,346.24,189.48
BQ,AOPT,24,360.04,202.2
