design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,p_bh_registered20
B,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.011907271695526769,-0.0552383170471835,0.036743510466329565,-0.07433044734868646,0.029642683053810747,0.7826,0.02696060969455824,0.07548970714476307,0.019057102309605205,90,45,2,5,-0.0170843056328692,0.024143446490948555,False,0.02,False,False,registered,0.942888888888889
B,AOPT_vs_MAXMIN,mae_all,MAXMIN,AOPT,-0.0038508153863838967,-0.040721393497592295,0.04526281202031608,-0.05309744997473674,0.0343280294806189,0.9852,0.02329760744122118,0.0652333008354193,0.023312540660891567,90,38,3,5,-0.013274294754912697,0.024720151342686594,False,0.02,False,False,registered,0.9852000000000001
B,UNCERT_vs_RANDOM,mae_all,RANDOM,UNCERT,-0.03104177126136881,-0.0671844441347917,0.018962144527357852,-0.07584325247962893,0.009283790727079631,0.2816,0.0229645045597206,0.06430061276721767,-0.008731989377479162,90,25,2,5,-0.041125478756913775,-0.0057240902191007985,True,0.02,False,False,registered,0.7040000000000001
B,UNCERT_vs_MAXMIN,mae_all,MAXMIN,UNCERT,-0.022985314952225944,-0.05594269831506774,0.022215961163391616,-0.06126621454774751,0.0155204778335118,0.3386,0.020259990441905528,0.05672797323733547,-0.004476551026192805,90,29,2,5,-0.03139803854735325,-0.0051473853673627565,True,0.02,False,False,registered,0.7204
BR,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.023452157942270364,0.013549740146217354,0.035932291615978544,0.013949603829012983,0.03655653195677223,0.0,0.005645814592945002,0.015808280860246004,0.02376468225042755,90,72,5,5,0.020638158614691517,0.025530078165832956,True,0.02,True,True,registered,0.0
BR,AOPT_vs_MAXMIN,mae_all,MAXMIN,AOPT,0.0417216590642302,0.01482966146551366,0.06007552138412558,0.019556758221814716,0.0636748737161799,0.0014,0.011604958446770904,0.03249388365095853,0.034462308624065144,90,65,5,5,0.032215913684529744,0.04487191894155609,True,0.02,True,True,registered,0.004666666666666667
BR,UNCERT_vs_RANDOM,mae_all,RANDOM,UNCERT,-0.004080871910152892,-0.024036015079993887,0.022462571112668757,-0.02258953450833244,0.02442566499011899,0.711,0.011750426430267151,0.03290119400474802,0.0001439833521216966,90,36,3,5,-0.011305398341718394,0.0006682979490086695,False,0.02,False,False,registered,0.942888888888889
BR,UNCERT_vs_MAXMIN,mae_all,MAXMIN,UNCERT,0.014188629211806941,-0.019496297345420095,0.03892417222654439,-0.0177936556879167,0.040064995995497524,0.3602,0.014772020785279824,0.041361658198783506,0.010841609725759297,90,45,3,5,0.0073541334677054565,0.018448589656317294,True,0.02,False,False,registered,0.7204
BQ,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.003371720120869312,-0.03746935313597817,0.03554521017321915,-0.05209507518021937,0.029084893805358114,0.9738,0.02095340478254845,0.05866953339113566,0.018487969687607766,90,48,3,5,-0.007057201866494006,0.024127471262072226,False,0.02,False,False,registered,0.9852000000000001
BQ,AOPT_vs_MAXMIN,mae_all,MAXMIN,AOPT,0.010272989147868412,-0.01364738580387286,0.04393217034777673,-0.020190602118189356,0.036471478096541235,0.4342,0.015183207200555453,0.04251298016155527,0.02466749815002464,90,43,4,5,0.003187180032186506,0.027154573958983325,True,0.02,False,False,registered,0.7636666666666666
BQ,UNCERT_vs_RANDOM,mae_all,RANDOM,UNCERT,0.0034604816222220964,-0.029781360705914348,0.027536683632249367,-0.028627416468673648,0.028729534329566497,0.8032,0.014600255672453322,0.040880715882869297,0.0006425237015836675,90,41,4,5,-0.0041080375241427675,0.009377769031565095,False,0.02,False,False,registered,0.942888888888889
BQ,UNCERT_vs_MAXMIN,mae_all,MAXMIN,UNCERT,0.017105190890959816,-0.03168075413537289,0.04696830250577932,-0.023180239827634952,0.05155523142013139,0.4582,0.020446330712751603,0.057249725995704485,0.006822052164000541,90,48,4,5,-0.0010809348272316699,0.026096291781841488,False,0.02,False,False,registered,0.7636666666666666
