chemotype,mean_delta,n_extractants
sc000,0.08187378179830043,1
sc001,0.16443088195675049,1
sc007,0.0488206155731184,1
sc008,-0.02162995410807622,2
sc009,0.08516950360678523,23
sc010,0.09707706834650348,1
sc012,0.12409822330286258,1
sc015,0.09389951615378611,1
sc016,0.01625018224650243,1
sc017,-0.009394676730280549,1
sc018,0.0174267673192251,1
sc019,0.02748169049425775,1
sc020,-0.08637531680640165,1
sc021,0.053483285513982404,1
sc027,0.05587051363865094,6
sc028,-0.03799431851154933,2
sc029,0.03212705755316488,3
sc030,0.06288559880776036,3
sc031,0.06054066657044721,3
sc032,-0.001978636116085397,1
sc033,0.11346128726874305,1
sc036,0.020951429434966702,4
sc055,0.04505528873595027,1
sc057,0.12275219570453366,1
sc058,0.016664410483117065,1
sc059,0.10847650434368675,1
sc060,0.06484256092162433,1
sc061,0.06963585071483319,2
sc062,-0.0544217462369152,1
sc063,-0.12112114237562333,1
sc068,0.043829320005718875,6
sc069,-0.019787400158872176,2
sc070,0.0397253160473644,1
sc071,0.004283274694152073,1
sc075,0.05500152805170033,1
sc076,0.045618427788140126,1
sc077,0.03800375744907791,1
sc078,-0.020065994458663416,1
sc083,-0.0501407802019766,1
sc084,0.06180490922607046,1
sc085,0.05229403544768846,1
sc086,0.03955482506405883,1
sc092,0.01190320532373057,1
sc096,0.1110563556601166,1
sc097,0.10602542835891682,1
