design,split_seed,fold,spearman_rank,jaccard_k6,jaccard_k9,jaccard_k12,jaccard_k16,jaccard_k20,jaccard_k24
B,104729,0,0.6965250965250966,0.2,0.2857142857142857,0.6,0.7777777777777778,0.6,0.6
B,104729,1,0.574002574002574,0.2,0.2857142857142857,0.3333333333333333,0.6,0.6,0.6
B,104729,2,0.6548262548262549,0.2,0.2857142857142857,0.3333333333333333,0.6,0.6,0.7142857142857143
B,104729,3,0.25199485199485205,0.2,0.125,0.2,0.391304347826087,0.42857142857142855,0.5483870967741935
B,104729,4,0.4597168597168597,0.09090909090909091,0.2,0.2,0.3333333333333333,0.48148148148148145,0.6551724137931034
B,130363,0,0.5858429858429859,0.2,0.2857142857142857,0.4117647058823529,0.5238095238095238,0.6666666666666666,0.6551724137931034
B,130363,1,0.4965250965250966,0.2,0.2,0.4117647058823529,0.45454545454545453,0.48148148148148145,0.6
B,130363,2,0.5698841698841699,0.2,0.2857142857142857,0.4117647058823529,0.45454545454545453,0.5384615384615384,0.6551724137931034
B,130363,3,0.5742599742599743,0.09090909090909091,0.125,0.3333333333333333,0.5238095238095238,0.6,0.7142857142857143
B,130363,4,0.45997425997426,0.2,0.2,0.2631578947368421,0.3333333333333333,0.48148148148148145,0.6551724137931034
B,155921,0,0.26949806949806954,0.2,0.2,0.3333333333333333,0.45454545454545453,0.42857142857142855,0.5
B,155921,1,0.5894465894465895,0.2,0.2,0.3333333333333333,0.45454545454545453,0.6666666666666666,0.7777777777777778
B,155921,2,0.585070785070785,0.2,0.2857142857142857,0.4117647058823529,0.45454545454545453,0.6,0.6551724137931034
B,155921,3,0.5523809523809524,0.09090909090909091,0.125,0.3333333333333333,0.45454545454545453,0.6666666666666666,0.7142857142857143
B,155921,4,0.6576576576576577,0.2,0.2857142857142857,0.3333333333333333,0.6,0.6,0.7142857142857143
B,196613,0,0.49266409266409267,0.2,0.2,0.2631578947368421,0.45454545454545453,0.5384615384615384,0.7142857142857143
B,196613,1,0.37477477477477483,0.09090909090909091,0.125,0.2631578947368421,0.3333333333333333,0.5384615384615384,0.6551724137931034
B,196613,2,0.6298584298584299,0.2,0.2857142857142857,0.4117647058823529,0.6,0.7391304347826086,0.6551724137931034
B,196613,3,0.5207207207207207,0.2,0.2,0.3333333333333333,0.45454545454545453,0.5384615384615384,0.6551724137931034
B,196613,4,0.5796653796653798,0.2,0.2857142857142857,0.4117647058823529,0.391304347826087,0.5384615384615384,0.6
B,262147,0,0.7371943371943372,0.2,0.2857142857142857,0.6,0.6,0.6666666666666666,0.6551724137931034
B,262147,1,0.6059202059202059,0.2,0.2,0.4117647058823529,0.6,0.5384615384615384,0.7142857142857143
B,262147,2,0.5109395109395111,0.09090909090909091,0.125,0.2631578947368421,0.5238095238095238,0.5384615384615384,0.6551724137931034
B,262147,3,0.38172458172458174,0.2,0.2,0.2631578947368421,0.45454545454545453,0.5384615384615384,0.5483870967741935
B,262147,4,0.5902187902187902,0.2,0.2,0.3333333333333333,0.5238095238095238,0.6,0.6551724137931034
BR,104729,0,0.7596059113300492,0.5,0.5,0.6,0.5238095238095238,0.7391304347826086,1.0
BR,104729,1,0.5686274509803921,0.2,0.2857142857142857,0.3333333333333333,0.6,0.6,0.6551724137931034
BR,104729,2,0.6507078507078508,0.2,0.2857142857142857,0.3333333333333333,0.5238095238095238,0.6,0.7142857142857143
BR,104729,3,0.21466768525592053,0.2,0.2,0.2631578947368421,0.391304347826087,0.42857142857142855,0.5483870967741935
BR,104729,4,0.47541713014460507,0.09090909090909091,0.2,0.3333333333333333,0.5238095238095238,0.6666666666666666,0.8461538461538461
BR,130363,0,0.6036036036036037,0.2,0.2,0.4117647058823529,0.6,0.6,0.6551724137931034
BR,130363,1,0.438168449197861,0.2,0.2,0.3333333333333333,0.5238095238095238,0.6,0.7142857142857143
BR,130363,2,0.6855614973262031,0.2,0.2857142857142857,0.5,0.6,0.6666666666666666,0.7142857142857143
BR,130363,3,0.4806149732620321,0.09090909090909091,0.2,0.3333333333333333,0.5238095238095238,0.6,0.7142857142857143
BR,130363,4,0.43423423423423424,0.2,0.2,0.2631578947368421,0.3333333333333333,0.48148148148148145,0.6551724137931034
BR,155921,0,0.2661064425770308,0.2,0.2,0.3333333333333333,0.45454545454545453,0.48148148148148145,0.5
BR,155921,1,0.5685255920550037,0.2,0.2,0.3333333333333333,0.45454545454545453,0.6666666666666666,0.7142857142857143
BR,155921,2,0.576750700280112,0.2,0.2857142857142857,0.4117647058823529,0.45454545454545453,0.6,0.6551724137931034
BR,155921,3,0.5426028921023358,0.09090909090909091,0.2,0.4117647058823529,0.6,0.6666666666666666,0.8461538461538461
BR,155921,4,0.6517379679144386,0.2,0.2857142857142857,0.4117647058823529,0.6842105263157895,0.6666666666666666,0.7142857142857143
BR,196613,0,0.5080213903743316,0.2,0.2,0.3333333333333333,0.391304347826087,0.6,0.7142857142857143
BR,196613,1,0.5457174638487208,0.09090909090909091,0.2,0.5,0.6842105263157895,0.7391304347826086,0.7777777777777778
