design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family
B,AOPT_vs_SIZE,mae_all,SIZE,AOPT,-0.039657008992061045,-0.08174216931204452,0.01368701006490636,-0.0989291473744736,0.002795195459544361,0.2326,0.02651366546684618,0.07423826330716929,-0.01284084029118182,90,30,1,5,-0.04736704952323555,-0.005660934588613474,True,0.02,False,False,exploratory
B,SIZE_vs_RANDOM,mae_all,RANDOM,SIZE,0.02774973729653428,0.012517677730760212,0.04276643402633275,0.010454046568531081,0.041284826430420654,0.0014,0.007563610517631335,0.021178109449367735,0.03189794260078703,90,73,5,5,0.02630148042441314,0.03151202790745584,True,0.02,True,True,exploratory
B,SIZE_vs_MAXMIN,mae_all,MAXMIN,SIZE,0.03580619360567715,0.007151660803917119,0.05656300979648114,0.008282291830956332,0.05709573649906361,0.0184,0.012414655999977233,0.03476103679993625,0.03615338095207338,90,66,5,5,0.030139438665695784,0.042053681435184814,True,0.02,True,True,exploratory
B,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.011907271695526769,-0.0552383170471835,0.036743510466329565,-0.07433044734868646,0.029642683053810747,0.7826,0.02696060969455824,0.07548970714476307,0.019057102309605205,90,45,2,5,-0.0170843056328692,0.024143446490948555,False,0.02,False,False,exploratory
BR,AOPT_vs_SIZE,mae_all,SIZE,AOPT,0.004361224215548531,-0.009150606284698633,0.02451035352347158,-0.00648073067662409,0.03261074493030809,0.6062,0.008537747863850231,0.023905694018780645,0.0018004633610182415,90,52,4,5,-0.001886567991135254,0.006691250848061532,False,0.02,False,False,exploratory
BR,SIZE_vs_RANDOM,mae_all,RANDOM,SIZE,0.01909093372672183,0.003850547324176573,0.032350011618324986,0.0016756318997151135,0.031023797742741964,0.0224,0.0071116592877603895,0.01991264600572909,0.021964218889409304,90,61,4,5,0.01708706085674727,0.022524726605826773,True,0.02,True,False,exploratory
BR,SIZE_vs_MAXMIN,mae_all,MAXMIN,SIZE,0.037360434848681665,0.0035850005809133353,0.0597153525388835,0.00903710747306298,0.06333461208329882,0.032,0.014492576127313472,0.04057921315647772,0.0326618452630469,90,67,4,5,0.02552466283646821,0.042910238996911994,True,0.02,True,True,exploratory
BR,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.023452157942270364,0.013549740146217354,0.035932291615978544,0.013949603829012983,0.03655653195677223,0.0,0.005645814592945002,0.015808280860246004,0.02376468225042755,90,72,5,5,0.020638158614691517,0.025530078165832956,True,0.02,True,True,exploratory
BQ,AOPT_vs_SIZE,mae_all,SIZE,AOPT,-0.029183723125477495,-0.06259086106645727,0.01286471370176546,-0.07582305050852903,0.004143652509471661,0.2818,0.02091054097577471,0.05854951473216918,-0.010894281344531175,90,32,0,5,-0.03528854042048377,-0.0026465640647964665,True,0.02,False,False,exploratory
BQ,SIZE_vs_RANDOM,mae_all,RANDOM,SIZE,0.025812003004608192,0.013045050171750738,0.03830491183238909,0.011430499776048457,0.037266570892422544,0.0012,0.006317611617998,0.017689312530394397,0.02938225103213893,90,73,5,5,0.024229479443476146,0.02823133855398977,True,0.02,True,True,exploratory
BQ,SIZE_vs_MAXMIN,mae_all,MAXMIN,SIZE,0.03945671227334591,0.008871449406810084,0.059958478908297495,0.013040850552780708,0.06291627335333237,0.0146,0.013149629381357712,0.03681896226780159,0.03556177949455582,90,65,5,5,0.029801138023779802,0.04494986130426616,True,0.02,True,True,exploratory
BQ,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.003371720120869312,-0.03746935313597817,0.03554521017321915,-0.05209507518021937,0.029084893805358114,0.9738,0.02095340478254845,0.05866953339113566,0.018487969687607766,90,48,3,5,-0.007057201866494006,0.024127471262072226,False,0.02,False,False,exploratory
A,AOPT_vs_SIZE,mae_all,SIZE,AOPT,0.01389073634326843,-0.004930154193630165,0.03580451925513698,-0.002717496214957099,0.03932845287854378,0.147,0.010113446383913823,0.0283176498749587,0.016076756067741855,90,44,4,5,0.008634326252763294,0.016629576781466454,True,0.02,False,False,exploratory
A,SIZE_vs_RANDOM,mae_all,RANDOM,SIZE,0.022855757914485304,0.007919918574552206,0.03435500244404087,0.008118323584027282,0.034697268146607375,0.0046,0.006738671005317357,0.018868278814888596,0.019074288755792743,90,66,5,5,0.019444955816051556,0.025628153512793673,True,0.02,True,True,exploratory
A,SIZE_vs_MAXMIN,mae_all,MAXMIN,SIZE,0.03913551072685269,0.004062917094428832,0.06212426289580705,0.01211511299829552,0.06812766089617622,0.0266,0.015281153730124009,0.04278723044434722,0.024896262168268506,90,64,5,5,0.02302871466120803,0.04275793788177827,True,0.02,True,True,exploratory
A,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.03674649425775374,0.020355966225097003,0.050365596569392726,0.021284963559232716,0.05108540382001396,0.0,0.007497158628333921,0.020992044159334977,0.0351510448235346,90,73,5,5,0.034109983434106476,0.03864288902065143,True,0.02,True,True,exploratory
BP,AOPT_vs_SIZE,mae_all,SIZE,AOPT,0.004707471444631798,-0.004895608838452735,0.017105919965526288,-0.0029661890010449113,0.021453355266352028,0.3564,0.005513187632479679,0.0154369253709431,0.0020999272599282865,90,48,4,5,0.0006460412108213783,0.005845619685915186,True,0.02,False,False,exploratory
BP,SIZE_vs_RANDOM,mae_all,RANDOM,SIZE,0.04535784697288985,0.020103045849549597,0.06224192898332167,0.026296408026086834,0.06813653790766032,0.0,0.01119256120565353,0.03133917137582989,0.03722152380455714,90,74,5,5,0.032731233909884694,0.048974492381761374,True,0.02,True,True,exploratory
BP,SIZE_vs_MAXMIN,mae_all,MAXMIN,SIZE,0.05350113870746714,0.00880681533922475,0.0878906726968527,0.017841651713127536,0.1003902681314976,0.0098,0.021692060073132034,0.06073776820476969,0.03997922569922884,90,64,5,5,0.027078185807022793,0.05883772779542793,True,0.02,True,True,exploratory
BP,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.05006531841752166,0.02715359495363618,0.06622523398987341,0.03250685003433763,0.07182392163458212,0.0,0.010443605401855391,0.029242095125195093,0.03932145106448544,90,75,5,5,0.038014627979416245,0.05206667380227326,True,0.02,True,True,exploratory
