entry,dZ1,n_dZ1,dZ2,n_dZ2,dZ3,n_dZ3,dZ4,n_dZ4,dZ5,n_dZ5,dZ6,n_dZ6,dZ7,n_dZ7,dZ8,n_dZ8,dZ9,n_dZ9,dZ10,n_dZ10,dZ11,n_dZ11,dZ12,n_dZ12,dZ13,n_dZ13,dZ14,n_dZ14
L1_CORPUS_MEAN_permetal_w,0.1513159023311187,1082,0.24318291292775868,1099,0.33643068788989133,919,0.4417834885033583,835,0.540004289969385,692,0.6358725135097901,655,0.7620142964345817,466,0.8768958705534725,413,0.9755215250384383,284,1.1511864863702648,226,1.1210601398799636,228,1.1727313455861632,141,1.2701608366319155,118,1.1675833318555964,70
L1_CORPUS_MEAN_permetal,0.1335012840781836,1082,0.22004387027068892,1099,0.3002456165909909,919,0.38298521766916993,835,0.47028551018738973,692,0.5515059302223237,655,0.6750528471429711,466,0.7533032203873116,413,0.8490150745319537,284,0.9794028657796622,226,0.9341958575777047,228,1.0072518473123449,141,1.0428414584105046,118,0.956898880674805,70
L1_CORPUS_MEAN_aligned,0.13095889890348683,1082,0.20594280243742066,1099,0.27994002331382106,919,0.3600231520747494,835,0.43483799163643727,692,0.5162072409398826,655,0.6156242388670882,466,0.6688784586100653,413,0.7671680275454342,284,0.8602386386046756,226,0.8381932001597393,228,0.905575400178892,141,0.913565097014618,118,0.8863437667896256,70
L1_CORPUS_MEAN_aligned_w,0.1562372021650249,1082,0.24026333876822228,1099,0.3334254877166646,919,0.4348883536077398,835,0.5280617057197704,692,0.6238651243003908,655,0.7404369222986897,466,0.8502622133190759,413,0.948132424531556,284,1.12292006781385,226,1.0905304364500088,228,1.1415998612868234,141,1.2310558511777001,118,1.121279525278121,70
L2_CHEMOTYPE_MEAN,0.11184234202488577,1082,0.18261940194911475,1099,0.22389250891372975,919,0.28876449298221224,835,0.3252232343777274,692,0.4028794435223434,655,0.4563387054607721,466,0.4870031243557722,413,0.546583720058124,284,0.6056516514799313,226,0.6054276619012249,228,0.6355874243859532,141,0.7096417842349826,118,0.7729633663730899,70
L3_EXTRACTANT_MEAN,0.10409045854085854,1082,0.15599315224074448,1099,0.1943984263576242,919,0.23413556422795126,835,0.2854684288845845,692,0.32351586323387094,655,0.3712557286864741,466,0.40512589491320583,413,0.4847067474881254,284,0.5526430869967032,226,0.5260827456667314,228,0.5877189843786382,141,0.6553190490856321,118,0.609319968530941,70
L3b_EXTRACTANT_MEAN_permetal,0.11805810016415935,1082,0.18022661016112698,1099,0.2228410995740517,919,0.27628435902831183,835,0.34125142469846187,692,0.38832833869033684,655,0.47110580511976674,466,0.5225346190492579,413,0.6236283179902813,284,0.7103168475549572,226,0.6618259991298394,228,0.7097932564482201,141,0.7737136273050892,118,0.7045820551441183,70
L4_EXTRACTANT+PUBLICATION,0.09139046848051975,1082,0.13941944740396173,1099,0.1753827491769553,919,0.21254149904558026,835,0.2653924237486894,692,0.2961104807417867,655,0.34556175241772863,466,0.37771208102481346,413,0.4562394369879656,284,0.5300934328421876,226,0.48952732065344795,228,0.582228769626115,141,0.6374014173982592,118,0.5504080904832362,70
L5_EXTRACTANT+NEAREST_ACID,0.09515966414027144,1082,0.12523211454999605,1099,0.16983673188437426,919,0.19610455365422985,835,0.22667147157108178,692,0.25809979531407523,655,0.28857317303711927,466,0.306972722046665,413,0.3693736499068194,284,0.43745305562290987,226,0.39478008147015314,228,0.43429743032772034,141,0.4825280417833933,118,0.4257564255556637,70
L5b_EXT+PUB+SAME_ACID_CONC,0.08689197672764488,705,0.11190508070618341,690,0.1311345545070302,594,0.15980852734917403,514,0.20459363103676936,432,0.21846053125743506,389,0.23273519598494277,266,0.252683408127874,243,0.3113118973016504,164,0.3451943206593004,132,0.2878633566005154,136,0.3746983655544793,81,0.4436446285883787,68,0.3607577070593652,41
L6_OWN_QUADRATIC_RADIUS,0.1007022459477099,1071,0.12468724951270081,1080,0.1401819973223175,894,0.1476748493877017,824,0.14774828826510128,692,0.14822259541620048,654,0.15273332138533374,465,0.13813693724045584,413,0.14227389798606677,284,0.1299362695050875,225,0.1233064506971183,228,0.14303945234324364,141,0.20030667810081823,118,0.21793997786982205,69
L7_ORACLE_AMPLITUDE_CORPUS_RANK1,0.1105518253542752,1082,0.14963977626535171,1099,0.16478522251660846,919,0.19806555068011766,835,0.22336118397794366,692,0.2422400365899024,655,0.25567016922726427,466,0.23583853254065504,413,0.21464867680558952,284,0.1736906535622664,226,0.17197139459638802,228,0.16657858570047815,141,0.1553952964580041,118,0.14982350971011502,70
L7a_ORACLE_AMPLITUDE_CORPUS_MEANSHAPE,0.1670498005164472,1082,0.2048432003826477,1099,0.248544947066323,919,0.281497372829497,835,0.31665335893519114,692,0.3443176045524234,655,0.31803363729928363,466,0.39097564255405703,413,0.35515177592822894,284,0.3814799268684013,226,0.3099195147589661,228,0.29657420186398514,141,0.22992046328120416,118,0.16771022419915316,70
L7b_ORACLE_AMPLITUDE_EXTRACTANT_SHAPE,0.09953292251570713,1080,0.13395463614755443,1095,0.14082862388353212,916,0.17812333279350903,832,0.1983670954666245,691,0.21852206439538369,653,0.23528331026462077,465,0.22573586227665887,412,0.22413116454386162,284,0.19012033452965962,226,0.18629746405790554,228,0.18985375073472177,141,0.17321470096352587,118,0.15983303882592428,70
L3i_EXTRACTANT_MEAN_INSAMPLE,0.09647960427258818,1082,0.14517774617980003,1099,0.18059270466807115,919,0.2187722976417659,835,0.2668209673902095,692,0.3031172312207144,655,0.3495401227773603,466,0.38281186829539426,413,0.4600046426046277,284,0.5229298716836419,226,0.4980478274291677,228,0.5557354158129508,141,0.6202383487543963,118,0.5779297907538133,70
ARM_X_ENS_DIRECT+LOWRANK_K2,0.1357388968799606,1082,0.23244637555821876,1099,0.30850772407886334,919,0.40239062633388945,835,0.46917710498498955,692,0.5588200697371488,655,0.6754108012927804,466,0.7399641567191272,413,0.7991832417430638,284,0.9314066150419986,226,0.8972749383530658,228,0.9519599314587577,141,1.0242045828877575,118,0.9591126714072157,70
