entry,macro_mae_extractant,macro_mae_adjacent,macro_mae_far,macro_mae_chemotype,pooled_mae,pooled_mae_adjacent,pooled_mae_far,n_extractants,n_chemotypes,n_cells,n_pairs,n_pairs_adjacent,n_pairs_far
L1_CORPUS_MEAN_permetal_w,0.4713095704713378,0.16532937492161473,0.6543011233216558,0.45007723540991623,0.5266007010222956,0.16649393695718342,0.8190765333398605,20.0,11.0,299.0,7228.0,1215.0,3293.0
L1_CORPUS_MEAN_permetal,0.455592667269236,0.15333097710988847,0.6045769476202403,0.4441640467702133,0.45681799998707123,0.1499971920521965,0.704489985637896,20.0,11.0,299.0,7228.0,1215.0,3293.0
L1_CORPUS_MEAN_aligned,0.47863516825463437,0.15043649519058927,0.6274703863779112,0.45608418610002843,0.4190637509654643,0.14730731927525964,0.6386516580863226,20.0,11.0,299.0,7228.0,1215.0,3293.0
L1_CORPUS_MEAN_aligned_w,0.46756621854518177,0.16731319972579514,0.6426764494653275,0.4468523281058823,0.5159532842062934,0.17064836457235102,0.797650312092371,20.0,11.0,299.0,7228.0,1215.0,3293.0
L2_CHEMOTYPE_MEAN,0.3948971482633742,0.13256720394903015,0.5107386572123139,0.23071235851496041,0.3222083418115328,0.12558623684592982,0.4738336442359218,20.0,11.0,299.0,7228.0,1215.0,3293.0
L3_EXTRACTANT_MEAN,0.2066984738434366,0.10933585317487632,0.2534956274067814,0.2099281543340507,0.27577978003966624,0.11273372719237786,0.4054414059277025,20.0,11.0,299.0,7228.0,1215.0,3293.0
L3b_EXTRACTANT_MEAN_permetal,0.2743075808574809,0.1253330506330481,0.3532479945595041,0.22214266604226116,0.3343079203829697,0.128054063270257,0.5026059305454639,20.0,11.0,299.0,7228.0,1215.0,3293.0
L4_EXTRACTANT+PUBLICATION,0.18979101412797317,0.096259562431735,0.23046447155951405,0.20711101744668337,0.25487101288592096,0.09994262353673283,0.3800341097327297,20.0,11.0,299.0,7228.0,1215.0,3293.0
L5_EXTRACTANT+NEAREST_ACID,0.19893700477736198,0.09360573142652977,0.2444248624592706,0.1844716202186014,0.21988662542982487,0.10311648535548253,0.31245685369375426,20.0,11.0,299.0,7228.0,1215.0,3293.0
L5b_EXT+PUB+SAME_ACID_CONC,0.1774064299132855,0.08998273912579749,0.2719010007288108,0.15607229496216032,0.180979521798996,0.09603598595734678,0.26012034421087077,16.0,7.0,200.0,4455.0,784.0,1952.0
L6_OWN_QUADRATIC_RADIUS,0.10022270587326507,0.0976688166611032,0.10218806922355521,0.08481465781961132,0.13598351306040907,0.10283807097016419,0.1471112405293633,20.0,11.0,229.0,7158.0,1203.0,3289.0
L7_ORACLE_AMPLITUDE_CORPUS_RANK1,0.1456025450940034,0.10683783009501759,0.1474954876059914,0.13981084973679167,0.18295600175280624,0.11172570971989332,0.2191049004584497,20.0,11.0,299.0,7228.0,1215.0,3293.0
L7a_ORACLE_AMPLITUDE_CORPUS_MEANSHAPE,0.20177522632605444,0.1356780505010141,0.22991247880861174,0.19049147805599037,0.271456689926958,0.16444872548794107,0.33184187086126515,20.0,11.0,299.0,7228.0,1215.0,3293.0
L7b_ORACLE_AMPLITUDE_EXTRACTANT_SHAPE,0.11550964171126979,0.09693417747661037,0.1348706460763944,0.10292366377373705,0.16933064696063996,0.10206084160225724,0.20975358271688685,20.0,11.0,296.0,7211.0,1212.0,3288.0
L3i_EXTRACTANT_MEAN_INSAMPLE,0.16518477659853478,0.09383117594960036,0.21107489961014653,0.15651037930372275,0.25887244216777705,0.10460930233266559,0.3821892417228424,20.0,11.0,299.0,7228.0,1215.0,3293.0
ARM_X_ENS_DIRECT+LOWRANK_K2,0.4574354913952366,0.15593833313467034,0.5974795774672762,0.3820756923782714,0.4602442759551386,0.15293335663359514,0.6973586232856333,20.0,11.0,299.0,7228.0,1215.0,3293.0
ARM_C_DIRECT_ROW,0.4617660388324453,0.15912366140695988,0.6128065835667552,0.41270288785293036,0.5125274543242181,0.16108535421409734,0.7951360934214156,20.0,11.0,299.0,7228.0,1215.0,3293.0
ARM_M_SELECTED,0.4999852214797258,0.16352979362557482,0.6566235247253709,0.3931470875336645,0.46345893884137324,0.1575428358063238,0.6966064400954286,20.0,11.0,299.0,7228.0,1215.0,3293.0
ARM_B1_MEAN_CURVE,0.4860509938412377,0.17109599429144465,0.6778622671239858,0.46418124285959034,0.5454317950172821,0.17203456466055772,0.8498519649087488,20.0,11.0,299.0,7228.0,1215.0,3293.0
