entry,macro_mae_extractant,macro_mae_adjacent,macro_mae_far,macro_mae_chemotype,pooled_mae,pooled_mae_adjacent,pooled_mae_far,n_extractants,n_chemotypes,n_cells,n_pairs,n_pairs_adjacent,n_pairs_far
L1_CORPUS_MEAN_permetal_w,0.5885165017790719,0.20609368380933915,0.7951211560581437,0.638288799048755,0.5719000133704024,0.17957102238228634,0.8776460842181038,90.0,45.0,521.0,14150.0,2348.0,6698.0
L1_CORPUS_MEAN_permetal,0.6080862832254268,0.20679370172636716,0.8240847440790087,0.6657310748092488,0.529395365486036,0.16860931463380566,0.8101030648686893,90.0,45.0,521.0,14150.0,2348.0,6698.0
L1_CORPUS_MEAN_aligned,0.650235857219638,0.20696569662798883,0.8928021493979116,0.7140611165265112,0.5151148926871938,0.1656775577068253,0.787199159228066,90.0,45.0,521.0,14150.0,2348.0,6698.0
L1_CORPUS_MEAN_aligned_w,0.5907519031277023,0.20827341303648972,0.7969406153736629,0.6435947953335948,0.5651332343273174,0.18308033471888857,0.8640185855235605,90.0,45.0,521.0,14150.0,2348.0,6698.0
L2_CHEMOTYPE_MEAN,0.35487039938940773,0.17347197686210855,0.48909442218689986,0.30061295293350027,0.36124355092990135,0.14453634200414123,0.523152059254049,64.0,19.0,491.0,12707.0,2131.0,5933.0
L3_EXTRACTANT_MEAN,0.2502487208241961,0.1308971552736767,0.3387123596002044,0.2841839558032468,0.2894963681091276,0.12222024203165388,0.4237918620343013,24.0,15.0,450.0,9840.0,1705.0,4451.0
L3b_EXTRACTANT_MEAN_permetal,0.2768410836952126,0.14867341236727588,0.39173349495573556,0.2885939227681022,0.359360745880699,0.14227070963566862,0.5415932816124239,24.0,15.0,450.0,9840.0,1705.0,4451.0
L4_EXTRACTANT+PUBLICATION,0.2337521528217685,0.12416482510767542,0.3132290331490206,0.2819511955835831,0.27291929798564823,0.10870037337737541,0.4097793303896207,23.0,14.0,419.0,9079.0,1576.0,4092.0
L5_EXTRACTANT+NEAREST_ACID,0.20616428499117814,0.09333063298858507,0.25281160757475696,0.19132081232959072,0.2249398497506306,0.10612143521808576,0.317894083083231,21.0,12.0,325.0,7872.0,1321.0,3606.0
L5b_EXT+PUB+SAME_ACID_CONC,0.1774064299132855,0.08998273912579749,0.2719010007288108,0.15607229496216032,0.180979521798996,0.09603598595734678,0.26012034421087077,16.0,7.0,200.0,4455.0,784.0,1952.0
L6_OWN_QUADRATIC_RADIUS,0.13488230534704213,0.140721163792288,0.11884676143176306,0.13630568221792452,0.13683303994651544,0.11049784339345418,0.14295297678359914,89.0,44.0,383.0,14012.0,2299.0,6683.0
L7_ORACLE_AMPLITUDE_CORPUS_RANK1,0.21166895872638988,0.14623192389164236,0.21901876496283113,0.23511626548113465,0.18798578404214406,0.12131038548203923,0.21872523366604266,90.0,45.0,521.0,14150.0,2348.0,6698.0
L7a_ORACLE_AMPLITUDE_CORPUS_MEANSHAPE,0.25776728372331936,0.1784742275801916,0.27250178242875495,0.27927574612649647,0.2725246160506663,0.17330753492511433,0.319827347406022,90.0,45.0,521.0,14150.0,2348.0,6698.0
L7b_ORACLE_AMPLITUDE_EXTRACTANT_SHAPE,0.1286312209905272,0.12184096426767614,0.16514387786860277,0.1429026309909808,0.17264805335462866,0.10949179151974422,0.21133394472888584,24.0,15.0,444.0,9763.0,1692.0,4416.0
L3i_EXTRACTANT_MEAN_INSAMPLE,0.0443838096215606,0.02480520659919021,0.059848158333709704,0.04344744919479272,0.18055013635193684,0.07960614578596993,0.25218372517647086,90.0,45.0,521.0,14150.0,2348.0,6698.0
ARM_X_ENS_DIRECT+LOWRANK_K2,0.48098083670010805,0.18222956940646035,0.6312902309996381,0.5265703429573805,0.49167836200368936,0.1622616484549115,0.7404895446729581,90.0,45.0,521.0,14150.0,2348.0,6698.0
ARM_C_DIRECT_ROW,0.4953208129052949,0.1841089568018473,0.6539652711907815,0.5365246496736488,0.5245128768639453,0.16797196484692728,0.7985367314276823,90.0,45.0,521.0,14150.0,2348.0,6698.0
ARM_M_SELECTED,0.5014269541262517,0.1895681207852038,0.6615792958325928,0.5454058211738088,0.5028568024785267,0.16844858946325286,0.754092511417384,90.0,45.0,521.0,14150.0,2348.0,6698.0
ARM_B1_MEAN_CURVE,0.6032535776161899,0.20989492120248032,0.8187500459856366,0.6495489717885916,0.5914108306051475,0.18477033785378733,0.9094161302792492,90.0,45.0,521.0,14150.0,2348.0,6698.0
